"","A1","A2","A3","A4","B1","B2","B3","B4","C1","C2","C3","C4"
"2",1,1,1,1,1,1,1,1,1,1,1,0
"22",1,1,0,0,1,0,1,1,1,0,1,0
"23",1,1,0,1,1,0,1,1,1,1,1,1
"41",1,1,1,1,1,1,1,1,1,1,1,1
"43",1,0,0,1,0,0,1,1,1,0,1,0
"63",1,1,0,0,1,0,1,1,1,1,1,1
"64",1,1,0,0,0,0,0,0,0,0,0,0
"84",1,1,1,0,1,1,1,1,1,1,1,1
"86",1,1,1,1,1,1,1,1,1,1,1,1
"105",1,1,1,0,0,1,0,1,1,0,1,1
"107",1,1,1,1,1,1,1,1,1,1,1,1
"127",1,1,1,0,0,0,1,1,1,0,1,1
"128",1,1,0,0,1,0,1,0,1,1,1,0
"144",0,1,0,0,0,0,1,0,1,1,1,1
"145",1,1,0,0,1,1,1,1,1,1,1,1
"183",1,1,1,1,0,0,1,1,1,1,1,1
"185",1,1,1,0,1,0,1,1,1,1,1,0
"206",1,1,1,1,1,1,1,0,1,1,0,1
"208",1,0,1,1,1,1,1,1,1,1,1,1
"229",1,1,1,1,1,0,1,1,1,1,1,0
"249",1,1,0,0,1,1,1,1,1,1,1,0
"251",1,1,1,1,1,1,1,1,1,1,1,1
"268",1,1,1,0,1,0,1,1,1,1,1,1
"270",1,0,0,0,0,0,1,0,1,0,1,0
"290",1,0,1,0,0,1,1,0,1,1,1,1
"292",1,1,0,0,1,0,1,0,1,1,1,1
"312",1,1,1,0,1,1,1,0,1,1,1,1
"314",1,1,1,0,1,1,1,1,1,0,1,1
"334",1,1,0,1,1,0,1,1,1,1,1,1
"336",1,1,0,1,1,0,1,1,1,1,1,1
"355",1,1,1,0,0,1,1,0,1,1,1,1
"357",1,0,1,1,0,1,1,1,1,1,1,0
"378",1,1,0,0,0,0,1,0,1,0,1,0
"379",1,0,0,1,0,0,1,0,1,1,1,1
"399",1,1,1,0,0,0,1,1,1,1,1,1
"401",0,1,1,0,1,0,1,1,1,1,1,1
"420",0,0,0,0,0,1,1,1,1,0,1,1
"422",1,1,1,0,1,1,1,1,1,0,1,1
"442",1,1,1,0,1,1,1,0,1,1,1,1
"444",1,1,0,0,1,1,1,0,1,1,1,0
"464",1,0,1,0,1,1,1,1,1,1,1,1
"466",1,1,1,1,0,0,0,0,0,0,0,0
"483",1,1,1,0,1,0,1,1,1,1,1,1
"485",1,1,1,1,1,1,1,1,1,1,1,1
"503",1,1,1,0,0,0,1,1,1,1,1,1
"505",1,1,1,1,1,1,1,1,1,1,1,1
"525",1,1,1,0,0,1,1,1,1,1,1,1
"527",1,1,1,0,1,1,1,1,1,1,1,0
"546",1,1,0,0,1,1,1,1,1,1,1,1
"548",1,1,0,0,1,1,1,1,1,1,1,0
"569",0,1,0,0,0,0,1,0,1,1,1,0
"570",1,1,1,1,1,0,1,0,1,1,1,1
"585",1,1,0,1,1,0,1,0,1,1,1,1
"587",1,1,1,1,1,1,1,1,1,1,1,1
"608",0,0,0,1,1,0,1,0,1,0,1,1
"610",1,1,0,0,0,0,0,0,0,0,0,0
"630",1,1,1,1,1,1,1,1,1,1,1,1
"632",1,0,1,0,1,1,1,0,1,1,1,1
"652",1,1,0,0,1,0,1,1,1,1,1,1
"654",1,0,0,0,1,0,1,1,1,1,0,1
"674",1,1,0,1,1,0,1,1,1,1,1,1
"676",1,1,0,1,1,1,1,1,1,0,1,0
"696",1,1,0,0,1,0,1,1,1,1,1,1
"698",1,1,0,0,0,0,0,1,1,1,1,1
"719",0,1,0,0,1,0,1,0,1,0,1,1
"721",0,0,1,1,0,0,1,0,1,1,1,0
"742",1,1,0,1,1,0,0,0,1,1,1,0
"744",1,0,0,0,1,1,0,0,1,1,1,0
"762",1,1,1,0,1,1,1,1,1,1,1,0
"764",0,0,1,0,0,1,1,0,1,0,1,1
"786",1,1,1,1,1,0,1,1,1,0,1,1
"807",1,1,1,1,1,1,1,1,1,0,1,1
"809",1,1,1,1,1,1,1,1,1,1,1,0
"829",1,1,0,0,1,0,1,1,1,1,1,1
"831",1,0,0,0,1,1,1,0,1,0,1,0
