"","item","b_study1","b_study2"
"1","M1",0.297350665040314,0.720350665040314
"2","M2",1.16257061816752,1.11757061816752
"3","M3",0.151321963593364,0.351321963593364
"4","M4",-0.854738893039525,-0.860738893039525
"5","M5",-1.65275547135621,-1.59275547135621
"6","M6",-0.108719844721258,-0.184719844721258
"7","M7",-1.30216094435751,-1.16316094435751
"8","M8",1.53106105043739,1.38306105043739
"9","M9",-1.77353361923993,-1.74653361923993
"10","M10",0.471522574827075,0.548522574827075
"11","M11",-2.136291074045,-1.826291074045
"12","M12",-1.55393677937984,-1.57593677937984
"13","M13",1.35560431352258,1.37960431352258
"14","M14",-0.175217614538968,0.0177823854610324
"15","M15",1.71389972916991,1.71589972916991
"16","M16",-0.623026524350047,-0.604026524350047
"17","M17",-1.19490676854551,-1.21290676854551
"18","M18",1.64912363365293,1.67412363365293
"19","M19",0.054048086322844,-0.128951913677156
"20","M20",-0.0597799578160048,-0.0537799578160048
"21","M21",-1.54111221258342,-1.51911221258342
"22","M22",0.37401422072202,0.43401422072202
"23","M23",-1.69966416523606,-1.64266416523606
"24","M24",0.677371232770383,0.802371232770383
"25","M25",-0.386183541201055,-0.539183541201055
"26","M26",-1.48445489480346,-1.40145489480346
"27","M27",-0.619443919591606,-0.307443919591606
