"","LS01","LS02","LS03","LS04","LS05","LS06","LS07","LS08","LS09","LS10","LS11","LS13","LS14","LS15","LS16","LS17","LS18","LS19","LS20","LS21","LS22","LS23","LS24","LS25"
"1",1,2,1,1,1,0,2,0,1,2,2,2,0,2,1,1,2,2,0,2,1,0,2,0
"2",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"3",2,2,1,1,0,1,1,0,1,2,2,2,1,2,2,1,2,2,1,2,1,1,1,1
"4",1,0,1,0,0,1,0,1,2,2,1,2,1,1,1,1,2,2,0,2,1,1,1,1
"5",1,0,1,0,1,0,1,0,0,1,1,1,0,0,1,1,2,2,1,1,1,1,1,0
"6",1,0,1,1,2,1,1,0,1,1,1,1,0,1,0,1,2,2,1,0,1,2,1,0
"7",2,2,2,0,0,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"8",2,2,1,0,0,2,1,0,2,2,2,2,0,2,0,1,2,2,0,2,2,0,2,2
"9",0,1,1,0,1,0,0,1,1,2,1,2,0,0,1,1,2,1,1,2,0,2,1,1
"10",2,1,0,0,0,1,0,1,2,2,2,1,1,2,1,1,2,2,0,1,1,0,2,1
"11",2,2,2,0,0,1,1,1,0,2,2,2,2,2,0,2,2,2,0,2,2,0,2,2
"12",0,1,0,0,2,2,0,1,0,1,2,0,0,1,1,0,2,1,0,0,0,1,0,1
"13",1,2,1,1,0,0,0,1,0,2,1,1,1,2,1,1,2,2,1,1,1,0,0,0
"14",2,1,1,0,0,2,0,2,1,2,0,2,1,0,0,0,2,2,0,0,0,1,2,0
"15",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1
"16",2,2,2,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,0,2,2
"17",2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2
"18",2,2,2,2,0,2,1,0,2,2,2,2,2,2,1,2,2,2,1,2,2,0,2,2
"19",2,2,2,1,0,1,1,0,0,2,2,2,2,1,1,1,2,2,0,2,0,0,2,2
"20",1,1,0,0,0,1,0,0,0,2,1,2,2,1,2,1,2,2,0,2,0,0,2,2
"21",1,1,1,1,0,1,1,1,1,2,1,2,1,1,1,1,2,2,0,2,1,0,1,1
"22",1,2,1,1,1,1,1,1,1,2,2,2,1,2,1,1,2,2,1,2,1,1,2,1
"23",2,2,1,1,1,1,2,1,1,2,2,2,1,2,1,2,2,2,1,2,2,1,2,2
"24",1,2,2,1,0,1,2,1,0,2,2,2,1,1,0,1,2,2,0,2,1,0,2,2
"25",2,2,2,1,1,2,0,2,2,2,2,2,2,2,1,2,2,2,1,2,2,0,2,2
"26",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"27",1,1,1,0,0,1,1,1,0,1,1,2,1,1,1,0,2,2,1,2,0,2,2,1
"28",2,2,1,1,1,0,2,0,0,2,1,2,1,2,1,0,2,2,0,1,2,0,1,1
"29",1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,2,2,1,1,0,2,0,0
"30",1,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,2,2,0,1,2,1,0,0
"31",2,2,1,1,0,1,1,1,1,2,2,1,0,1,1,1,2,2,1,2,1,1,1,1
"32",1,2,1,0,0,1,0,0,1,1,2,2,1,1,0,1,2,1,0,2,2,0,2,1
"33",2,2,1,2,0,2,1,2,1,2,2,2,2,2,0,2,2,2,0,2,2,0,2,1
"34",2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2
"35",1,1,1,0,2,1,1,0,1,1,1,2,1,1,1,1,2,2,0,1,1,1,1,1
"36",1,1,1,0,2,0,1,0,0,1,1,2,1,1,1,1,2,2,0,1,1,1,1,1
"37",1,2,1,0,0,1,0,0,1,2,1,2,1,1,1,1,2,2,0,1,2,0,2,1
"38",2,2,1,1,0,2,1,1,1,2,2,2,1,2,1,1,2,2,2,2,2,1,2,1
"39",2,2,2,1,0,2,2,1,1,2,2,2,1,2,2,2,2,2,1,2,2,0,2,2
"40",2,2,2,1,0,1,1,0,2,2,2,2,2,2,1,2,2,2,1,2,2,0,2,2
"41",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2
"42",2,1,2,1,0,1,1,1,1,2,1,2,2,2,1,1,2,2,0,1,1,0,2,1
"43",2,2,2,0,1,1,2,0,2,2,2,2,1,2,1,2,2,2,0,2,2,0,2,1
"44",1,2,1,0,0,2,1,0,1,2,2,2,2,1,1,0,2,2,0,1,1,0,2,1
"45",2,2,2,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2
"46",2,2,0,0,0,2,0,0,0,2,2,2,0,0,0,2,2,2,1,2,2,0,1,0
"47",1,1,1,0,2,2,0,1,1,2,2,2,1,1,1,0,2,2,0,1,0,0,0,0
"48",2,2,2,1,0,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,0,2,2
"49",1,1,0,0,1,1,0,1,0,1,1,0,1,1,2,1,1,1,1,1,1,2,1,0
"50",2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2
"51",1,2,1,0,0,2,1,0,2,2,2,2,2,2,1,1,2,2,0,2,1,0,2,2
"52",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1
"53",0,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0,2,1,0,1,0,0,0,0
"54",1,1,1,1,0,2,1,1,2,1,1,2,1,1,2,1,2,2,0,2,1,0,1,1
"55",1,0,1,0,0,1,0,0,1,1,1,2,1,1,2,2,2,2,1,1,1,1,1,0
"56",2,2,2,1,0,1,2,0,1,2,2,2,2,2,2,2,2,2,1,2,2,0,2,2
"57",2,2,2,0,0,2,2,0,2,2,2,2,2,2,2,2,2,2,0,2,2,0,2,2
"58",1,2,2,1,0,1,0,1,2,2,2,2,2,2,1,2,2,2,0,2,1,0,2,1
"59",2,2,2,1,0,2,1,1,2,2,2,2,2,2,1,2,2,2,0,2,2,2,2,2
"60",1,2,2,1,1,1,1,1,2,2,2,2,1,2,1,1,2,2,1,2,1,0,2,1
"61",2,1,1,1,0,1,0,0,2,2,1,2,1,1,1,1,2,2,0,1,1,0,2,2
"62",2,2,2,0,0,0,0,0,2,2,2,2,2,2,0,2,2,2,0,2,0,0,0,0
"63",1,2,1,1,0,1,0,1,2,2,2,2,1,2,2,2,2,2,1,2,2,0,1,0
