"","Allele","D8S1179","D21S11","D7S820","CSF1PO","D3S1358","TH01","D13S317","D16S539","D2S1338","DS19S433","vWA","TPOX","D18S51","D5S818","FGA"
"1",6,NA,NA,NA,NA,NA,0.1151,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",7,NA,NA,0.0033,0.0034,NA,0.2599,NA,NA,NA,NA,NA,NA,NA,0.0097,NA
"3",8,0.0098,NA,0.1382,0.0034,NA,0.0559,0.2712,0.0097,NA,NA,NA,0.5359,NA,NA,NA
"4",9,NA,NA,0.0493,0.0582,NA,0.4605,0.1503,0.2305,NA,NA,NA,0.134,NA,0.0487,NA
"5",9.2,NA,NA,0.0033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",9.3,NA,NA,NA,NA,NA,0.0691,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",10,0.0784,NA,0.2039,0.2089,NA,0.0395,0.1144,0.1526,NA,NA,NA,0.0163,NA,0.1948,NA
"8",11,0.0784,NA,0.3421,0.2329,NA,NA,0.232,0.2857,NA,NA,NA,0.2941,0.0101,0.3929,NA
"9",12,0.1046,NA,0.2204,0.4041,NA,NA,0.1667,0.2045,NA,0.0654,NA,0.0196,0.0507,0.2208,NA
"10",13,0.2876,NA,0.0362,0.0719,NA,NA,0.0621,0.1006,NA,0.2288,0.0032,NA,0.2027,0.1201,NA
"11",13.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.049,NA,NA,NA,NA,NA
"12",14,0.1863,NA,0.0033,0.0171,0.0422,NA,0.0033,0.0162,NA,0.2582,0.2013,NA,0.2061,0.0097,NA
"13",14.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1176,NA,NA,NA,NA,NA
"14",15,0.1634,NA,NA,NA,0.3701,NA,NA,NA,NA,0.0752,0.0357,NA,0.1655,0.0032,NA
"15",15.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1536,NA,NA,NA,NA,NA
"16",16,0.0719,NA,NA,NA,0.3312,NA,NA,NA,0.0067,0.0098,0.263,NA,0.1115,NA,NA
"17",16.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0327,NA,NA,NA,NA,NA
"18",17,0.0196,NA,NA,NA,0.1916,NA,NA,NA,0.05,0.0065,0.1591,NA,0.0743,NA,NA
"19",17.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0033,NA,NA,NA,NA,NA
"20",18,NA,NA,NA,NA,0.0519,NA,NA,NA,0.1333,NA,0.2338,NA,0.0507,NA,0.0392
"21",19,NA,NA,NA,NA,0.013,NA,NA,NA,0.16,NA,0.0974,NA,0.0541,NA,0.0686
"22",19.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0033
"23",20,NA,NA,NA,NA,NA,NA,NA,NA,0.1333,NA,0.0065,NA,0.0405,NA,0.0458
"24",21,NA,NA,NA,NA,NA,NA,NA,NA,0.03,NA,NA,NA,0.0101,NA,0.098
"25",22,NA,NA,NA,NA,NA,NA,NA,NA,0.04,NA,NA,NA,0.0101,NA,0.1765
"26",22.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0033
"27",23,NA,NA,NA,NA,NA,NA,NA,NA,0.2133,NA,NA,NA,0.0135,NA,0.1961
"28",23.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0098
"29",24,NA,NA,NA,NA,NA,NA,NA,NA,0.14,NA,NA,NA,NA,NA,0.2222
"30",25,NA,NA,NA,NA,NA,NA,NA,NA,0.0733,NA,NA,NA,NA,NA,0.1013
"31",25.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0065
"32",26,NA,NA,NA,NA,NA,NA,NA,NA,0.0167,NA,NA,NA,NA,NA,0.0131
"33",26.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0065
"34",27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0098
"35",28,NA,0.0563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",28.2,NA,0.0099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",29,NA,0.2384,NA,NA,NA,NA,NA,NA,0.0033,NA,NA,NA,NA,NA,NA
"38",30,NA,0.2815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",30.2,NA,0.0166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",31,NA,0.0927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",31.2,NA,0.1126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",32,NA,0.0199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",32.2,NA,0.1391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",33,NA,0.0099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",33.2,NA,0.0199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",34.2,NA,0.0033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
