"","XDATE","DELAY","CONTRIBUTOR","BID","ASK","FLAG"
"1",199706011928,1,"ANZM",24.8,25,0
"2",199706011931,1,"CBAP",24.82,25.02,0
"3",199706012126,1,"ANZM",24.85,25.005,0
"4",199706012134,1,"CBAP",24.83,25.03,0
"5",199706012134,1,"CBAP",24.8,25,0
"6",199706012136,1,"ANZM",24.8,25,0
"7",199706012138,1,"CBAP",24.81,25.01,0
"8",199706012218,1,"ANZM",24.85,25.05,0
"9",199706012224,1,"CBAP",24.8,25,0
"10",199706012330,1,"ANZM",24.8,25,0
"11",199706012338,1,"AIGH",24.7,24.9,0
"12",199706012340,1,"AIGH",24.65,24.85,0
"13",199706012343,1,"MBRC",24.8,25,0
"14",199706012343,1,"AIGH",24.8,24.95,0
"15",199706012344,1,"AIGH",24.8,24.9,0
"16",199706012345,1,"SIME",24.7,24.8,0
"17",199706012350,2,"AIGH",24.75,24.85,0
"18",199706012353,1,"AIGH",24.8,24.85,0
"19",199706012358,1,"AIGH",24.75,24.82,0
"20",199706012359,1,"AIGH",24.77,24.82,0
"21",199706020002,1,"AIGH",24.8,24.82,0
"22",199706020004,1,"BBLS",24.8,24.85,0
"23",199706020005,2,"AIGH",24.75,24.8,0
"24",199706020018,1,"HKBK",24.75,24.85,0
"25",199706020019,1,"AIGH",24.8,24.85,0
"26",199706020022,1,"AIGH",24.7,24.8,0
"27",199706020022,1,"BBLS",24.75,24.9,0
"28",199706020023,1,"AIGH",24.7,24.75,0
"29",199706020024,1,"MBRC",24.7,24.8,0
"30",199706020025,1,"SUMS",24.75,24.85,0
"31",199706020026,1,"AIGH",24.75,24.8,0
"32",199706020027,1,"AIGH",24.7,24.8,0
"33",199706020032,1,"AIGH",24.75,24.8,0
"34",199706020036,1,"AIGH",24.7,24.75,0
"35",199706020037,2,"AIGH",24.75,24.77,0
"36",199706020039,1,"ANZS",24.7,24.8,0
"37",199706020040,1,"BBLH",24.7,24.8,0
"38",199706020042,1,"AIGH",24.8,24.9,0
"39",199706020043,1,"AIGH",24.8,24.85,0
