"","X.Y..m..d.","NYSE"
"1","1966-01-04",49.92
"2","1966-01-05",50.23
"3","1966-01-06",50.32
"4","1966-01-07",50.37
"5","1966-01-10",50.49
"6","1966-01-11",50.53
"7","1966-01-12",50.44
"8","1966-01-13",50.54
"9","1966-01-14",50.64
"10","1966-01-17",50.83
"11","1966-01-18",50.97
"12","1966-01-19",50.85
"13","1966-01-20",50.66
"14","1966-01-21",50.69
"15","1966-01-24",50.85
"16","1966-01-25",50.89
"17","1966-01-26",50.84
"18","1966-01-27",50.82
"19","1966-01-28",50.66
"20","1966-01-31",50.44
"21","1966-02-01",50.04
"22","1966-02-02",50.26
"23","1966-02-03",50.32
"24","1966-02-04",50.64
"25","1966-02-07",50.81
"26","1966-02-08",50.77
"27","1966-02-09",51.06
"28","1966-02-10",50.92
"29","1966-02-11",50.91
"30","1966-02-14",50.86
"31","1966-02-15",50.64
"32","1966-02-16",50.63
"33","1966-02-17",50.36
"34","1966-02-18",50.26
"35","1966-02-21",49.96
"36","1966-02-23",49.74
"37","1966-02-24",49.41
"38","1966-02-25",49.55
"39","1966-02-28",49.61
"40","1966-03-01",48.98
"41","1966-03-02",48.5
"42","1966-03-03",48.7
"43","1966-03-04",48.55
"44","1966-03-07",47.89
"45","1966-03-08",47.94
"46","1966-03-09",48.34
"47","1966-03-10",48.35
"48","1966-03-11",48.31
"49","1966-03-14",47.75
"50","1966-03-15",47.43
"51","1966-03-16",47.69
"52","1966-03-17",47.84
"53","1966-03-18",48.07
"54","1966-03-21",48.44
"55","1966-03-22",48.58
"56","1966-03-23",48.42
"57","1966-03-24",48.49
"58","1966-03-25",48.61
"59","1966-03-28",48.7
"60","1966-03-29",48.5
"61","1966-03-30",48.1
"62","1966-03-31",48.37
"63","1966-04-01",48.76
"64","1966-04-04",49.2
"65","1966-04-05",49.51
"66","1966-04-06",49.64
"67","1966-04-07",49.74
"68","1966-04-11",49.72
"69","1966-04-12",49.57
"70","1966-04-13",49.59
"71","1966-04-14",49.69
"72","1966-04-15",49.78
"73","1966-04-18",49.58
"74","1966-04-19",49.61
"75","1966-04-20",49.88
"76","1966-04-21",50.04
"77","1966-04-22",49.94
"78","1966-04-25",49.89
"79","1966-04-26",49.76
"80","1966-04-27",49.59
"81","1966-04-28",49.29
"82","1966-04-29",49.29
"83","1966-05-02",49.23
"84","1966-05-03",48.68
"85","1966-05-04",48.42
"86","1966-05-05",47.58
"87","1966-05-06",47.49
"88","1966-05-09",46.67
"89","1966-05-10",47.07
"90","1966-05-11",47.15
"91","1966-05-12",46.57
"92","1966-05-13",46.09
"93","1966-05-16",45.48
"94","1966-05-17",45.06
"95","1966-05-18",45.92
"96","1966-05-19",45.85
"97","1966-05-20",46.07
"98","1966-05-23",46.48
"99","1966-05-24",46.8
"100","1966-05-25",46.98
"101","1966-05-26",46.98
"102","1966-05-27",47.14
"103","1966-05-31",46.5
"104","1966-06-01",46.51
"105","1966-06-02",46.48
"106","1966-06-03",46.54
"107","1966-06-06",46.21
"108","1966-06-07",45.88
"109","1966-06-08",45.95
"110","1966-06-09",46.28
"111","1966-06-10",46.78
"112","1966-06-13",47
"113","1966-06-14",47.16
"114","1966-06-15",46.98
"115","1966-06-16",46.87
"116","1966-06-17",46.88
"117","1966-06-20",46.86
"118","1966-06-21",47.03
"119","1966-06-22",47.12
"120","1966-06-23",46.93
"121","1966-06-24",46.95
"122","1966-06-27",46.66
"123","1966-06-28",46.44
"124","1966-06-29",45.98
"125","1966-06-30",45.91
"126","1966-07-01",46.36
"127","1966-07-05",46.44
"128","1966-07-06",47.09
"129","1966-07-07",47.26
"130","1966-07-08",47.34
"131","1966-07-11",47.27
"132","1966-07-12",47.03
"133","1966-07-13",46.74
"134","1966-07-14",47.01
"135","1966-07-15",47.15
"136","1966-07-18",47.1
"137","1966-07-19",46.76
"138","1966-07-20",46.34
"139","1966-07-21",46.33
"140","1966-07-22",46.29
"141","1966-07-25",45.42
"142","1966-07-26",45.31
"143","1966-07-27",45.54
"144","1966-07-28",45.37
"145","1966-07-29",45.29
"146","1966-08-01",44.6
"147","1966-08-02",44.59
"148","1966-08-03",45.03
"149","1966-08-04",45.44
"150","1966-08-05",45.5
"151","1966-08-08",45.38
"152","1966-08-09",45.28
"153","1966-08-10",45.08
"154","1966-08-11",45.04
"155","1966-08-12",45.15
"156","1966-08-15",44.93
"157","1966-08-16",44.35
"158","1966-08-17",44.09
"159","1966-08-18",43.53
"160","1966-08-19",43.21
"161","1966-08-22",42.44
"162","1966-08-23",42.39
"163","1966-08-24",42.89
"164","1966-08-25",42.35
"165","1966-08-26",41.41
"166","1966-08-29",40.32
"167","1966-08-30",40.99
"168","1966-08-31",41.65
"169","1966-09-01",41.94
"170","1966-09-02",41.81
"171","1966-09-06",41.58
"172","1966-09-07",41.21
"173","1966-09-08",41.07
"174","1966-09-09",41.2
"175","1966-09-12",42.07
"176","1966-09-13",42.31
"177","1966-09-14",42.7
"178","1966-09-15",43.15
"179","1966-09-16",43.14
"180","1966-09-19",42.94
"181","1966-09-20",42.65
"182","1966-09-21",41.93
"183","1966-09-22",42.02
"184","1966-09-23",41.9
"185","1966-09-26",42
"186","1966-09-27",42.12
"187","1966-09-28",41.62
"188","1966-09-29",41.17
"189","1966-09-30",41.3
"190","1966-10-03",40.42
"191","1966-10-04",40.47
"192","1966-10-05",40.24
"193","1966-10-06",39.85
"194","1966-10-07",39.37
"195","1966-10-10",40.05
"196","1966-10-11",40.26
"197","1966-10-12",41.35
"198","1966-10-13",41.33
"199","1966-10-14",41.21
"200","1966-10-17",41.67
"201","1966-10-18",42.35
"202","1966-10-19",42.04
"203","1966-10-20",41.92
"204","1966-10-21",42.07
"205","1966-10-24",42.18
"206","1966-10-25",42.41
"207","1966-10-26",42.79
"208","1966-10-27",43.15
"209","1966-10-28",43.17
"210","1966-10-31",43.16
"211","1966-11-01",43.49
"212","1966-11-02",43.54
"213","1966-11-03",43.39
"214","1966-11-04",43.53
"215","1966-11-07",43.52
"216","1966-11-09",43.86
"217","1966-11-10",44.15
"218","1966-11-11",44.19
"219","1966-11-14",43.92
"220","1966-11-15",44.08
"221","1966-11-16",44.46
"222","1966-11-17",44.16
"223","1966-11-18",43.89
"224","1966-11-21",43.28
"225","1966-11-22",43.08
"226","1966-11-23",43.4
"227","1966-11-25",43.75
"228","1966-11-28",43.71
"229","1966-11-29",43.56
"230","1966-11-30",43.59
"231","1966-12-01",43.42
"232","1966-12-02",43.44
"233","1966-12-05",43.48
"234","1966-12-06",43.78
"235","1966-12-07",44.22
"236","1966-12-08",44.4
"237","1966-12-09",44.5
"238","1966-12-12",44.93
"239","1966-12-13",44.81
"240","1966-12-14",44.8
"241","1966-12-15",44.33
"242","1966-12-16",44.34
"243","1966-12-19",44.22
"244","1966-12-20",44.04
"245","1966-12-21",44.28
"246","1966-12-22",44.46
"247","1966-12-23",44.35
"248","1966-12-27",44.12
"249","1966-12-28",43.9
