"","Family","Genus","Specific","Carid","Epalch","Naven","Huite","Tzonte","Santon","Santia","Mitziton","Chilil","Bazom","Bvista","Cholol","Cruzton","Yalcuk","SJTunas","Barreno"
"1","Leguminosae","Acacia","angustissima",0,0,0,1,0,0,0,0,0,0,0,3,1,0,2,2
"2","Betulaceae","Alnus","acuminata",0,19,14,21,0,11,5,0,66,6,8,23,0,25,0,0
"3","Rosaceae","Amelanchier","nervosa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"4","Annonaceae","Genus1","sp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
"5","Ericaceae","Arbutus","xalapensis",0,7,103,40,0,4,50,0,20,9,3,4,2,6,11,0
"6","Myrsinaceae","Ardisia","densiflora",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
"7","Myrsinaceae","Ardisia","sp",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","Compositae","Baccaris","vaccinioides",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"9","Papaveraceae","Bocconia","arborea",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","Palmae","Brahea","edulis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"11","Brunelliaceae","Brunellia","mexicana",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","Buddlejaceae","Buddleja","cordata",0,11,11,49,79,8,15,3,41,3,0,7,0,35,0,0
"13","Buddlejaceae","Buddleja","nitida",0,0,0,20,12,0,0,0,0,0,0,0,0,2,0,0
"14","Buddlejaceae","Buddleja","skutchii",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","Malpighiaceae","Bunchosia","lanceolata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"16","Burseraceae","Bursera","simaruba",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"17","Leguminosae","Calliandra","houstoniana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"18","Myrtaceae","Calyptranthes","pallens",0,1,0,0,23,0,0,0,0,0,0,0,0,6,0,0
"19","Corylaceae","Carpinus","caroliniana",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"20","Rhamnaceae","Ceanothus","coeruleus",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","Meliaceae","Cedrela","odorata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"22","Celastraceae","Genus2","sp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"23","Celastraceae","Genus3","sp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"24","Solanaceae","Cestrum","auranthiaca",0,6,0,0,0,0,1,0,0,0,2,1,0,1,0,0
