"","Family","Genus","Specific","Gengen","Nauta","Maniti","Huanta","Panguana","Ex.Petroleros","San.Antonio","Santa.Ana","Tarapoto"
"2","Euphorbiaceae","Acalypha","cuneata",1,0,0,0,0,0,0,0,0
"4","Verbenaceae","Aegiphila","sp.1",0,0,0,0,1,0,0,0,0
"5","Opiliaceae","Agonandra","brasiliensis",0,1,0,0,1,0,0,0,0
"6","Euphorbiaceae","Alchornea","triplinervia",0,1,0,0,0,0,0,0,0
"8","Rubiaceae","Alibertia","triflora",0,1,0,0,0,0,0,0,0
"9","Sapindaceae","Allophylus","sp.1",0,0,0,0,0,0,1,0,0
"10","Sapindaceae","Allophylus","sp.2",0,0,0,0,0,0,0,0,1
"11","Sapindaceae","Allophylus","sp.3",0,0,0,0,0,0,0,0,1
"12","Sapindaceae","Allophylus","sp.4",0,0,0,0,0,3,0,0,0
"13","Rubiaceae","Amaioua","corymbosa",0,0,2,0,0,0,0,0,0
"14","Ulmaceae","Ampelocera","edentula",2,0,0,0,0,1,1,1,1
"15","Ulmaceae","Ampelocera","sp.1",0,0,0,0,0,0,0,1,0
"16","Anacardiaceae","Indet","sp.1",0,0,0,0,0,0,0,1,0
"18","Anacardiaceae","Indet","sp.3",0,1,0,0,0,0,0,0,0
"19","Anacardiaceae","Indet","sp.4",0,0,0,0,0,0,0,1,0
"21","Anacardiaceae","Indet","sp.6",0,0,0,0,1,0,0,0,0
"22","Anacardiaceae","Indet","sp.7",0,0,0,0,0,2,0,0,0
"23","Lauraceae","Anaueria","brasiliensis",0,1,0,3,0,0,1,0,0
"24","Annonaceae","Anaxagorea","brachycarpa",0,0,1,4,0,0,0,0,0
"25","Annonaceae","Anaxagorea","brevipes",0,0,1,0,0,0,0,1,0
"26","Annonaceae","Anaxagorea","phaeocarpa",1,0,0,0,0,0,0,0,0
"27","Annonaceae","Anaxagorea","sp.1",0,0,0,0,0,3,0,0,0
"28","Lauraceae","Aniba","hostmanniana",0,0,0,2,0,0,0,0,0
"31","Lauraceae","Aniba","sp.1",0,0,1,0,1,0,0,0,1
"33","Annonaceae","Annona","duckei",0,0,1,0,0,0,1,0,0
"34","Annonaceae","Annona","sp.1",0,1,0,0,0,0,0,0,0
"35","Annonaceae","Annona","sp.2",0,0,0,0,0,0,2,0,0
"36","Annonaceae","Annona","sp.3",1,0,1,0,0,0,0,0,0
"37","Annonaceae","Indet","sp.1",0,0,0,0,0,0,0,1,0
"38","Annonaceae","Indet","sp.10",0,0,0,0,0,1,0,0,0
"39","Annonaceae","Indet","sp.11",0,0,0,0,0,1,0,0,0
"40","Annonaceae","Indet","sp.15",0,0,0,0,0,0,0,1,0
"41","Annonaceae","Indet","sp.2",0,0,0,0,0,0,0,0,1
"42","Annonaceae","Indet","sp.21",0,0,0,0,0,0,0,0,1
