"","dust","race","sex","smok","emp","yes","no"
"1","most","white","male","smoker","<10",3,37
"2","less","white","male","smoker","<10",0,74
"3","least","white","male","smoker","<10",2,258
"4","most","non-white","male","smoker","<10",25,139
"5","less","non-white","male","smoker","<10",0,88
"6","least","non-white","male","smoker","<10",3,242
"7","most","white","female","smoker","<10",0,5
"8","less","white","female","smoker","<10",1,93
"9","least","white","female","smoker","<10",3,180
"10","most","non-white","female","smoker","<10",2,22
"11","less","non-white","female","smoker","<10",2,145
"12","least","non-white","female","smoker","<10",3,260
"13","most","white","male","non","<10",0,16
"14","less","white","male","non","<10",0,35
"15","least","white","male","non","<10",0,134
"16","most","non-white","male","non","<10",6,75
"17","less","non-white","male","non","<10",1,47
"18","least","non-white","male","non","<10",1,122
"19","most","white","female","non","<10",0,4
"20","less","white","female","non","<10",1,54
"21","least","white","female","non","<10",2,169
"22","most","non-white","female","non","<10",1,24
"23","less","non-white","female","non","<10",3,142
"24","least","non-white","female","non","<10",4,301
"25","most","white","male","smoker","10-20",8,21
"26","less","white","male","smoker","10-20",1,50
"27","least","white","male","smoker","10-20",1,187
"28","most","non-white","male","smoker","10-20",8,30
"29","less","non-white","male","smoker","10-20",0,5
"30","least","non-white","male","smoker","10-20",0,33
"31","most","white","female","smoker","10-20",0,0
"32","less","white","female","smoker","10-20",1,33
"33","least","white","female","smoker","10-20",2,94
"34","most","non-white","female","smoker","10-20",0,0
"35","less","non-white","female","smoker","10-20",0,4
"36","least","non-white","female","smoker","10-20",0,3
"37","most","white","male","non","10-20",2,8
"38","less","white","male","non","10-20",1,16
"39","least","white","male","non","10-20",0,58
"40","most","non-white","male","non","10-20",1,9
"41","less","non-white","male","non","10-20",0,0
"42","least","non-white","male","non","10-20",0,7
"43","most","white","female","non","10-20",0,0
"44","less","white","female","non","10-20",0,30
"45","least","white","female","non","10-20",1,90
"46","most","non-white","female","non","10-20",0,0
"47","less","non-white","female","non","10-20",0,4
"48","least","non-white","female","non","10-20",0,4
"49","most","white","male","smoker",">20",31,77
"50","less","white","male","smoker",">20",1,141
"51","least","white","male","smoker",">20",12,495
"52","most","non-white","male","smoker",">20",10,31
"53","less","non-white","male","smoker",">20",0,1
"54","least","non-white","male","smoker",">20",0,45
"55","most","white","female","smoker",">20",0,1
"56","less","white","female","smoker",">20",3,91
"57","least","white","female","smoker",">20",3,176
"58","most","non-white","female","smoker",">20",0,1
"59","less","non-white","female","smoker",">20",0,0
"60","least","non-white","female","smoker",">20",0,2
"61","most","white","male","non",">20",5,47
"62","less","white","male","non",">20",0,39
"63","least","white","male","non",">20",3,182
"64","most","non-white","male","non",">20",3,15
"65","less","non-white","male","non",">20",0,1
"66","least","non-white","male","non",">20",0,23
"67","most","white","female","non",">20",0,2
"68","less","white","female","non",">20",3,187
"69","least","white","female","non",">20",2,340
"70","most","non-white","female","non",">20",0,0
"71","less","non-white","female","non",">20",0,2
"72","least","non-white","female","non",">20",0,3
