"","r","n","centre","treat"
"1",3,39,1,"C"
"2",14,116,2,"C"
"3",11,93,3,"C"
"4",127,1520,4,"C"
"5",27,365,5,"C"
"6",6,52,6,"C"
"7",152,939,7,"C"
"8",48,471,8,"C"
"9",37,282,9,"C"
"10",188,1921,10,"C"
"11",52,583,11,"C"
"12",47,266,12,"C"
"13",16,293,13,"C"
"14",45,883,14,"C"
"15",31,147,15,"C"
"16",38,213,16,"C"
"17",12,122,17,"C"
"18",6,154,18,"C"
"19",3,134,19,"C"
"20",40,218,20,"C"
"21",43,364,21,"C"
"22",39,674,22,"C"
"23",3,38,1,"T"
"24",7,114,2,"T"
"25",5,69,3,"T"
"26",102,1533,4,"T"
"27",28,355,5,"T"
"28",4,59,6,"T"
"29",98,945,7,"T"
"30",60,632,8,"T"
"31",25,278,9,"T"
"32",138,1916,10,"T"
"33",64,873,11,"T"
"34",45,263,12,"T"
"35",9,291,13,"T"
"36",57,858,14,"T"
"37",25,154,15,"T"
"38",33,207,16,"T"
"39",28,251,17,"T"
"40",8,151,18,"T"
"41",6,174,19,"T"
"42",32,209,20,"T"
"43",27,391,21,"T"
"44",22,680,22,"T"
