"","y","n","x"
"1",2,4,1.735
"2",3,10,1.936
"3",1,5,2
"4",3,10,1.973
"5",2,2,1.75
"6",3,5,1.8
"7",2,8,1.75
"8",7,19,2.077
"9",3,6,1.92
"10",8,10,1.8
"11",7,24,2.05
"12",0,1,1.83
"13",15,30,1.65
"14",4,22,2.2
"15",0,1,2
"16",6,11,1.77
"17",0,1,1.92
"18",33,54,1.77
"19",4,9,2.24
"20",5,18,1.62
"21",2,12,1.756
"22",0,1,1.65
"23",8,11,2.25
"24",41,77,1.796
"25",24,51,1.89
"26",7,16,1.871
"27",46,82,2.063
"28",9,13,2.1
"29",23,43,1.918
"30",53,75,1.834
"31",8,13,1.78
"32",3,10,1.9
"33",1,6,1.976
"34",23,37,2.292
