"","type","treat","time"
"1","I","A",0.31
"2","I","A",0.45
"3","I","A",0.46
"4","I","A",0.43
"5","I","B",0.82
"6","I","B",1.1
"7","I","B",0.88
"8","I","B",0.72
"9","I","C",0.43
"10","I","C",0.45
"11","I","C",0.63
"12","I","C",0.76
"13","I","D",0.45
"14","I","D",0.71
"15","I","D",0.66
"16","I","D",0.62
"17","II","A",0.36
"18","II","A",0.29
"19","II","A",0.4
"20","II","A",0.23
"21","II","B",0.92
"22","II","B",0.61
"23","II","B",0.49
"24","II","B",1.24
"25","II","C",0.44
"26","II","C",0.35
"27","II","C",0.31
"28","II","C",0.4
"29","II","D",0.56
"30","II","D",1.02
"31","II","D",0.71
"32","II","D",0.38
"33","III","A",0.22
"34","III","A",0.21
"35","III","A",0.18
"36","III","A",0.23
"37","III","B",0.3
"38","III","B",0.37
"39","III","B",0.38
"40","III","B",0.29
"41","III","C",0.23
"42","III","C",0.25
"43","III","C",0.24
"44","III","C",0.22
"45","III","D",0.3
"46","III","D",0.36
"47","III","D",0.31
"48","III","D",0.33
