"","n","c","age","dist","car"
"1",197,38,"<25","rural","<1"
"2",284,63,"<25","rural","1-1.5"
"3",133,19,"<25","rural","1.5-2"
"4",24,4,"<25","rural",">2"
"5",85,22,"<25","small towns","<1"
"6",149,25,"<25","small towns","1-1.5"
"7",66,14,"<25","small towns","1.5-2"
"8",9,4,"<25","small towns",">2"
"9",35,5,"<25","large towns","<1"
"10",53,10,"<25","large towns","1-1.5"
"11",24,8,"<25","large towns","1.5-2"
"12",7,3,"<25","large towns",">2"
"13",20,2,"<25","major cities","<1"
"14",31,7,"<25","major cities","1-1.5"
"15",18,5,"<25","major cities","1.5-2"
"16",3,0,"<25","major cities",">2"
"17",264,35,"25-29","rural","<1"
"18",536,84,"25-29","rural","1-1.5"
"19",286,52,"25-29","rural","1.5-2"
"20",71,18,"25-29","rural",">2"
"21",139,19,"25-29","small towns","<1"
"22",313,51,"25-29","small towns","1-1.5"
"23",175,46,"25-29","small towns","1.5-2"
"24",48,15,"25-29","small towns",">2"
"25",73,11,"25-29","large towns","<1"
"26",155,24,"25-29","large towns","1-1.5"
"27",78,19,"25-29","large towns","1.5-2"
"28",29,2,"25-29","large towns",">2"
"29",33,5,"25-29","major cities","<1"
"30",81,10,"25-29","major cities","1-1.5"
"31",39,7,"25-29","major cities","1.5-2"
"32",16,6,"25-29","major cities",">2"
"33",246,20,"30-35","rural","<1"
"34",696,89,"30-35","rural","1-1.5"
"35",355,74,"30-35","rural","1.5-2"
"36",99,19,"30-35","rural",">2"
"37",151,22,"30-35","small towns","<1"
"38",419,49,"30-35","small towns","1-1.5"
"39",221,39,"30-35","small towns","1.5-2"
"40",72,12,"30-35","small towns",">2"
"41",89,10,"30-35","large towns","<1"
"42",240,37,"30-35","large towns","1-1.5"
"43",121,24,"30-35","large towns","1.5-2"
"44",43,8,"30-35","large towns",">2"
"45",40,4,"30-35","major cities","<1"
"46",122,22,"30-35","major cities","1-1.5"
"47",68,16,"30-35","major cities","1.5-2"
"48",25,8,"30-35","major cities",">2"
"49",1680,156,">35","rural","<1"
"50",3582,400,">35","rural","1-1.5"
"51",1640,233,">35","rural","1.5-2"
"52",452,77,">35","rural",">2"
"53",931,87,">35","small towns","<1"
"54",2443,290,">35","small towns","1-1.5"
"55",1110,143,">35","small towns","1.5-2"
"56",322,53,">35","small towns",">2"
"57",648,67,">35","large towns","<1"
"58",1635,187,">35","large towns","1-1.5"
"59",692,101,">35","large towns","1.5-2"
"60",245,37,">35","large towns",">2"
"61",316,36,">35","major cities","<1"
"62",724,102,">35","major cities","1-1.5"
"63",344,63,">35","major cities","1.5-2"
"64",114,33,">35","major cities",">2"
