"","hbefore","hafter","sex","hchange","hrelchange","hb","hbnew","raised"
"11",28,37,"male",9,0.321428571428571,"(-Inf,50]","3","FALSE"
"19",42,43,"male",1,0.0238095238095238,"(-Inf,50]","3","FALSE"
"9",43,37,"female",-6,-0.13953488372093,"(-Inf,50]","3","FALSE"
"12",45,51,"male",6,0.133333333333333,"(-Inf,50]","3","FALSE"
"7",46,46,"female",0,0,"(-Inf,50]","3","FALSE"
"8",47,50,"female",3,0.0638297872340425,"(-Inf,50]","3","FALSE"
"5",49,74,"female",25,0.510204081632653,"(-Inf,50]","3","FALSE"
"14",49,53,"male",4,0.0816326530612245,"(-Inf,50]","3","FALSE"
"1",51,58,"female",7,0.137254901960784,"(50,65]","1","FALSE"
"17",51,71,"male",20,0.392156862745098,"(50,65]","1","FALSE"
"2",54,65,"female",11,0.203703703703704,"(50,65]","1","FALSE"
"4",54,77,"female",23,0.425925925925926,"(50,65]","1","FALSE"
"6",54,59,"female",5,0.0925925925925926,"(50,65]","1","FALSE"
"15",56,90,"male",34,0.607142857142857,"(50,65]","1","FALSE"
"13",59,56,"male",-3,-0.0508474576271186,"(50,65]","1","FALSE"
"3",61,86,"female",25,0.409836065573771,"(50,65]","1","FALSE"
"16",69,80,"male",11,0.159420289855072,"(65,75]","2","TRUE"
"18",74,88,"male",14,0.189189189189189,"(65,75]","2","TRUE"
"10",86,82,"male",-4,-0.0465116279069767,"(75, Inf]","3","TRUE"
