"","child","group","time","eft"
"1",1,"row",317,59
"2",2,"row",464,33
"3",3,"row",525,49
"4",4,"row",298,69
"5",5,"row",491,65
"6",6,"row",196,26
"7",7,"row",268,29
"8",8,"row",372,62
"9",9,"row",370,31
"10",10,"row",739,139
"11",11,"row",430,74
"12",12,"row",410,31
"13",13,"corner",342,48
"14",14,"corner",222,23
"15",15,"corner",219,9
"16",16,"corner",513,128
"17",17,"corner",295,44
"18",18,"corner",285,49
"19",19,"corner",408,87
"20",20,"corner",543,43
"21",21,"corner",298,55
"22",22,"corner",494,58
"23",23,"corner",317,113
"24",24,"corner",407,7
