"","time","RealInt"
"1",1961,1.99132
"2",1961.25,0.00403
"3",1961.5,2.27
"4",1961.75,0.84833
"5",1962,1.89112
"6",1962.25,-0.28
"7",1962.5,3.68431
"8",1962.75,1.62478
"9",1963,1.21599
"10",1963.25,1.28373
"11",1963.5,1.70141
"12",1963.75,3.16687
"13",1964,2.32779
"14",1964.25,2.26202
"15",1964.5,1.91218
"16",1964.75,3.53196
"17",1965,-0.31777
"18",1965.25,3.44694
"19",1965.5,1.52422
"20",1965.75,0.74268
"21",1966,1.31541
"22",1966.25,0.36646
"23",1966.5,3.59562
"24",1966.75,3.6574
"25",1967,0.97494
"26",1967.25,-0.5328
"27",1967.5,1.12681
"28",1967.75,0.31123
"29",1968,0.57834
"30",1968.25,1.08163
"31",1968.5,0.24977
"32",1968.75,0.23792
"33",1969,-0.32653
"34",1969.25,1.14733
"35",1969.5,1.19323
"36",1969.75,2.58962
"37",1970,0.01195
"38",1970.25,2.63842
"39",1970.5,0.42092
"40",1970.75,2.58823
"41",1971,-2.19809
"42",1971.25,2.89548
"43",1971.5,1.8213
"44",1971.75,0.86332
"45",1972,0.67496
"46",1972.25,0.34435
"47",1972.5,1.22762
"48",1972.75,-2.83991
"49",1973,-1.8163
"50",1973.25,-2.22965
"51",1973.5,-1.58457
"52",1973.75,-6.31184
"53",1974,-2.46258
"54",1974.25,-5.61479
"55",1974.5,-3.53887
"56",1974.75,1.0178
"57",1975,-1.58875
"58",1975.25,-1.85396
"59",1975.5,-0.2567
"60",1975.75,2.42226
"61",1976,-1.29502
"62",1976.25,-0.48977
"63",1976.5,1.21167
"64",1976.75,-4.85498
"65",1977,-3.599
"66",1977.25,0.17094
"67",1977.5,1.51603
"68",1977.75,-1.85304
"69",1978,-5.60478
"70",1978.25,-1.25767
"71",1978.5,0.96658
"72",1978.75,-3.09451
"73",1979,-5.26773
"74",1979.25,-4.03154
"75",1979.5,-1.76618
"76",1979.75,-5.73978
"77",1980,3.83047
"78",1980.25,0.52007
"79",1980.5,-0.18033
"80",1980.75,3.82808
"81",1981,3.01171
"82",1981.25,2.75289
"83",1981.5,11.74184
"84",1981.75,9.91701
"85",1982,3.03444
"86",1982.25,10.15143
"87",1982.5,9.29177
"88",1982.75,6.87498
"89",1983,2.43675
"90",1983.25,4.37202
"91",1983.5,6.77774
"92",1983.75,4.16692
"93",1984,5.65037
"94",1984.25,5.17734
"95",1984.5,9.41206
"96",1984.75,3.77006
"97",1985,4.24568
"98",1985.25,4.53154
"99",1985.5,3.39706
"100",1985.75,8.93951
"101",1986,4.20825
"102",1986.25,3.43461
"103",1986.5,4.30529
