""," Valkenburg"," Ijmuiden"," De Kooy"," Schiphol"," Vlieland"," Berkhout"," Hoorn"," De Bilt"," Soesterberg"," Stavoren"," Lelystad"," Leeuwarden"," Marknesse"," Deelen"," Lauwersoog"," Heino"," Hoogeveen"," Eelde"," Hupsel"," Nieuw Beerta"," Twenthe"," Vlissingen"," Westdorpe"," Wilhelminadorp"," Hoek Van Holland"," Woensdrecht"," Rotterdam"," Cabauw"," Gilze-Rijen"," Herwijnen"," Eindhoven"," Volkel"," Ell"," Maastricht"," Arcen"
"1971",278,NA,360,283,NA,NA,NA,247,221,NA,NA,278,NA,252,NA,NA,NA,314,NA,NA,211,262,NA,NA,NA,NA,231,NA,304,NA,216,221,NA,252,NA
"1972",334,NA,376,345,NA,NA,NA,288,262,NA,NA,391,NA,340,NA,NA,NA,386,NA,NA,278,360,NA,NA,NA,NA,324,NA,324,NA,288,334,NA,278,NA
"1973",376,NA,365,360,NA,NA,NA,304,283,NA,NA,334,NA,226,NA,NA,NA,278,NA,NA,247,355,NA,NA,NA,NA,376,NA,314,NA,293,324,NA,288,NA
"1974",314,NA,304,309,NA,NA,NA,273,329,NA,NA,298,NA,268,NA,NA,NA,309,NA,NA,242,324,NA,NA,NA,NA,314,NA,288,NA,283,278,NA,262,NA
"1975",278,NA,278,273,NA,NA,NA,252,221,NA,NA,262,NA,242,NA,NA,NA,268,NA,NA,216,293,NA,NA,NA,NA,273,NA,242,NA,242,216,NA,309,NA
"1976",350,NA,345,360,NA,NA,NA,329,293,NA,NA,381,NA,319,NA,NA,NA,350,NA,NA,345,381,NA,NA,NA,NA,324,NA,360,NA,288,386,NA,298,NA
"1977",324,NA,298,355,NA,NA,NA,319,319,NA,NA,298,NA,298,NA,NA,NA,319,NA,NA,257,319,NA,NA,NA,NA,283,NA,257,NA,237,278,NA,262,NA
"1978",298,NA,329,314,NA,NA,NA,257,257,NA,NA,304,NA,268,NA,NA,NA,252,NA,NA,314,298,NA,NA,NA,NA,273,NA,298,NA,319,226,NA,268,NA
"1979",252,NA,298,298,NA,NA,NA,237,231,NA,NA,252,NA,262,NA,NA,NA,237,NA,NA,231,293,NA,NA,NA,NA,268,NA,252,NA,273,242,NA,273,NA
"1980",242,NA,298,262,NA,NA,NA,237,242,NA,NA,257,NA,221,NA,NA,NA,262,NA,NA,201,309,NA,NA,NA,NA,273,NA,247,NA,221,195,NA,242,NA
"1981",273,329,293,262,NA,NA,NA,252,242,NA,NA,288,NA,247,NA,NA,NA,298,NA,NA,226,319,NA,NA,319,NA,288,NA,268,NA,273,252,NA,257,NA
"1982",298,314,273,314,NA,NA,NA,257,257,NA,NA,268,NA,273,NA,NA,NA,268,NA,NA,247,340,NA,NA,314,NA,262,NA,288,NA,257,257,NA,293,NA
"1983",381,386,324,309,NA,NA,NA,293,324,NA,NA,324,NA,293,NA,NA,NA,319,NA,NA,268,401,NA,NA,340,NA,319,NA,329,NA,314,334,NA,293,NA
"1984",350,365,334,293,NA,NA,NA,257,309,NA,NA,360,NA,288,NA,NA,NA,360,NA,NA,298,355,NA,NA,329,NA,288,NA,278,NA,340,283,NA,283,NA
"1985",283,273,293,237,NA,NA,NA,278,231,NA,NA,257,NA,226,NA,NA,NA,314,NA,NA,268,345,NA,NA,278,NA,242,NA,221,NA,252,221,NA,237,NA
"1986",376,NA,319,293,NA,NA,NA,304,293,NA,NA,283,NA,309,NA,NA,NA,288,NA,NA,324,360,NA,NA,319,NA,278,NA,340,NA,309,298,NA,268,NA
"1987",365,NA,376,350,NA,NA,NA,252,288,NA,NA,309,NA,268,NA,NA,NA,283,NA,NA,237,355,NA,NA,329,NA,288,293,298,NA,257,252,NA,262,NA
"1988",278,NA,304,262,NA,NA,NA,221,268,NA,NA,278,NA,247,NA,NA,NA,247,NA,NA,293,309,NA,NA,381,NA,273,257,252,NA,252,247,NA,278,NA
"1989",268,175,278,278,NA,NA,NA,226,226,NA,NA,273,257,252,NA,NA,206,252,180,NA,242,293,NA,NA,268,NA,242,247,237,216,216,247,NA,231,NA
"1990",365,442,406,412,NA,NA,NA,350,360,NA,365,365,350,329,NA,314,324,355,293,350,293,412,NA,340,401,NA,417,386,355,370,345,355,NA,340,NA
"1991",278,304,324,288,NA,NA,NA,288,298,309,252,273,257,257,NA,231,237,288,231,273,247,350,NA,273,293,NA,257,268,252,268,340,252,NA,293,226
"1992",288,298,278,283,NA,NA,NA,288,262,283,288,268,293,304,288,293,283,278,309,288,298,370,304,293,293,NA,283,329,293,324,278,329,NA,309,252
