"","ACOR","AORE","ASAL","CALB","CBAD","CCOR","CLER","CSE1","CSE2","CTO1"
"C_1",0.641843749999999,0.4304375,0.37496875,NA,-0.644875,-0.136593750000001,NA,NA,0.155906249999999,-0.466281250000001
"C_2",2.17284375,0.8564375,NA,0.00737500000000035,NA,0.0444062500000003,-1.3210625,-0.56371875,-0.76809375,-0.53028125
"C_3",0.85209375,0.9556875,-0.26228125,-0.130875000000001,-0.392125,0.26615625,-0.1993125,-0.494468750000001,-0.328843750000001,-0.266031250000001
"C_4",1.40509375,1.4986875,-0.0317812499999997,-0.102875,-0.324125,-0.160843749999999,-0.7263125,-0.53896875,-1.09084375,0.0719687499999999
"C_5",0.872343749999999,0.8559375,0.542968749999999,-0.103125000000001,-0.0318750000000003,0.0539062499999995,-0.8765625,-0.336718750000001,-0.65609375,-0.32078125
"C_6",1.70659375,0.3351875,0.53221875,0.173625,NA,-0.33934375,-0.8323125,-0.51496875,-1.03184375,0.0634687500000002
"S_1",0.20734375,-0.5790625,0.44796875,0.154375000000001,-0.0468749999999996,-0.40109375,0.5984375,-0.0342187499999995,-0.24609375,NA
"S_2",-1.95015625,-0.3590625,-0.43953125,0.276875,0.195625,0.33640625,0.6084375,0.34328125,0.74890625,0.23921875
"S_3",-1.28390625,0.4296875,-0.42578125,-0.261875,0.356875,0.10765625,0.3421875,0.134531249999999,NA,0.22296875
"S_4",-1.58690625,-1.9533125,0.28621875,0.555125,0.716375,0.00715625000000006,0.3916875,0.524031250000001,0.69965625,0.35996875
"S_5",-0.702906250000001,-1.0043125,0.54521875,-0.018375,0.0678749999999999,0.30115625,0.1631875,0.15803125,0.28865625,0.20146875
"S_6",-0.791156249999999,-1.5200625,0.62446875,NA,0.264625,0.35790625,0.4949375,-0.20771875,0.54790625,0.33821875
"S_7",-0.57340625,-0.1073125,0.0497187499999996,NA,0.094875,-0.50434375,0.0251874999999995,0.49753125,0.0956562499999998,0.26346875
"S_8",-1.10790625,0.0831875000000006,-1.75478125,-0.445875,0.410375,0.16365625,0.5781875,0.800531250000001,1.03365625,0.23896875
"S_F",-0.231906249999999,0.1766875,-0.33628125,-0.207375,-0.376125,-0.262843749999999,0.5091875,0.461531250000001,0.492156250000001,-0.22503125
"S_M",0.37009375,-0.0988125000000002,-0.48928125,-0.0478749999999997,NA,0.16665625,0.1961875,0.27603125,-0.31834375,-0.0905312499999997
