"","Q7.1","Q7.2","Q7.4","Q8.1","Q8.2","Q8.3","Q9Nav.3","Q29.2","Q29.3","Q30.1","Q30.2","Q30.3","Q40.1","Q40.3"
"1","1","1","3","1","2","2","2","1","2",NA,NA,"2","3","2"
"2","1","1","1","2","1","1","2","1","3","2",NA,NA,"2","2"
"3","1","1","1","2","2","2","2","1","2","1","1","2","3","3"
"4","1","1","1","1","1","1","1","1","1","1","1","1","3","1"
"5","1","3","1","1","1","1","1","2","2","1","2","2","2","2"
"6","1","1","1","1","2","1","1","1","1",NA,NA,NA,"2","1"
"7","2","2","2","1","1","1","2","2","2","2","2","2","2","1"
"8","3","3","1","1","1","1","2","2",NA,NA,NA,NA,"2","1"
"9","1","3","2","1","2","2","2","2","2","2","1","2","3","3"
"10","1","3","1","1","1","1","1","2","3","1","1","3","2","1"
"11","1","1","1","1","1","1","2","2","1","1","1","2","3","2"
"12","3","3","3","1","2","1",NA,NA,NA,NA,NA,NA,"2","1"
"13","1","3","1","1","1","1","2","1","1","2","1","1","2","2"
"14","2","2","2","1","2","1","1","1","1","1","1","2","2","1"
"15","1","1","1","2","1","1","1","1","2",NA,NA,NA,"1","1"
"16","3","3","3","1","1","1","2","2","2","2","2","3","3","2"
"17","1","1","1","1","1","1","1","1","1",NA,NA,NA,"1","1"
"18","1","1","1","1","1","1","2","2","2","2","2","2","2","2"
"19","2","3","1","1","1","1","1","2","2","1","2","2","3","1"
"20","1","1","2","1","1","1","1","1","3","1","2","3","2","1"
"21","1","1","3","1","1","1","1","2","3","1","2","2","2","2"
"22","1","3","1","1","1","1","1","1","2","1",NA,NA,"3","2"
"23","1","3","1","1","1","2","2","2","2","2","2","2","2","2"
"24","1","3","1","2","1","1","2","1","3","1","1","2","3","1"
"25","1","3","1","1","1","1","1","1",NA,NA,NA,NA,"2","1"
"26",NA,NA,NA,NA,NA,NA,NA,"1","1","2","2","2","3","2"
"27","1","3","1","1","1","1","1","1","2","1","1","2","2","2"
"28","2","3","2","1","1","1","2","2",NA,NA,NA,NA,"3","2"
"29","1","3","1","2","2","2","1","1","1","1","1","2","3","2"
"30","1","3","1","2","2","2","2","1","2","1","1","2","1","2"
"31","2","2","2","2","2","2","2","1","2",NA,NA,NA,"1","2"
"32","1",NA,"1","1","1","1","2","2","2","2","2",NA,"2","2"
"33","2","2","2","1","1","2","1",NA,NA,NA,NA,NA,"1","2"
"34","1","1","1","2","2","2","1","1","2","1","1","2","1","1"
"35","1","1","2","1","2","2","1","1","2","1","1",NA,"2","1"
"36","1","3","1","1","1","1","1","2","2","2","2","2","3","2"
"37","2","2","1","1","2","1","2","2","2",NA,NA,NA,"3","2"
"38","1","1","1","1","1","1","2","2","3","2","2","3","2","2"
"39","1","3","1","1","1","1","1","2","3",NA,NA,NA,"2","1"
"40","2","3","1","1","1","1","2","2","2",NA,NA,NA,"2","1"
"41","1","3","1","1","1","1",NA,"1","2","2","2",NA,"2","2"
"42","2","2","1","2","2","1","1","2","2","2","2","1","3","2"
"43","2","3","2","1","1","1","2","2","2","2","2","2","1","1"
"44","2","3","1","1","1","1","1","2","2","2","2","2","2","2"
"45","2","2","1","1","1","1","2","1",NA,"1","1",NA,"1",NA
"46","1","2","2","1","2","1","2","2","2","2","2","2","2","2"
"47","3","3","2","1","2","1","2",NA,NA,NA,NA,NA,"1","1"
"48","1","3","1","1","1","1","1","1","2","2","2","2","1","1"
"49","1","1","1","2","1","1","1","1","1","1","1","2","1","1"
"50","1","3","1","1","1","1","1","2","3","1","2","3","2","1"
"51","1","1","1","2","1","1","1","1",NA,"1","1",NA,"1","1"
"52","2","2","1","1","1","1","2","2","1","2","2",NA,"3","2"
"53","1","1","1","2","1","1","2","2","2","2","2","2","3","2"
