"","CLASS","AGE","SEX","SURV"
"1","1","1","1","1"
"2","1",NA,"1","1"
"3","1",NA,"1","1"
"4","1","1","1","1"
"5","1","1",NA,"1"
"6","1","1","1","1"
"7","1","1",NA,"1"
"8","1",NA,"1","1"
"9","1","1","1","1"
"10","1","1",NA,"1"
"11",NA,NA,NA,NA
"12","1","1","1",NA
"13",NA,"1","1","1"
"14","1","1","1","1"
"15","1","1","1","1"
"16",NA,"1",NA,NA
"17",NA,"1","1","1"
"18","1","1","1","1"
"19","1","1","1","1"
"20","1","1","1","1"
"21","1","1","1","1"
"22","1","1","1","1"
"23","1","1",NA,"1"
"24",NA,"1","1",NA
"25","1","1","1","1"
"26","1","1","1","1"
"27","1","1","1",NA
"28","1","1","1",NA
"29","1","1","1","1"
"30","1",NA,"1","1"
"31","1","1","1","1"
"32","1","1","1","1"
"33","1","1","1","1"
"34",NA,"1",NA,"1"
"35","1",NA,"1","1"
"36","1","1","1","1"
"37","1","1",NA,"1"
"38","1","1","1","1"
"39",NA,"1","1","1"
"40","1","1","1","1"
"41","1","1",NA,"1"
"42","1","1","1","1"
"43","1","1",NA,"1"
"44","1","1","1","1"
"45",NA,"1","1","1"
"46","1","1","1",NA
"47","1",NA,"1","1"
"48","1","1","1","1"
"49","1","1","1","1"
"50","1","1","1",NA
"51","1","1","1","1"
"52","1",NA,"1","1"
"53","1","1","1","1"
"54","1",NA,"1","1"
"55",NA,"1","1",NA
"56",NA,"1",NA,"1"
"57",NA,"1",NA,"1"
"58","1","1","1","0"
"59",NA,"1",NA,"0"
"60","1","1","1",NA
"61","1","1","1","0"
"62","1","1","1","0"
"63",NA,"1","1","0"
"64","1","1","1","0"
"65","1","1",NA,"0"
"66","1","1","1","0"
"67","1","1","1","0"
"68",NA,NA,"1","0"
"69","1","1","1","0"
"70","1",NA,"1","0"
"71","1","1","1","0"
"72","1","1","1","0"
"73","1","1","1","0"
"74","1","1","1","0"
"75","1",NA,NA,"0"
"76",NA,"1","1","0"
"77","1",NA,"1",NA
"78",NA,"1",NA,"0"
"79","1","1","1","0"
"80","1","1","1","0"
"81","1","1","1","0"
"82","1","1","1","0"
"83","1","1","1","0"
"84","1","1",NA,"0"
"85","1","1","1","0"
"86","1",NA,"1","0"
"87","1","1","1",NA
"88","1","1","1","0"
"89","1","1",NA,"0"
"90",NA,"1","1","0"
"91",NA,"1","1",NA
"92",NA,"1",NA,NA
"93","1","1","1","0"
"94",NA,"1","1","0"
"95","1",NA,"1","0"
"96",NA,NA,NA,"0"
"97","1","1","1","0"
"98","1","1",NA,"0"
"99","1","1","1","0"
"100","1","1",NA,"0"
"101","1",NA,"1","0"
"102","1","1","1","0"
"103","1","1","1","0"
"104",NA,"1","1",NA
"105","1","1","1","0"
"106",NA,"1","1",NA
"107",NA,"1","1","0"
"108","1",NA,NA,"0"
"109","1","1","1","0"
"110","1",NA,"1","0"
