"","Color.intensity","Odor.intensity","Attack.intensity","Sweet","Acid","Bitter","Pulp","Typicity"
"1",4.79166666666667,5.29166666666667,NA,NA,NA,2.83333333333333,NA,5.20833333333333
"2",4.58333333333333,6.04166666666667,4.41666666666667,5.45833333333333,4.125,3.54166666666667,4.625,4.45833333333333
"3",4.70833333333333,5.33333333333333,NA,NA,4.29166666666667,3.16666666666667,6.25,5.16666666666667
"4",6.58333333333333,6,7.41666666666667,4.16666666666667,6.75,NA,1.41666666666667,3.41666666666667
"5",NA,6.16666666666667,5.33333333333333,4.08333333333333,NA,4.375,3.41666666666667,4.41666666666667
"6",6.33333333333333,5,5.375,5,5.5,3.625,4.20833333333333,4.875
"7",4.29166666666667,4.91666666666667,5.29166666666667,5.54166666666667,5.25,NA,1.29166666666667,4.33333333333333
"8",NA,4.54166666666667,4.83333333333333,NA,4.95833333333333,2.91666666666667,1.54166666666667,3.95833333333333
"9",4.41666666666667,NA,5.16666666666667,4.625,5.04166666666667,3.66666666666667,1.54166666666667,3.95833333333333
"10",4.54166666666667,4.29166666666667,NA,5.79166666666667,4.375,NA,NA,5
"11",4.08333333333333,5.125,3.91666666666667,NA,NA,NA,7.33333333333333,5.25
"12",6.5,5.875,6.125,4.875,5.29166666666667,4.16666666666667,1.5,3.5
