"","v1","v2","v3","v4","v5","v6","v7","v8","v9","v10","v11","v12","v13","v14","v15","v16","v17","v18","v19","v20","v21","v22","v23","v24","v25","v26","v27","v28","v29","v30","v31","v32","v33"
"1","1",-0.994617125916083,"1","1",-1.47926720892627,"0",-3.62227970593182,-0.958666735663481,"1","1","0","0",-0.14810283180723,1.24505454193305,"1",0.34465576298456,-0.0847994502208141,"0","0","0","0",-0.347314645434838,-0.0395150204844309,-0.962520312099478,-0.617425065468842,"0","1","0",0.867675226775819,0.559487625606409,-0.485118462489469,"1",-0.311834022069691
"2","0",-0.00277816074841453,"1","1",0.216451864625267,"1",-2.18702090953835,-3.44184878491202,"0","0","1","1",0.531431523786578,-2.16735191098679,"0",-0.173925866965195,0.909146258262214,"0","0","0","0",-0.997609416631113,-0.451559809293807,-2.25890409278582,-0.178799162913074,"1","0","0",0.469131588997383,-1.32869307635389,-1.25174774163482,"0",-2.71284247411887
"3","0",-1.10398333867901,"1","1",-1.92833965900885,"0",-2.90166397946631,-0.659612437423444,"0","0","1","1",0.635529675872154,-1.62613293205312,"0",-1.30595518611337,-3.32907716550235,"0","0","0","0",-1.0019485734318,0.117724141206345,-0.444181452285101,-2.39202659807552,"0","1","0",-0.131190038622915,-1.0430967606905,-0.460786713385145,"0",-0.620570956244669
"4","0",-0.486102638387171,"0","1",0.529250509978798,"0",-0.958323297801684,0.317140370016417,"1","1","1","0",0.0144007700833486,-1.53769122849275,"0",0.525932815706079,0.343930233320356,"0","0","0","1",0.50877261088151,1.43163076938646,0.901030021316226,1.10266364348765,"0","0","0",0.666722192635899,-1.2809431244099,0.697387854068095,"1",-1.00313006631076
"5","0",0.63602771107011,"1","0",-1.34922773044169,"0",-2.35268289096012,-0.606505720015546,"0","0","0","0",-0.891472412430508,-3.52940628963181,"0",0.381702017043061,-1.11598366490235,"1","1","1","0",-1.22041029173497,-1.40352796848262,-0.9783373890706,-2.78245931869015,"0","0","1",-0.153022871056899,-2.16557088859826,-0.501038735090514,"0",-3.56339196965173
"6","1",-1.22256121940761,"0","0",-0.659093877492569,"0",-0.216458365812044,-0.665648346323464,"1","1","1","0",-0.591136657820597,-0.709717104127472,"0",0.306942283368043,0.279614253632105,"1","1","1","0",-0.580024201782883,-0.960098431114714,-0.769622042099203,-1.8644620863925,"1","1","0",-1.8320593524748,-3.00091997055166,0.780082309126072,"0",0.970892877977477
"7","0",-3.0992616110931,"1","1",1.21365425880835,"0",-0.758493500856225,-0.442842401064607,"0","1","0","0",2.11404791848122,-0.52892721103446,"0",-1.09003317558228,-0.400141906503866,"0","1","1","1",-0.410996865839596,0.0561035665865428,-0.357487849856154,-0.414955301635306,"0","0","0",1.48902401692461,0.922186499018448,0.132717437222657,"1",-1.61549676604072
"8","1",0.961384256658558,"0","0",-3.016204924716,"0",-3.2171709009193,-1.64454286063588,"0","0","0","1",0.769555626072955,-0.832490532775522,"1",0.824557340127146,0.194350609908396,"1","0","1","1",1.02881698609929,-0.304987829290926,-0.21564635118303,-1.66458209897521,"0","0","0",-0.530722487738435,-0.546704711496176,-0.640849778458259,"0",-1.98181070864035
"9","1",-1.1540727849368,"1","0",-0.0922049535559146,"0",-2.05565875673343,0.130303148030161,"1","1","1","1",0.891186967078281,1.27625961487627,"1",-0.0878220047131496,-0.436510561662719,"1","1","0","0",-0.863422505978924,-1.41738501727065,-3.74626104463816,-2.97605414854626,"1","0","0",-0.567197087837388,-2.48891219163686,-0.725323988990959,"0",-0.716739436180073
"10","1",-1.16906299750772,"1","1",-1.47533130556485,"0",-2.12736153277866,-0.446427961297319,"0","0","1","0",0.229785429759118,-2.78163505016528,"0",-0.378175541247887,-0.694268499426005,"1","1","0","0",-0.677623858965379,-3.04221339150808,-4.26781499172822,-1.58346135575258,"1","1","0",0.499204205383655,-2.00687400154353,-1.03964090894433,"0",-1.78189492038507
"11","1",-1.01402995602715,"1","0",0.469690964936969,"0",-1.99107903564922,0.579848608145401,"1","1","0","0",0.189721808543955,-1.14149072371965,"0",-0.687356736812615,0.547508419015568,"1","1","1","0",1.64121301312619,-0.990815247560903,-4.02079519158331,0.692235947765472,"1","1","0",0.102477199629367,-0.0772840176254559,-0.9567194767005,"0",-3.59217197812426
"12","0",-0.122390380584146,"1","0",-1.66545382237677,"0",0.166400017879946,-1.05891379859368,"0","0","1","0",0.0169980369045326,-1.86987430457906,"1",1.61344869751974,-0.848566950912155,"1","1","1","0",-0.756046319861629,-1.04870295081476,-0.586740747825411,-3.23733343682993,"0","1","0",0.145145663051401,-2.64653079562193,-1.53261326245672,"0",-4.09875041901663
"13","1",1.22317963825728,"0","0",-2.29110410169204,"0",-1.25492455768838,-0.231756832458658,"0","0","0","1",-1.92749834696259,-3.38277206348599,"0",0.163724584606498,0.359702338284199,"1","0","0","0",1.16329574188195,0.682727383409695,0.263201062820389,0.181054676191173,"0","0","1",0.758987968869595,-0.676279763905276,-1.157788410921,"0",-2.35159493472905
"14","0",-2.21282751655637,"0","0",-0.836109201877024,"0",-1.84746630542274,-1.28013819443904,"0","0","1","1",-2.01004577660407,-2.63593987884092,"0",-1.81495120340864,-2.41346099995174,"0","1","1","0",-0.411522199763934,-1.55240736027565,-2.10013163918206,-0.844026003474809,"0","1","0",-0.918279596878182,-2.67450312262754,-0.0292174023416538,"0",-0.748001906277495
"15","1",-0.700112897362525,"1","1",-1.07064899625998,"0",0.978091066251273,-0.620406743736864,"0","1","1","1",0.493191840684126,-1.46207661453416,"0",0.240063460285516,0.346413402718128,"1","0","1","0",-0.667768217168399,-0.943967512912495,-1.43277435038386,-3.06785717357846,"0","0","0",1.21632232091969,0.575625778259558,0.0829698376250647,"0",-3.07013052120122
"16","0",-0.164968657874615,"1","0",-1.50889529177818,"0",-2.60390303800172,-1.80643572443028,"0","0","1","1",-0.356338131388223,-2.56910887778296,"0",-0.297338629019346,1.26584434764859,"0","1","1","1",1.45200075199385,0.793846252327908,-0.998137538548731,-0.0251604071239228,"0","0","0",-0.676003410830157,-0.272358002433771,-0.51299200939549,"0",-1.92354589726996
"17","0",-0.891167186058066,"0","0",-1.68671487059801,"0",-2.46337755369935,-1.21622584587761,"0","0","0","1",0.93684284052251,-0.356897155809483,"0",0.36881266973716,-0.122103545020218,"0","0","0","1",-0.438090587370198,0.0719640960792376,-3.54912185790835,-2.53732611862513,"0","1","1",-0.852800751603517,-1.96120668321039,1.63825037106708,"0",1.14814573666159
"18","1",0.855440125273991,"0","1",-0.863983377350389,"0",-3.64737651796903,-0.945697141504892,"0","0","0","1",0.726539914379729,-0.175214247174027,"1",0.829192737589649,-0.20221833257431,"0","0","1","1",1.25038108277443,1.13627751628115,-0.643375104292071,0.781680844091388,"1","1","1",1.49908865880315,0.394691810611475,0.708924119035756,"0",-0.103007179684365
