"","PC","PT","MS","HS","TAIL","Abscess","Pyaemia","EPcat","PDcat","plbinary","batch"
"1","0","0","0","0","0","0","0","1","0","0","5801"
"2","0","0","0","0","0","0","0","0","0","0","5801"
"3","0","0","0","0","0","0","0","0","0","0","5801"
"4","0","0","0","0","0","0","0","0","0","0","5801"
"5","0","0","0","0","0","0","0","0","0","0","5801"
"6","0","0","0","0","0","0","0","0","0","0","5801"
"7","0","0","0","0","0","0","0","0","0","0","5801"
"8","0","0","0","0","0","0","0","0","0","0","5801"
"9","0","0","0","0","0","0","0","0","0","0","5801"
"10","0","0","0","0","0","0","0","0","0","0","5801"
"11","0","0","0","0","0","0","0","0","0","0","5801"
"12","0","0","0","0","0","0","0","0","0","0","5801"
"13","0","0","0","0","0","0","0","0","0","0","5801"
"14","0","0","0","0","0","0","0","0","0","0","5801"
"15","0","0","0","0","0","0","0","0","0","0","5801"
"16","0","0","0","0","0","0","0","0","0","0","5801"
"17","0","0","0","0","0","0","0","0","0","0","5801"
"18","0","0","0","0","0","0","0","0","0","0","5801"
"19","0","0","0","0","0","0","0","0","0","0","5801"
"20","0","0","0","0","0","0","0","0","0","0","5801"
"21","0","0","0","0","0","0","0","0","0","0","5801"
"22","0","0","0","0","0","0","0","0","0","0","5801"
"23","0","0","0","0","0","0","0","0","0","0","5801"
"24","0","0","0","0","0","0","0","0","0","0","5801"
"25","0","0","0","0","0","0","0","0","0","0","5801"
"26","0","0","0","0","0","0","0","0","0","0","5801"
"27","0","0","0","0","0","0","0","0","0","0","5801"
"28","0","0","0","0","0","0","0","1","0","0","5801"
"29","0","0","0","0","0","0","0","0","0","0","5801"
"30","0","0","0","0","0","0","0","0","0","0","5801"
"31","0","0","0","0","0","0","0","0","0","0","5801"
"32","0","0","0","0","0","0","0","0","0","0","5801"
"33","0","0","0","0","0","0","0","0","0","0","5801"
"34","0","0","0","0","0","0","0","0","0","0","5801"
"35","0","0","0","0","0","0","0","1","0","0","5801"
"36","0","0","0","0","0","0","0","0","0","0","5801"
"37","0","0","0","0","0","0","0","0","0","0","5801"
"38","0","0","0","0","0","0","0","0","0","0","5801"
"39","0","0","0","0","0","0","0","0","0","0","5801"
"40","0","0","0","0","0","0","0","0","0","0","5801"
"41","0","0","0","0","0","0","0","0","0","0","5801"
"42","0","0","0","0","0","0","0","0","0","1","5801"
"43","0","0","0","0","0","0","0","0","0","0","5801"
"44","0","0","0","0","0","0","0","0","0","0","5801"
"45","0","0","0","0","0","0","0","0","0","0","5801"
"46","0","0","0","0","0","0","0","0","0","0","5801"
"47","0","0","0","0","0","0","0","0","0","0","5801"
"48","0","0","0","0","0","0","0","1","0","0","5801"
"49","0","0","0","0","0","0","0","0","0","0","5801"
"50","0","0","0","0","0","0","0","0","0","0","5801"
"51","0","0","0","0","0","0","0","0","0","0","678"
"52","0","0","0","0","0","0","0","0","0","0","678"
"53","0","0","0","0","0","0","0","0","0","1","678"
"54","0","0","0","1","0","0","0","0","0","0","678"
"55","0","0","0","0","0","0","0","0","0","0","678"
"56","0","0","0","0","0","0","0","0","0","0","678"
"57","0","0","0","0","0","0","0","0","0","0","678"
"58","0","0","0","0","0","0","0","1","0","0","678"
"59","0","0","0","0","0","0","0","1","0","0","678"
"60","0","0","1","0","0","0","0","0","0","0","678"
"61","0","0","0","0","0","0","0","0","0","0","678"
"62","0","0","0","0","0","0","0","0","0","0","678"
