"","Sex","Age","Married","Income","HoursWk","Race","USCitizen","HealthInsurance","Language"
"1",0,31,0,60,40,"white",1,1,1
"2",1,35,0,87,40,"white",1,1,1
"3",1,48,1,32,48,"white",1,0,0
"4",0,61,1,0,20,"white",1,0,0
"5",0,52,0,48,40,"white",1,1,0
"6",0,36,1,2,40,"white",1,1,0
"7",0,20,0,0.5,2,"white",1,1,0
"8",1,75,1,21.6,6,"white",1,1,0
"9",0,48,1,22,20,"white",1,1,0
"10",0,62,1,6.8,18,"white",1,1,0
"11",1,32,0,30,60,"white",1,1,0
"12",0,39,1,0,30,"white",1,1,1
"13",0,48,1,75,40,"white",1,1,0
"14",1,34,0,0,70,"white",1,0,0
"15",0,61,0,19,38,"white",1,1,0
"16",0,32,0,50,50,"white",1,1,1
"17",1,51,1,130,50,"white",1,1,0
"18",1,37,1,47,40,"white",1,0,1
"19",0,70,1,11.4,17,"white",1,1,0
"20",1,27,0,15,30,"white",1,0,0
"21",1,66,1,13,20,"white",1,1,0
"22",0,48,0,31,40,"black",1,1,0
"23",1,56,1,140,50,"white",1,1,0
"24",1,36,1,1,40,"other",1,1,1
"25",0,23,0,10.5,40,"white",1,1,0
"26",0,68,0,17.1,40,"white",1,1,0
"27",0,26,1,45,40,"white",1,1,0
"28",0,29,0,17,40,"white",1,1,0
"29",1,37,1,15.1,30,"white",0,1,0
"30",0,49,0,47.9,40,"white",1,1,0
"31",1,55,1,0,40,"white",1,1,0
"32",1,43,0,50,40,"white",1,1,0
"33",1,35,0,13,20,"white",1,1,1
"34",0,56,0,23,60,"white",1,1,0
"35",0,34,0,30.2,44,"white",1,1,0
"36",0,18,0,1,12,"white",1,1,0
"37",0,47,0,10,32,"white",1,1,0
"38",1,30,0,60,50,"white",1,1,0
"39",1,53,1,75,45,"white",1,0,0
"40",0,55,1,3.8,16,"white",1,1,0
"41",1,48,1,47,40,"other",1,1,1
"42",1,50,0,52,27,"white",1,0,0
"43",1,54,1,57,40,"white",1,1,0
"44",1,52,0,28.9,43,"white",1,1,0
"45",0,48,1,15,35,"black",1,1,0
"46",1,58,1,72,40,"asian",0,1,1
"47",0,43,1,6,40,"black",1,0,0
"48",1,28,0,14,25,"white",1,1,0
"49",0,25,0,38,48,"black",1,1,1
"50",0,45,0,4.9,35,"white",1,1,0
"51",0,41,1,50,50,"asian",1,1,1
"52",0,27,1,52,45,"white",1,1,0
"53",1,61,1,85,40,"white",1,1,0
"54",0,59,1,29.7,40,"white",1,1,0
"55",1,44,1,65,48,"white",1,1,0
"56",0,47,1,5.5,25,"white",1,1,0
"57",1,49,1,36,40,"asian",1,1,1
"58",0,22,0,17.5,35,"white",1,1,0
"59",1,41,1,563,62,"white",1,1,1
"60",0,42,1,14,20,"white",1,1,0
"61",1,42,1,25,50,"white",0,0,1
"62",0,60,0,47,35,"asian",1,1,1
"63",0,47,1,33,40,"white",1,1,0
"64",0,49,1,94,36,"white",1,1,0
"65",1,37,1,97,65,"white",1,1,1
"66",1,27,1,60,40,"white",1,1,0
"67",0,32,1,70,36,"white",1,1,0
"68",1,41,1,90,40,"asian",0,1,1
"69",1,41,1,60,40,"white",1,1,0
"70",1,46,0,60,48,"white",1,1,0
"71",0,36,1,20,20,"white",1,1,1
"72",1,42,1,80,60,"asian",0,1,1
"73",0,49,1,16,30,"asian",1,1,1
"74",1,29,1,0,40,"white",0,0,1
"75",1,64,1,33.3,40,"white",1,1,0
"76",0,45,1,382,55,"white",1,1,0
"77",1,51,0,90,50,"white",1,1,0
"78",1,53,1,40,32,"white",1,1,0
"79",0,50,1,45,40,"white",1,1,0
"80",0,41,0,55,40,"white",1,1,0
"81",0,52,1,70,40,"white",1,1,0
"82",0,38,1,24,40,"white",1,1,0
"83",1,33,0,40,24,"asian",1,0,1
"84",1,62,1,56,40,"white",1,1,0
"85",1,36,1,85,38,"white",1,1,0
"86",1,30,0,9,20,"black",1,0,0
"87",1,63,1,82,32,"asian",1,1,1
"88",1,35,1,62,70,"asian",1,1,1
"89",0,41,0,59,68,"black",1,1,0
"90",0,21,0,8,40,"white",1,1,0
"91",1,29,0,2,20,"asian",0,0,1
"92",1,31,0,22.1,45,"white",1,1,0
"93",1,40,1,30,45,"white",1,1,0
"94",0,45,0,25,40,"white",1,1,0
"95",0,41,0,31.2,40,"white",1,1,0
"96",0,26,1,51,45,"white",1,1,0
"97",1,30,1,16,20,"other",0,0,1
"98",0,37,1,28.9,40,"white",1,1,0
"99",0,46,1,0.8,23,"white",1,1,0
"100",0,28,0,105,50,"white",1,1,0
"101",0,56,1,27,40,"white",1,1,0
"102",0,47,1,10,8,"white",1,0,1
"103",0,34,1,36,40,"white",1,1,0
"104",1,32,1,40,40,"white",1,1,0
"105",0,64,1,83,40,"white",1,1,0
"106",0,36,1,20,40,"white",0,1,1
"107",1,52,0,72,36,"white",1,1,0
"108",0,59,0,0,17,"white",1,1,0
"109",0,34,1,0.4,40,"white",1,1,0
"110",0,56,1,0,10,"asian",0,0,1
"111",0,62,0,5.9,25,"other",1,0,0
"112",1,51,1,2,30,"asian",1,1,0
"113",1,51,1,80,40,"white",1,1,0
"114",1,69,1,0,40,"white",0,1,1
"115",1,58,1,22.4,40,"asian",1,1,1
"116",0,47,1,9,22,"white",1,1,0
"117",1,26,1,19,40,"white",1,0,0
"118",1,31,1,0.5,48,"white",1,1,0
"119",0,60,1,60,40,"white",1,1,0
"120",1,66,1,37,42,"white",0,1,1
"121",1,49,0,40,50,"white",1,0,0
"122",0,25,0,41,45,"asian",1,1,1
"123",0,20,0,14.4,40,"white",1,0,0
"124",1,29,0,30,40,"white",1,1,1
"125",1,72,1,67,80,"white",1,1,0
"126",1,52,1,115,40,"black",1,1,0
"127",0,55,0,55,40,"white",1,1,0
"128",1,76,1,5,40,"white",1,1,0
"129",1,61,1,20.2,55,"white",1,1,0
"130",1,25,0,7.7,40,"white",1,1,0
"131",0,67,1,15,30,"white",1,1,0
"132",1,64,1,15,30,"white",1,1,0
"133",1,46,1,0,40,"white",1,1,0
"134",1,44,0,0,20,"asian",1,0,0
"135",1,73,1,8,20,"white",1,1,0
"136",1,24,0,52,44,"white",1,1,0
"137",1,32,1,60,50,"white",1,1,0
"138",0,39,0,57,40,"black",1,1,0
"139",1,25,0,15,32,"white",1,0,0
"140",0,44,1,21,24,"white",1,1,0
"141",1,31,0,92,60,"black",1,1,0
"142",1,32,0,65,70,"white",1,1,0
"143",1,47,1,36,40,"white",1,1,0
"144",0,42,0,60,40,"black",1,1,0
"145",1,58,1,42,40,"white",1,1,1
"146",1,61,1,108,45,"white",1,1,0
"147",0,38,1,41,40,"white",1,1,0
"148",1,60,1,37,40,"white",1,1,0
"149",1,60,1,60,40,"white",1,1,0
"150",1,59,1,21.6,30,"white",1,1,0
"151",1,45,0,10,50,"black",1,1,0
"152",1,49,1,50,37,"black",1,1,0
"153",0,27,0,2,40,"asian",1,1,1
"154",1,49,1,56,40,"white",1,1,0
"155",1,56,1,80,40,"asian",1,1,1
"156",1,28,0,28,37,"asian",1,1,1
"157",1,54,1,46,40,"asian",1,1,1
"158",0,59,0,16,40,"white",1,0,0
"159",0,22,0,1.9,16,"white",1,1,0
"160",0,38,1,46,44,"white",1,1,0
"161",0,41,1,24.7,24,"black",1,1,0
"162",1,35,1,0,40,"white",1,1,0
"163",1,32,0,40,40,"white",0,1,1
"164",0,27,0,14.4,30,"white",1,1,0
"165",0,53,1,29,40,"white",1,1,0
"166",0,38,0,32,40,"white",1,1,0
"167",0,74,0,5,10,"white",1,1,0
"168",1,40,1,52,40,"white",1,1,0
"169",0,24,0,10,35,"white",1,0,1
"170",0,50,0,13.1,50,"white",1,1,0
"171",1,63,1,19.3,15,"white",1,1,0
"172",0,26,1,9,20,"white",1,1,0
"173",0,20,0,17,35,"white",1,0,0
"174",1,54,1,60,40,"white",1,1,0
"175",0,23,0,1.8,40,"white",1,1,0
"176",0,47,1,11,30,"white",1,1,0
"177",1,23,0,5.3,35,"white",1,1,0
"178",0,59,0,18,40,"other",1,1,1
"179",1,63,1,69,80,"white",1,1,0
"180",0,58,1,65,55,"white",1,1,0
"181",0,53,1,110,55,"white",1,1,0
"182",1,25,0,27,40,"black",1,0,0
"183",0,47,0,35.3,38,"white",1,1,0
"184",1,40,0,318,40,"white",1,1,0
"185",0,25,0,23,25,"white",1,1,0
"186",0,31,1,22,30,"white",1,1,0
"187",1,39,1,48,40,"white",1,1,0
"188",0,38,1,7,17,"white",1,0,1
"189",0,42,1,32,24,"white",1,1,0
"190",1,62,1,19.2,8,"white",1,1,0
"191",1,41,0,0,40,"white",0,0,1
"192",0,21,0,3.8,25,"white",1,1,0
"193",1,25,0,40,40,"other",1,1,1
"194",0,28,0,18,36,"black",0,0,0
"195",1,48,0,24,40,"other",1,0,1
"196",1,50,1,41.7,40,"white",1,1,1
"197",1,54,1,35,43,"white",1,1,0
"198",0,29,1,0,20,"other",1,0,0
"199",0,59,0,48.3,40,"white",1,1,0
"200",0,28,1,36,40,"white",1,1,0
"201",0,57,1,27,40,"white",1,1,0
"202",0,53,0,5,40,"white",1,0,0
"203",0,54,0,54,39,"white",1,1,0
"204",1,61,1,22.5,40,"white",1,1,0
"205",0,59,1,16.5,40,"white",1,1,0
"206",1,27,0,45,40,"white",1,1,0
"207",0,67,0,0,6,"white",1,1,0
"208",1,37,0,29,40,"white",1,1,0
"209",1,63,1,67,46,"white",1,1,0
"210",1,22,1,15,42,"asian",1,1,0
"211",1,28,1,35,40,"white",1,1,0
"212",1,24,0,2,10,"white",1,1,0
"213",1,18,0,3.7,32,"white",1,1,0
"214",1,51,1,78,40,"white",1,1,0
"215",1,39,1,80,40,"white",1,1,0
"216",1,63,1,18.2,40,"black",1,1,0
"217",0,46,1,40,56,"other",1,1,1
"218",1,45,1,45.7,40,"asian",0,1,1
"219",0,40,1,1.9,20,"white",1,0,0
"220",0,59,0,8,24,"white",1,1,0
"221",1,40,1,21.1,40,"white",1,1,0
"222",1,29,0,47,75,"asian",1,1,0
"223",0,29,1,32,40,"white",1,1,0
"224",1,45,1,50,40,"white",1,1,0
"225",0,41,0,25,65,"white",1,1,0
"226",1,24,0,5.6,10,"white",1,1,0
"227",1,57,1,27,40,"white",1,1,0
"228",1,43,1,40,40,"white",0,1,1
"229",1,40,1,42,40,"white",1,1,0
"230",1,48,1,330,65,"white",1,1,0
"231",1,43,1,52,40,"other",1,1,1
"232",1,32,1,45,50,"white",1,1,0
"233",1,62,0,35,32,"asian",1,1,1
"234",0,59,0,0,60,"white",1,0,0
"235",1,46,1,50,40,"white",1,1,0
"236",1,32,1,70,40,"asian",1,1,1
"237",0,27,0,36,45,"white",1,1,0
"238",0,21,1,19,38,"white",1,1,0
"239",1,61,1,25,50,"white",1,1,0
"240",0,19,0,7,20,"white",1,1,0
"241",1,38,0,22,60,"asian",1,1,0
"242",1,58,1,18,40,"white",1,1,0
"243",0,27,1,0,40,"white",0,0,1
"244",0,49,1,22.7,36,"white",1,1,0
"245",0,41,1,110,40,"black",1,1,0
"246",1,53,0,26,40,"white",1,1,0
"247",1,49,0,32,40,"white",1,1,0
"248",0,20,0,3.5,15,"white",1,1,0
"249",1,33,0,125,40,"white",1,1,1
"250",1,44,1,96,40,"white",1,1,1
"251",1,38,1,80,40,"white",1,1,0
"252",1,49,1,45.6,35,"white",1,1,0
"253",0,52,1,16,15,"white",1,1,1
"254",0,37,1,13,40,"white",1,1,1
"255",1,58,1,36,40,"white",1,1,0
"256",0,66,1,48,40,"white",1,1,0
"257",0,53,1,55,40,"asian",1,1,1
"258",1,24,0,48,48,"other",1,1,1
"259",1,35,1,40,40,"white",1,0,0
"260",0,25,1,40,40,"white",1,1,0
"261",1,36,1,80,80,"other",1,1,0
"262",0,68,0,13,24,"white",1,1,0
"263",0,47,1,23.6,40,"white",1,1,0
"264",0,25,0,26.9,40,"white",1,1,0
"265",0,25,0,15,60,"asian",1,1,1
"266",1,64,0,20,40,"white",1,1,0
"267",0,61,1,0,30,"white",1,0,0
"268",1,21,0,25,24,"asian",1,1,1
"269",0,29,0,40,40,"white",1,1,0
"270",0,53,0,176,50,"white",1,1,0
"271",0,19,0,6.6,15,"black",1,1,0
"272",0,19,0,9.6,32,"white",1,1,0
"273",1,49,1,294,80,"white",1,1,0
"274",1,65,1,15,40,"other",0,1,1
"275",0,41,1,12.5,25,"white",1,1,1
"276",1,53,1,83,40,"black",1,1,0
"277",0,67,1,10,40,"white",1,1,0
"278",0,65,0,28,40,"white",1,1,0
"279",1,48,0,24,30,"asian",1,1,0
"280",0,64,0,40,40,"white",1,1,0
"281",1,37,0,1.5,25,"white",1,1,0
