"","Team","Wins","Losses","WinPct","PtsFor","PtsAgainst"
"1","Chicago Bulls",62,20,0.756,98.6,91.3
"2","San Antonio Spurs",61,21,0.744,103.7,98
"3","Miami Heat",58,24,0.707,102.1,94.6
"4","Los Angeles Lakers",57,25,0.695,101.5,95.4
"5","Dallas Mavericks",57,25,0.695,100.2,96
"6","Boston Celtics",56,26,0.683,96.5,91.1
"7","Oklahoma City Thunder",55,27,0.671,104.8,101
"8","Orlando Magic",52,30,0.634,99.2,93.7
"9","Denver Nuggets",50,32,0.61,107.5,102.7
"10","Portland Trail Blazers",48,34,0.585,96.3,94.8
"11","New Orleans Hornets",46,36,0.561,94.9,94
"12","Memphis Grizzlies",46,36,0.561,99.9,97.6
"13","Atlanta Hawks",44,38,0.537,95,95.8
"14","Houston Rockets",43,39,0.524,105.9,103.7
"15","New York Knicks",42,40,0.512,106.5,105.7
"16","Philadelphia 76ers",41,41,0.5,99,97.5
"17","Phoenix Suns",40,42,0.488,105,105.9
"18","Utah Jazz",39,43,0.476,99.4,101.3
"19","Indiana Pacers",37,45,0.451,99.8,100.9
"20","Golden State Warriors",36,46,0.439,103.4,105.7
"21","Milwaukee Bucks",35,47,0.427,91.9,92.7
"22","Charlotte Bobcats",34,48,0.415,93.3,97.3
"23","Los Angeles Clippers",32,50,0.39,98.6,101.8
"24","Detroit Pistons",30,52,0.366,97,100.6
"25","New Jersey Nets",24,58,0.293,94.2,100.4
"26","Sacramento Kings",24,58,0.293,99.4,104.7
"27","Washington Wizards",23,59,0.28,97.3,104.7
"28","Toronto Raptors",22,60,0.268,99.1,105.4
"29","Cleveland Cavaliers",19,63,0.232,95.5,104.5
"30","Minnesota Timberwolves",17,65,0.207,101.1,107.7
