"","Exam1","Exam2","Final"
"1",91,86,90
"2",91,89,95
"3",80,72,81
"4",75,81,63
"5",73,82,83
"6",82,83,78
"7",89,89,90
"8",47,50,74
"9",77,74,77
"10",91,93,103
"11",81,78,83
"12",80,89,89
"13",85,87,87
"14",88,91,91
"15",70,66,78
"16",87,78,88
"17",58,65,69
"18",59,59,80
"19",65,78,78
"20",91,93,93
"21",78,79,81
"22",91,95,95
"23",87,86,84
"24",82,93,96
"25",83,90,89
"26",70,74,67
"27",96,94,92
"28",67,78,79
"29",82,86,98
"30",87,90,83
"31",84,84,81
"32",80,77,88
"33",79,85,87
"34",75,87,89
"35",90,91,97
"36",75,89,77
"37",86,91,96
"38",87,89,87
"39",90,95,95
"40",80,83,92
"41",82,77,93
"42",62,73,60
"43",89,92,88
"44",98,93,95
"45",88,76,79
"46",89,86,89
"47",92,91,92
"48",89,89,86
"49",84,84,90
"50",71,76,80
