"","University","Department","FTGradEnrollment"
"1","Baylor University","Statistics",26
"2","Boston University","Biostatistics",39
"3","Brown University","Biostatistics",21
"4","Carnegie Mellon University","Statistics",39
"5","Case Western Reserve University","Statistics",11
"6","Colorado State University","Statistics",14
"7","Columbia University","Biostatistics",64
"8","Columbia University","Statistics",196
"9","Cornell University","Statistics",78
"10","Duke University","Statistics",31
"11","Emory University","Biostatistics",58
"12","Florida State University","Statistics",47
"13","George Mason University","Statistics",10
"14","George Washington University","Statistics",9
"15","Harvard University","Biostatistics",70
"16","Harvard University","Statistics",67
"17","Iowa State University","Statistics",145
"18","Johns Hopkins University","Biostatistics",41
"19","Kansas State University","Statistics",44
"20","Medical College of Georgia","Biostatistics",11
"21","Medical College of Wisconsin","Biostatistics",7
"22","Medical University of South Carolina","Biostatistics",46
"23","Michigan State University","Statistics",81
"24","New York University","Statistics",6
"25","North Carolina State University","Statistics",163
"26","North Dakota State University","Statistics",25
"27","Northwestern University","Statistics",12
"28","Ohio State University","Statistics",101
"29","Oklahoma State University","Statistics",22
"30","Oregon State University","Statistics",30
"31","Pennsylvania State University","Statistics",75
"32","Purdue University","Statistics",85
"33","Rice University","Statistics",55
"34","Rutgers University","Statistics",111
"35","Southern Methodist University","Statistics",21
"36","Stanford University","Statistics",100
"37","State University of New York - Buffalo","Biostatistics",43
"38","Temple University","Statistics",40
"39","Texas A&M University","Statistics",101
"40","University of Alabama - Birmingham","Biostatistics",49
"41","University of Arizona","Statistics",3
"42","University of California - Berkeley","Biostatistics",36
"43","University of California - Berkeley","Statistics",58
"44","University of California - Davis","Statistics",34
"45","University of California - Los Angeles","Biostatistics",60
"46","University of California - Los Angeles","Statistics",72
"47","University of California - Riverside","Statistics",54
"48","University of California - Santa Barbara","Statistics",53
"49","University of Chicago","Statistics",109
"50","University of Cincinnati","Biostatistics",31
"51","University of Connecticut","Statistics",45
"52","University of Florida","Statistics",68
"53","University of Georgia","Statistics",59
"54","University of Illinois","Statistics",58
"55","University of Iowa","Biostatistics",35
"56","University of Iowa","Statistics",75
"57","University of Kentucky","Statistics",40
"58","University of Massachusetts - Amherst","Biostatistics",19
"59","University of Michigan","Biostatistics",117
"60","University of Michigan","Statistics",108
"61","University of Minnesota","Biostatistics",48
"62","University of Minnesota","Statistics",47
"63","University of Missouri","Statistics",58
"64","University of Nebraska","Statistics",44
"65","University of North Carolina","Biostatistics",118
"66","University of North Carolina","Statistics",78
"67","University of Pennsylvania","Statistics",23
"68","University of Pittsburgh","Statistics",32
"69","University of Rochester","Biostatistics",18
"70","University of South Carolina","Biostatistics",45
"71","University of South Carolina","Statistics",32
"72","University of Texas - Houston","Biostatistics",62
"73","University of Virginia","Statistics",43
"74","University of Washington","Biostatistics",68
"75","University of Washington","Statistics",53
"76","University of Wisconsin","Statistics",116
"77","University of Wyoming","Statistics",11
"78","Virginia Commonwealth University","Biostatistics",24
"79","Virginia Commonwealth University","Statistics",15
"80","Virginia Polytechnic Institute","Statistics",60
"81","Western Michigan Statistics","Statistics",31
"82","Yale University","Statistics",36
