"","Month","Year","Sales"
"1","Jan",2000,294.6
"2","Feb",2000,252.5
"3","Mar",2000,245.5
"4","Apr",2000,244
"5","May",2000,257.9
"6","June",2000,244.9
"7","July",2000,255.6
"8","Aug",2000,258.1
"9","Sep",2000,239.5
"10","Oct",2000,254.3
"11","Nov",2000,227.6
"12","Dec",2000,214.2
"13","Jan",2001,299.3
"14","Feb",2001,262.6
"15","Mar",2001,265.9
"16","Apr",2001,236.8
"17","May",2001,267.2
"18","June",2001,252.1
"19","July",2001,260.8
"20","Aug",2001,269
"21","Sep",2001,249.2
"22","Oct",2001,253.6
"23","Nov",2001,224.2
"24","Dec",2001,227
"25","Jan",2002,309.2
"26","Feb",2002,264.1
"27","Mar",2002,260.5
"28","Apr",2002,246.9
"29","May",2002,278.4
"30","June",2002,267.4
"31","July",2002,260.9
"32","Aug",2002,272
"33","Sep",2002,257.6
"34","Oct",2002,257.5
"35","Nov",2002,228.6
"36","Dec",2002,231.1
"37","Jan",2003,328.4
"38","Feb",2003,272.9
"39","Mar",2003,274.3
"40","Apr",2003,265.8
"41","May",2003,285.7
"42","June",2003,279.8
"43","July",2003,271.7
"44","Aug",2003,281.9
"45","Sep",2003,266.4
"46","Oct",2003,264.9
"47","Nov",2003,233.8
"48","Dec",2003,242.6
"49","Jan",2004,355.4
"50","Feb",2004,294.9
"51","Mar",2004,288.1
"52","Apr",2004,283.6
"53","May",2004,294.8
"54","June",2004,295.5
"55","July",2004,290.3
"56","Aug",2004,296.9
"57","Sep",2004,284.9
"58","Oct",2004,288.6
"59","Nov",2004,254.2
"60","Dec",2004,253.3
"61","Jan",2005,371.5
"62","Feb",2005,312.4
"63","Mar",2005,302.8
"64","Apr",2005,301
"65","May",2005,322
"66","June",2005,317.5
"67","July",2005,318
"68","Aug",2005,311.9
"69","Sep",2005,302.6
"70","Oct",2005,307
"71","Nov",2005,265.9
"72","Dec",2005,264
"73","Jan",2006,381.3
"74","Feb",2006,323.8
"75","Mar",2006,313.6
"76","Apr",2006,311.4
"77","May",2006,339.8
"78","June",2006,326.6
"79","July",2006,331.6
"80","Aug",2006,338.1
"81","Sep",2006,317.2
"82","Oct",2006,326.8
"83","Nov",2006,283
"84","Dec",2006,286.8
"85","Jan",2007,388.6
"86","Feb",2007,342.7
"87","Mar",2007,331.9
"88","Apr",2007,317.9
"89","May",2007,350
"90","June",2007,334.6
"91","July",2007,339.1
"92","Aug",2007,354.1
"93","Sep",2007,322.8
"94","Oct",2007,336.9
"95","Nov",2007,291
"96","Dec",2007,296.2
"97","Jan",2008,348.6
"98","Feb",2008,301
"99","Mar",2008,313.1
"100","Apr",2008,314.9
"101","May",2008,343.9
"102","June",2008,345.7
"103","July",2008,341.2
"104","Aug",2008,358.8
"105","Sep",2008,332.3
"106","Oct",2008,335.7
"107","Nov",2008,309.3
"108","Dec",2008,308.6
"109","Jan",2009,366.2
"110","Feb",2009,306.5
"111","Mar",2009,302.9
"112","Apr",2009,290.2
"113","May",2009,316.8
"114","June",2009,310.9
"115","July",2009,308.2
"116","Aug",2009,309.4
"117","Sep",2009,293.7
"118","Oct",2009,291.9
"119","Nov",2009,266.2
"120","Dec",2009,275.7
"121","Jan",2010,394.8
"122","Feb",2010,335.3
"123","Mar",2010,321.8
"124","Apr",2010,313.7
"125","May",2011,329
"126","June",2011,327.5
"127","July",2011,325.4
"128","Aug",2011,330.7
"129","Sep",2011,322.6
"130","Oct",2011,326
"131","Nov",2011,279.6
"132","Dec",2011,283
"133","Jan",2011,347.8
"134","Feb",2011,353
"135","Mar",2011,306.7
"136","Apr",2011,305.3
"137","",NA,NA
"138","",NA,NA
"139","",NA,NA
"140","",NA,NA
"141","",NA,NA
"142","",NA,NA
"143","",NA,NA
"144","",NA,NA
