"","Date","Open","High","Low","Close","Volume"
"1","1/4/2010",1116.56,1133.87,1116.56,1132.99,3991
"2","1/5/2010",1132.66,1136.63,1129.66,1136.52,2491
"3","1/6/2010",1135.71,1139.19,1133.95,1137.14,4973
"4","1/7/2010",1136.27,1142.46,1131.32,1141.69,5271
"5","1/8/2010",1140.52,1145.39,1136.22,1144.98,4390
"6","1/11/2010",1145.96,1149.74,1142.02,1146.98,4256
"7","1/12/2010",1143.81,1143.81,1131.77,1136.22,4716
"8","1/13/2010",1137.31,1148.4,1133.18,1145.68,4170
"9","1/14/2010",1145.68,1150.41,1143.8,1148.46,3915
"10","1/15/2010",1147.72,1147.77,1131.39,1136.03,4759
"11","1/19/2010",1136.03,1150.45,1135.77,1150.23,4725
"12","1/20/2010",1147.95,1147.95,1129.25,1138.04,4811
"13","1/21/2010",1138.68,1141.58,1114.84,1116.48,6874
"14","1/22/2010",1115.49,1115.49,1090.18,1091.76,6209
"15","1/25/2010",1092.4,1102.97,1092.4,1096.78,4481
"16","1/26/2010",1095.8,1103.69,1089.86,1092.17,4732
"17","1/27/2010",1091.94,1099.51,1083.11,1097.5,5319
"18","1/28/2010",1096.93,1100.22,1078.46,1084.53,5452
"19","1/29/2010",1087.61,1096.45,1071.59,1073.87,5413
"20","2/1/2010",1073.89,1089.38,1073.89,1089.19,4078
"21","2/2/2010",1090.05,1104.73,1087.96,1103.32,4750
"22","2/3/2010",1100.67,1102.72,1093.97,1097.28,4285
"23","2/4/2010",1097.25,1097.25,1062.78,1063.11,5860
"24","2/5/2010",1064.12,1067.13,1044.5,1066.19,6439
"25","2/8/2010",1065.51,1071.2,1056.51,1056.74,4090
"26","2/9/2010",1060.06,1079.28,1060.06,1070.52,5114
"27","2/10/2010",1069.68,1073.67,1059.34,1068.13,4251
"28","2/11/2010",1067.1,1080.04,1060.59,1078.47,4401
"29","2/12/2010",1075.95,1077.81,1062.97,1075.51,4161
"30","2/16/2010",1079.13,1095.67,1079.13,1094.87,4081
"31","2/17/2010",1096.14,1101.03,1094.72,1099.51,4259
"32","2/18/2010",1099.03,1108.24,1097.48,1106.75,3879
