"","Movie","LeadStudio","RottenTomatoes","AudienceScore","Story","Genre","TheatersOpenWeek","BOAverageOpenWeek","DomesticGross","ForeignGross","WorldGross","Budget","Profitability","OpeningWeekend"
"1","Insidious","Sony",67,65,"Monster Force","Horror",2408,5511,54.01,43,97.009,1.5,64.67266667,13.27
"2","Paranormal Activity 3","Independent",68,58,"Monster Force","Horror",3321,15829,103.66,98.24,201.897,5,40.3794,52.57
"3","Bad Teacher","Independent",44,38,"Comedy","Comedy",3049,10365,100.29,115.9,216.196,20,10.8098,31.6
"4","Harry Potter and the Deathly Hallows Part 2","Warner Bros",96,92,"Rivalry","Fantasy",4375,38672,381.01,947.1,1328.111,125,10.624888,169.19
"5","Bridesmaids","Relativity Media",90,77,"Rivalry","Comedy",2918,8995,169.11,119.28,288.382,32.5,8.873292308,26.25
"6","Midnight in Paris","Sony",93,84,"Love","Romance",944,6177,56.18,83,139.177,17,8.186882353,5.83
"7","The Help","DreamWorks Pictures",75,91,"Maturation","Drama",2534,10278,169.22,30.1,199.324,25,7.97296,26.04
"8","The Hangover Part II","Legendary Pictures",35,58,"Comedy","Comedy",3615,23775,254.46,327,581.464,80,7.2683,85.95
"9","Another Earth","Independent",63,74,"Temptation","Fantasy",NA,NA,1.32,NA,1.321,0.2,6.605,0.08
"10","Limitless","Virgin",69,73,"Wretched Excess","Thriller",2756,6860,79.25,82.6,161.849,27,5.994407407,18.91
"11","Horrible Bosses","Warner Bros",69,72,"Revenge","Comedy",3040,9310,117.54,92.1,209.638,35,5.989657143,28.3
"12","No Strings Attached","Spyglass Entertainment",49,57,"Comedy","Comedy",3018,6512,70.6,77.1,147.7,25,5.908,19.7
"13","Twilight: Breaking Dawn","Independent",26,68,"Love","Romance",4061,34012,260.8,374,634.8,110,5.770909091,138.12
"14","Transformers: Dark of the Moon","DreamWorks Pictures",35,67,"Quest","Action",4088,23937,352.39,770.81,1123.195,195,5.759974359,97.85
"15","Gnomeo and Juliet","Disney",56,52,"Love","Animation",2994,8469,99.97,94,193.967,36,5.387972222,25.36
"16","Rio","20th Century Fox",71,73,"Quest","Animation",3826,10252,143.62,341.02,484.634,90,5.384822222,39.23
"17","Super 8 ","Paramount",82,78,"Monster Force","Horror",3379,10492,127,132.71,259.713,50,5.19426,35.45
"18","Rise of the Planet of the Apes","20th Century Fox",83,87,"Revenge","Action",3648,15024,176.7,304.52,481.226,93,5.174473118,54.81
"19","Apollo 18","Weinstein Company",23,31,"Monster Force","Horror",3328,2615,17.69,7.88,25.562,5,5.1124,8.7
"20","The Smurfs","Sony Pictures Animation",23,50,"Fish Out Of Water","Animation",3395,10489,142.61,419.54,562.158,110,5.110527273,35.61
"21","Fast Five","Universal",78,83,"Escape","Action",3644,23655,209.83,416.3,626.13,125,5.00904,NA
"22","Our Idiot Brother","The Weinstein Company",68,79,"Comedy","Comedy",2555,2744,24.82,NA,24.816,5,4.9632,NA
"23","50/50","Independent",93,93,"Discovery","Comedy",2458,3517,34.9,1.62,36.511,8,4.563875,8.64
"24","Drive","Independent",93,79,"Rivalry","Thriller",2886,3929,34.68,32.33,67.007,15,4.467133333,11.34
"25","Beginners","Independent",84,80,"Love","Comedy",NA,NA,5.79,8.39,14.182,3.2,4.431875,0.14
"26","Kung Fu Panda 2","DreamWorks Animation",82,80,"Rivalry","Animation",3925,12142,165.25,497.78,663.024,150,4.42016,47.66
"27","Unknown","Independent",55,57,"The Riddle","Thriller",3043,7183,63.69,67.1,130.786,30,4.359533333,21.86
"28","The Ides of March","Columbia",85,76,"Transformation","Thriller",2199,4761,40.49,13.7,54.194,12.5,4.33552,10.47
"29","Friends With Benefits","Warner Bros",71,68,"Temptation","Romance",2926,6364,55.8,93.74,149.541,35,4.2726,18.62
"30","Pirates of the Caribbean:
On Stranger Tides","Disney",34,61,"Quest","Action",4155,21697,241.07,802.8,1043.871,250,4.175484,90.15
"31","Final Destination 5","New Line Cinema",61,56,"Monster Force","Horror",3155,5715,42.59,115.3,157.887,40,3.947175,18.03
"32","Source Code","Summit Entertainment",92,81,"The Riddle","Thriller",2961,5002,54.71,68.57,123.278,32,3.8524375,14.81
"33","Mission Impossible","Paramount",93,86,"Pursuit","Action",3448,8672,197.8,336.7,534.5,145,3.686206897,29.55
"34","One Day","Independent",37,54,"Love","Romance",1719,2955,13.84,41.4,55.241,15,3.682733333,5.08
"35","Sanctum","Relativity Media",30,39,"Quest","Action",2787,3390,23.2,85.4,108.6,30,3.62,9.4
"36","Sherlock Holmes 2","Warner Bros",60,79,"Pursuit","Action",3703,10704,179.04,261,440.04,125,3.52032,39.63
"37","Johnny English Reborn","Relativity Media",38,55,"Comedy","Comedy",1552,2470,8.31,149.63,157.939,45,3.509755556,3.83
"38","Diary of a Wimpy Kid 2: Rodrick Rules","20th Century Fox",47,63,"Comedy","Comedy",3167,7500,52.7,19.72,72.416,21,3.448380952,23.75
"39","Mr. Popper's Penguins","20th Century Fox",47,54,"Discovery","Comedy",3339,5524,68.22,119.14,187.355,55,3.406454545,18.45
"40","In Time","Regency Enterprises",38,55,"The Riddle","Thriller",3122,3860,36.49,90.9,127.393,40,3.184825,12.05
"41","Water For Elephants","20th Century Fox",60,72,"Love","Drama",2817,5979,58.71,58.39,117.094,38,3.081421053,16.84
"42","Battle: Los Angeles","Relativity Media",35,50,"Monster Force","Action",3417,10411,83.55,128.27,211.818,70,3.025971429,35.57
"43","Thor","Disney",77,80,"Monster Force","Action",3955,16618,181.03,267.48,448.512,150,2.99008,65.72
"44","Hop","Relativity Media",26,50,"Fish Out Of Water","Animation",3579,10490,108.09,75.87,183.953,63,2.919888889,37.54
"45","Crazy, Stupid, Love","Warner Bros",78,81,"Discovery","Romance",3020,6326,84.34,58.5,142.841,50,2.85682,19.1
"46","Cars 2","Pixar",38,56,"Fish Out Of Water","Animation",4115,16072,191.45,360.4,551.85,200,2.75925,66.14
"47","Spy Kids: All The Time in the World","Weinstein Company",22,40,"Quest","Action",3295,3534,38.54,35.54,74.08,27,2.743703704,11.64
"48","Just Go With It","Happy Madison",19,63,"Comedy","Romance",3548,8601,103.03,111.92,214.945,80,2.6868125,30.51
"49","Captain America: The First Avenger","Disney",78,75,"Metamorphosis","Action",3715,17512,176.65,191.75,368.404,140,2.631457143,65.06
"50","The Rite","Warner Bros",20,43,"Monster Force","Horror",2985,4955,33,63,96,37,2.594594595,14.8
"51","Footloose","Spyglass Entertainment",71,71,"Transformation","Drama",3549,4383,51.16,10.9,62.053,24,2.585541667,15.56
"52","The Adjustment Bureau","Independent",72,67,"Sacrifice","Thriller",2840,7450,62.5,65.37,127.868,50.2,2.547171315,21.16
"53","Margin Call","Independent",86,73,"Sacrifice","Thriller",NA,NA,4.94,3.93,8.869,3.5,2.534,0.56
"54","The Roommate","Independent",4,29,"Monster Force","Horror",2534,5921,37.3,3.19,40.492,16,2.53075,15
"55","Soul Surfer","Sony",46,79,"Underdog","Drama",2214,4789,43.85,0.41,44.267,18,2.459277778,10.6
"56","Real Steel","DreamWorks Pictures",58,81,"Underdog","Action",3440,7942,83.61,186.2,269.811,110,2.452827273,27.32
"57","Paul","Relativity",72,70,"Comedy","Comedy",2802,4655,37.41,60.57,97.983,40,2.449575,13.04
"58","Immortals","Relativity Media",36,59,"Revenge","Action",3112,10349,80.49,102,182.485,75,2.433133333,32.21
"59","Scream 4","Weinstein Company",58,57,"Monster Force","Horror",3305,5656,38.18,58.96,97.137,40,2.428425,18.69
"60","I Am Number Four","Paramount",32,57,"Maturation","Thriller",3154,6167,55.1,89.4,144.5,60,2.408333333,19.45
"61","Dolphin Tale","Independent",84,81,"Quest","Drama",3507,5461,71.08,16.86,87.947,37,2.376945946,19.15
"62","Abduction","Vertigo Entertainment",4,46,"Maturation","Action",3118,3504,28.07,54,82.069,35,2.344828571,10.93
"63","Hall Pass","Warner Bros",35,44,"Temptation","Comedy",2950,4588,45.06,38.1,83.16,36,2.31,13.54
"64","Season Of The Witch","Relativity ",10,32,"Monster Force","Action",2816,3769,24.8,66.8,91.6,40,2.29,10.6
"65","The Debt","Universal",76,70,"Pursuit","Thriller",1826,5427,31.18,14.25,45.429,20,2.27145,9.91
"66","Contagion","Warner Bros",84,63,"The Riddle","Thriller",3222,6935,75.64,59.8,135.443,60,2.257383333,22.4
"67","X-Men: First Class","Disney",87,88,"Monster Force","Action",3641,15134,146.41,207.22,353.623,160,2.21014375,55.1
"68","Puss In Boots","DreamWorks",83,76,"Quest","Animation",3952,8623,142.09,142.3,284.386,130,2.187584615,34.08
"69","Zookeeper","Happy Madison Productions",14,42,"Comedy","Comedy",3482,5763,80.36,89.94,170.301,80,2.1287625,20.07
"70","Hanna","Universal",71,67,"Quest","Action",2535,4880,40.26,23.52,63.781,30,2.126033333,12.37
"71","Red Riding Hood","Warner Bros",11,41,"Monster Force","Horror",3030,4622,37.66,51.5,89.162,42,2.122904762,14.01
"72","Moneyball","Columbia",95,89,"Underdog","Drama",2993,6516,74.21,27.9,102.109,50,2.04218,19.5
"73","Monte Carlo","20th Century Fox",38,50,"Love","Romance",2473,3014,23.18,16.48,39.664,20,1.9832,7.45
"74","The Green Hornet","Columbia",44,47,"Rivalry","Action",3584,9335,98.8,129,227.8,120,1.898333333,33.5
"75","The Lincoln Lawyer","Lionsgate",84,82,"Fish Out Of Water","Drama",2707,4879,58.01,17,75.009,40,1.875225,13.21
"76","Rango","Paramount",88,69,"Fish Out Of Water","Animation",3917,9722,123.26,121.9,245.154,135,1.815955556,38.08
"77","A Very Harold and Kumar Christmas","Lionsgate",72,71,"Comedy","Comedy",2875,4506,34.04,NA,34.044,19,1.791789474,12.95
"78","The Three Musketeers","Independent",24,48,"Rivalry","Action",3017,2875,20.25,111.9,132.147,75,1.76196,8.67
"79","Larry Crowne","Universal",34,46,"Discovery","Drama",2973,4405,35.61,16.8,52.408,30,1.746933333,13.1
"80","Something Borrowed","Independent",NA,NA,"Love","Romance",2904,4802,39.05,21.14,60.183,35,1.719514286,13.95
"81","The Tree Of Life","Independent",84,61,"Discovery","Drama",4,93230,13.3,41,54.303,32,1.69696875,0.37
"82","Beastly","CBS Films",19,50,"Metamorphosis","Romance",1952,5047,27.87,0.97,28.833,17,1.696058824,9.85
"83","Tower Heist","Relativity",68,61,"Revenge","Comedy",3367,7135,74.5,47,121.504,75,1.620053333,24.03
"84","The Muppets","Disney",97,87,"Quest","Comedy",3440,8500,66.63,5.8,72.426,45,1.609466667,29.24
"85","Shark Night 3D","Relativity",16,25,"Escape","Horror",2806,2995,18.88,19.83,38.702,25,1.54808,8.4
