"","State","Price","Size","Beds","Baths"
"1","NJ",375,2.1,3,2.5
"2","NJ",200,0.9,1,1
"3","NJ",599,2.3,5,2.5
"4","NJ",365,2.1,3,3
"5","NJ",220,2.1,5,2
"6","NJ",250,1.9,4,2.5
"7","NJ",410,2.2,4,2.5
"8","NJ",429,2.8,5,2.5
"9","NJ",325,2,3,2.5
"10","NJ",235,1.1,4,1
"11","NY",145,1.3,3,1.5
"12","NY",875,2.9,7,3.75
"13","NY",300,1.5,3,2.5
"14","NY",370,1.1,2,1
"15","NY",268,1.5,2,2
"16","NY",1399,4.8,6,5
"17","NY",1125,3.1,3,2.5
"18","NY",299,1.4,3,2
"19","NY",110,1.2,3,1
"20","NY",2999,6,7,8
"21","PA",282,2.6,5,3.5
"22","PA",135,1.3,2,2.5
"23","PA",179,1.8,3,1
"24","PA",800,3,3,4
"25","PA",145,1.2,2,2
"26","PA",170,1.6,3,3
"27","PA",495,2.9,4,2.5
"28","PA",224,1.5,2,2
"29","PA",325,2.5,3,3
"30","PA",180,1.9,1,1
"31","PA",269,2.6,3,3
"32","PA",196,1.3,2,2
"33","PA",180,1.2,2,2
"34","PA",353,2.1,3,3
"35","PA",110,1.7,4,1
"36","PA",225,2.5,3,2.5
"37","PA",270,2.6,3,3
"38","PA",870,4.2,4,5
"39","PA",184,1.8,3,2.5
"40","PA",130,1.5,3,2
"41","NJ",330,2.7,4,2.5
"42","NJ",375,1.2,3,2
"43","NJ",225,1.7,4,3
"44","NJ",1150,5,5,4
"45","NJ",127,1.5,2,2
"46","NJ",499,4.8,3,1.5
"47","NJ",250,1.2,4,2
"48","NJ",430,1.8,4,2
"49","NJ",320,2.3,4,2.5
"50","NJ",150,1.1,4,2
"51","NY",170,1,2,1
"52","NY",269,1.5,3,1.5
"53","NY",150,1,2,1.5
"54","NY",288,1.8,3,2.1
"55","NY",350,1.3,3,2
"56","NY",120,0.9,1,1
"57","NY",309,2.4,4,2.5
"58","NY",1500,1.5,2,1.5
"59","NY",635,2.5,4,2.5
"60","NY",350,0.9,2,1
"61","NY",459,1.8,4,2.5
"62","NY",275,2.9,4,1.5
"63","NY",275,1.8,3,2
"64","NY",2500,3.7,3,3
"65","NY",187,1.4,3,1.5
"66","NY",238,1.7,3,1.5
"67","NY",155,0.7,1,1
"68","NY",175,1.6,3,1.5
"69","NY",569,3.2,4,2
"70","NY",105,1.2,2,2.5
"71","CA",500,3.2,5,3.5
"72","CA",995,3.7,4,3.5
"73","CA",609,2.2,4,3
"74","CA",1199,2.8,3,2.5
"75","CA",949,1.4,3,2
"76","CA",415,1.7,3,2.5
"77","CA",895,2.1,3,2
"78","CA",775,1.6,3,3
"79","CA",109,0.6,1,1
"80","CA",5900,4.8,4,4.5
"81","CA",219,1.1,3,2
"82","CA",255,1.2,3,2
"83","CA",86,0.6,1,1
"84","CA",62,1.2,3,2
"85","CA",165,1.9,5,3.5
"86","CA",1695,6.9,5,5.5
"87","CA",499,1.4,3,2
"88","CA",47,1.5,3,2
"89","CA",195,2,3,2.5
"90","CA",775,1,2,2
"91","CA",199,1.4,3,2
"92","CA",480,3,5,3
"93","CA",173,0.9,3,1
"94","CA",189,2.5,2,2
"95","CA",230,1.7,3,2
"96","CA",380,2.1,5,3
"97","CA",110,0.8,2,1
"98","CA",499,1.3,3,2
"99","CA",399,1.4,3,2
"100","CA",2450,5,4,5
"101","NJ",845,3.4,4,2.5
"102","NJ",220,2.1,5,2
"103","NJ",215,1.8,3,2
"104","NJ",430,1.8,4,2
"105","NJ",208,1.3,2,1.5
"106","NJ",375,1.2,3,2
"107","NJ",749,3,4,3.5
"108","NJ",245,1.2,3,1.5
"109","NJ",435,1.6,4,2.5
"110","NJ",669,4.2,5,4.5
"111","PA",190,2.2,4,3
"112","PA",219,1.4,3,2
"113","PA",125,1.3,3,1.5
"114","PA",125,1.2,3,2
"115","PA",160,1.5,3,1.5
"116","PA",189,1.4,3,2
"117","PA",270,1.8,4,2
"118","PA",90,1.3,3,1
"119","PA",199,1.6,3,2
"120","PA",199,1.6,3,2
