"","Random","RND1","RND2","RND3","RND4","SSN8","SSN9"
"1",4202,4,2,0,2,0,3
"2",1250,1,2,5,0,5,6
"3",1234,1,2,3,4,0,2
"4",1234,1,2,3,4,0,1
"5",1041,1,0,4,1,0,0
"6",5129,5,1,2,9,7,6
"7",6969,6,9,6,9,0,8
"8",4216,4,2,1,6,9,8
"9",6879,6,8,7,9,4,7
"10",6066,6,0,6,6,8,3
"11",1876,1,8,7,6,6,9
"12",4894,4,8,9,4,1,3
"13",7777,7,7,7,7,1,0
"14",2193,2,1,9,3,5,2
"15",3647,3,6,4,7,5,4
"16",8880,8,8,8,0,4,7
"17",4210,4,2,1,0,5,0
"18",3203,3,2,0,3,8,4
"19",5910,5,9,1,0,1,0
"20",5970,5,9,7,0,9,6
"21",6932,6,9,3,2,7,9
"22",1004,1,0,0,4,6,7
"23",4672,4,6,7,2,8,6
"24",1324,1,3,2,4,7,0
"25",9876,9,8,7,6,1,5
"26",4200,4,2,0,0,4,6
"27",1425,1,4,2,5,7,4
"28",5432,5,4,3,2,7,3
"29",1313,1,3,1,3,9,4
"30",2710,2,7,1,0,7,5
"31",2222,2,2,2,2,1,5
"32",5775,5,7,7,5,9,2
"33",2103,2,1,0,3,9,4
"34",1515,1,5,1,5,2,9
"35",7589,7,5,8,9,9,7
"36",2121,2,1,2,1,1,0
"37",8888,8,8,8,8,8,0
"38",4682,4,6,8,2,2,3
"39",1684,1,6,8,4,1,2
"40",7254,7,2,5,4,9,8
"41",6256,6,2,5,6,3,0
"42",4410,4,4,1,0,6,2
"43",7485,7,4,8,5,6,2
"44",6110,6,1,1,0,4,2
"45",1551,1,5,5,1,5,7
"46",3406,3,4,0,6,0,6
"47",9876,9,8,7,6,6,0
"48",2837,2,8,3,7,4,1
"49",8448,8,4,4,8,7,3
"50",3704,3,7,0,4,2,2
"51",5555,5,5,5,5,4,4
"52",2302,2,3,0,2,8,1
"53",1582,1,5,8,2,0,5
"54",2224,2,2,2,4,0,6
"55",4228,4,2,2,8,2,8
"56",1436,1,4,3,6,6,0
"57",8493,8,4,9,3,8,7
"58",1313,1,3,1,3,2,9
"59",2476,2,4,7,6,2,7
"60",1324,1,3,2,4,9,7
"61",1821,1,8,2,1,4,9
"62",5623,5,6,2,3,5,7
"63",2222,2,2,2,2,3,6
"64",3189,3,1,8,9,4,0
"65",1856,1,8,5,6,9,4
"66",5127,5,1,2,7,8,8
"67",2009,2,0,0,9,3,7
"68",3519,3,5,1,9,3,5
"69",3764,3,7,6,4,3,0
"70",3637,3,6,3,7,3,7
"71",2111,2,1,1,1,6,1
"72",8936,8,9,3,6,4,0
"73",4456,4,4,5,6,3,2
"74",1010,1,0,1,0,9,6
"75",2216,2,2,1,6,5,2
"76",1632,1,6,3,2,9,2
"77",1551,1,5,5,1,5,7
"78",1207,1,2,0,7,0,4
"79",7732,7,7,3,2,9,3
"80",1223,1,2,2,3,4,2
"81",6518,6,5,1,8,1,2
"82",7357,7,3,5,7,0,8
"83",2812,2,8,1,2,2,8
"84",1111,1,1,1,1,0,7
"85",9258,9,2,5,8,2,9
"86",1596,1,5,9,6,9,9
"87",7548,7,5,4,8,3,5
"88",3468,3,4,6,8,4,7
"89",8684,8,6,8,4,4,7
"90",5738,5,7,3,8,5,6
"91",1325,1,3,2,5,5,9
"92",4379,4,3,7,9,6,7
"93",1317,1,3,1,7,7,8
"94",2146,2,1,4,6,5,1
"95",1227,1,2,2,7,1,8
"96",5927,5,9,2,7,6,8
"97",9647,9,6,4,7,1,8
"98",1256,1,2,5,6,8,4
"99",1111,1,1,1,1,2,0
"100",4658,4,6,5,8,7,1
"101",8888,8,8,8,8,1,3
"102",4856,4,8,5,6,2,6
"103",8426,8,4,2,6,6,1
"104",9375,9,3,7,5,2,5
"105",7777,7,7,7,7,4,9
"106",1219,1,2,1,9,5,3
"107",1060,1,0,6,0,3,2
"108",8274,8,2,7,4,9,7
"109",1921,1,9,2,1,7,5
"110",2356,2,3,5,6,8,8
"111",5632,5,6,3,2,1,3
"112",1234,1,2,3,4,1,8
"113",1111,1,1,1,1,3,9
"114",5944,5,9,4,4,8,7
"115",8134,8,1,3,4,6,5
"116",3146,3,1,4,6,1,2
"117",3421,3,4,2,1,8,7
"118",7222,7,2,2,2,3,9
"119",3629,3,6,2,9,2,3
"120",5355,5,3,5,5,0,6
"121",2345,2,3,4,5,7,0
"122",6721,6,7,2,1,9,7
"123",1234,1,2,3,4,8,3
"124",1111,1,1,1,1,3,6
"125",6969,6,9,6,9,2,2
"126",2574,2,5,7,4,9,4
"127",6213,6,2,1,3,9,3
"128",7836,7,8,3,6,4,7
"129",7916,7,9,1,6,2,7
"130",1376,1,3,7,6,6,1
"131",3863,3,8,6,3,8,1
"132",2387,2,3,8,7,7,2
"133",2433,2,4,3,3,5,6
"134",4444,4,4,4,4,8,7
"135",7337,7,3,3,7,6,8
"136",1783,1,7,8,3,2,8
"137",8964,8,9,6,4,7,0
"138",3622,3,6,2,2,9,7
"139",3876,3,8,7,6,5,5
"140",1324,1,3,2,4,6,1
"141",3126,3,1,2,6,7,4
"142",7892,7,8,9,2,8,7
"143",2814,2,8,1,4,5,1
"144",7136,7,1,3,6,6,3
"145",2143,2,1,4,3,3,7
"146",1111,1,1,1,1,6,1
"147",1605,1,6,0,5,2,6
"148",1739,1,7,3,9,6,7
"149",2580,2,5,8,0,7,3
"150",1326,1,3,2,6,0,4
