"","Butter","Filling","Bread","Ants","Order"
"1","no","Vegemite","Rye",18,10
"2","no","Peanut Butter","Rye",43,26
"3","no","Ham & Pickles","Rye",44,39
"4","no","Vegemite","Wholemeal",29,25
"5","no","Peanut Butter","Wholemeal",59,35
"6","no","Ham & Pickles","Wholemeal",34,1
"7","no","Vegemite","Multigrain",42,44
"8","no","Peanut Butter","Multigrain",22,36
"9","no","Ham & Pickles","Multigrain",36,32
"10","no","Vegemite","White",42,33
"11","no","Peanut Butter","White",25,34
"12","no","Ham & Pickles","White",49,13
"13","no","Vegemite","Rye",31,14
"14","no","Peanut Butter","Rye",36,31
"15","no","Ham & Pickles","Rye",54,20
"16","no","Vegemite","Wholemeal",21,19
"17","no","Peanut Butter","Wholemeal",47,38
"18","no","Ham & Pickles","Wholemeal",65,5
"19","no","Vegemite","Multigrain",38,21
"20","no","Peanut Butter","Multigrain",19,22
"21","no","Ham & Pickles","Multigrain",59,8
"22","no","Vegemite","White",25,41
"23","no","Peanut Butter","White",21,16
"24","no","Ham & Pickles","White",53,23
"25","yes","Vegemite","Rye",22,27
"26","yes","Peanut Butter","Rye",27,45
"27","yes","Ham & Pickles","Rye",68,3
"28","yes","Vegemite","Wholemeal",57,17
"29","yes","Peanut Butter","Wholemeal",42,48
"30","yes","Ham & Pickles","Wholemeal",58,6
"31","yes","Vegemite","Multigrain",26,15
"32","yes","Peanut Butter","Multigrain",60,24
"33","yes","Ham & Pickles","Multigrain",63,4
"34","yes","Vegemite","White",2,42
"35","yes","Peanut Butter","White",57,11
"36","yes","Ham & Pickles","White",66,37
"37","yes","Vegemite","Rye",45,30
"38","yes","Peanut Butter","Rye",50,29
"39","yes","Ham & Pickles","Rye",65,9
"40","yes","Vegemite","Wholemeal",42,40
"41","yes","Peanut Butter","Wholemeal",36,28
"42","yes","Ham & Pickles","Wholemeal",97,43
"43","yes","Vegemite","Multigrain",28,18
"44","yes","Peanut Butter","Multigrain",47,2
"45","yes","Ham & Pickles","Multigrain",76,12
"46","yes","Vegemite","White",40,46
"47","yes","Peanut Butter","White",51,7
"48","yes","Ham & Pickles","White",59,47
