"","Team","League","Wins","Runs","Hits","Doubles","Triples","HomeRuns","RBI","StolenBases","CaughtStealing","Walks","Strikeouts","BattingAvg"
"1","ARI","NL",65,713,1366,301,34,180,691,86,41,589,1529,0.25
"2","ATL","NL",91,738,1411,312,25,139,699,63,29,634,1140,0.258
"3","BAL","AL",66,613,1440,264,21,133,577,76,34,424,1056,0.259
"4","BOS","AL",89,818,1511,358,22,211,782,68,17,587,1140,0.268
"5","CHC","NL",75,685,1414,298,27,149,658,55,31,479,1236,0.257
"6","CHW","AL",88,752,1467,263,21,177,710,160,74,467,922,0.268
"7","CIN","NL",91,790,1515,293,30,188,761,93,43,522,1218,0.272
"8","CLE","AL",69,646,1362,290,20,128,601,91,33,545,1184,0.248
"9","COL","NL",83,770,1452,270,54,173,741,99,41,585,1274,0.263
"10","DET","AL",81,751,1515,308,32,152,717,69,30,546,1147,0.268
"11","FLA","NL",80,719,1403,294,37,152,686,92,26,514,1375,0.254
"12","HOU","NL",76,611,1348,252,25,108,577,100,36,415,1025,0.247
"13","KCR","AL",67,676,1534,279,31,121,640,115,50,471,905,0.274
"14","LAA","AL",80,681,1363,276,19,155,656,104,52,466,1070,0.248
"15","LAD","NL",80,667,1368,270,29,120,621,92,50,533,1184,0.252
"16","MIL","NL",77,750,1471,293,33,182,710,81,26,546,1216,0.262
"17","MIN","AL",94,781,1521,318,41,142,749,68,28,559,967,0.273
"18","NYM","NL",79,656,1361,266,40,128,625,130,44,502,1095,0.249
"19","NYY","AL",95,859,1485,275,32,201,823,103,30,662,1136,0.267
"20","OAK","AL",81,663,1396,276,30,109,619,156,38,527,1061,0.256
"21","PHI","NL",97,772,1451,290,34,166,736,108,21,560,1064,0.26
"22","PIT","NL",57,587,1303,276,27,126,570,87,36,463,1207,0.242
"23","SDP","NL",90,665,1338,236,24,132,630,124,50,538,1183,0.246
"24","SEA","AL",61,513,1274,227,16,101,485,142,39,459,1184,0.236
"25","SFG","NL",92,697,1411,284,30,162,660,55,32,487,1099,0.257
"26","STL","NL",86,736,1456,285,18,150,689,79,41,541,1027,0.263
"27","TBR","AL",96,802,1343,295,37,160,769,172,47,672,1292,0.247
"28","TEX","AL",90,787,1556,268,25,162,740,123,48,511,986,0.276
"29","TOR","AL",85,755,1364,319,21,257,732,58,20,471,1164,0.248
"30","WSN","NL",69,655,1355,250,31,149,634,110,41,503,1220,0.25
