"","Salary","Gender","Age","PhD"
"1",140,1,47,1
"2",30,0,65,1
"3",35.1,0,56,0
"4",30,1,23,0
"5",80,0,53,1
"6",30,0,27,0
"7",60,1,53,0
"8",31.1,0,30,0
"9",125,1,44,1
"10",51,1,63,1
"11",3,1,22,0
"12",46,1,59,0
"13",150,1,60,1
"14",3,1,28,0
"15",130,1,65,0
"16",15,0,25,0
"17",130,1,65,0
"18",84,0,47,1
"19",190,1,66,1
"20",74,1,45,1
"21",73,0,46,0
"22",10,0,24,0
"23",50,0,60,0
"24",7,0,63,0
"25",9.5,0,27,0
"26",15.2,1,66,1
"27",28.6,1,36,1
"28",20,0,30,0
"29",72,0,51,1
"30",81,1,65,1
"31",100,0,45,1
"32",90,0,52,1
"33",90,0,54,1
"34",35,1,30,0
"35",30,0,52,0
"36",25,1,26,0
"37",52,0,49,0
"38",9,0,22,0
"39",63,1,34,1
"40",72,1,60,0
"41",16,1,28,0
"42",92,0,58,1
"43",106,1,77,1
"44",2.5,1,67,0
"45",9,0,27,0
"46",32,0,48,1
"47",32,0,45,0
"48",55,1,49,1
"49",52,1,36,0
"50",28,0,65,1
"51",20,0,32,0
"52",14.7,0,49,0
"53",22.3,1,67,0
"54",34.8,0,22,0
"55",84,0,49,1
"56",19,1,43,0
"57",160,1,61,1
"58",65,0,43,1
"59",55,0,52,0
"60",4.6,1,51,0
"61",102,1,66,1
"62",20,1,29,0
"63",62,0,62,0
"64",55,1,56,1
"65",45.6,1,61,0
"66",40,0,56,0
"67",24,0,41,0
"68",35,1,24,0
"69",48,0,60,0
"70",20,0,43,0
"71",40.7,0,57,0
"72",15,1,23,0
"73",0.25,0,53,0
"74",152,1,71,1
"75",39.8,0,20,0
"76",12,0,27,0
"77",30,1,69,1
"78",120,1,58,1
"79",1.7,1,37,0
"80",36,1,32,1
"81",96,1,33,1
"82",38,0,32,1
"83",90,1,60,0
"84",9,1,71,0
"85",25.8,0,30,0
"86",22,0,62,0
"87",38.8,0,54,0
"88",72,1,42,1
"89",89,1,62,0
"90",41,0,51,1
"91",89,1,71,1
"92",25,0,29,0
"93",52,1,55,1
"94",115,0,54,0
"95",66,0,55,1
"96",18.6,1,26,0
"97",152,1,56,1
"98",1.8,1,28,0
"99",35,0,44,0
"100",4,0,24,0
