"","Date","Flight179","Flight180"
"1","01/05/2010",368,308
"2","01/15/2010",370,292
"3","01/25/2010",354,290
"4","02/05/2010",361,303
"5","02/15/2010",335,322
"6","02/25/2010",330,318
"7","03/05/2010",330,312
"8","03/15/2010",330,317
"9","03/25/2010",390,304
"10","04/05/2010",407,286
"11","04/15/2010",358,293
"12","04/25/2010",334,317
"13","05/05/2010",395,286
"14","05/15/2010",372,302
"15","05/25/2010",348,297
"16","06/05/2010",374,285
"17","06/15/2010",344,296
"18","06/25/2010",369,289
"19","07/05/2010",343,322
"20","07/15/2010",350,302
"21","07/25/2010",370,298
"22","08/05/2010",369,290
"23","08/15/2010",369,281
"24","08/25/2010",332,305
"25","09/05/2010",387,282
"26","09/15/2010",373,288
"27","09/25/2010",339,323
"28","10/05/2010",330,329
"29","10/15/2010",345,300
"30","10/25/2010",374,287
"31","11/05/2010",342,314
"32","11/15/2010",353,302
"33","11/25/2010",371,299
"34","12/05/2010",359,306
"35","12/15/2010",368,280
"36","12/25/2010",340,328
