"","CorrTimeDist"
"1",0.828
"2",0.805
"3",0.82
"4",0.815
"5",0.826
"6",0.827
"7",0.815
"8",0.766
"9",0.771
"10",0.821
"11",0.822
"12",0.797
"13",0.839
"14",0.83
"15",0.793
"16",0.721
"17",0.826
"18",0.808
"19",0.758
"20",0.818
"21",0.852
"22",0.749
"23",0.76
"24",0.826
"25",0.797
"26",0.743
"27",0.817
"28",0.793
"29",0.791
"30",0.809
"31",0.786
"32",0.796
"33",0.801
"34",0.781
"35",0.843
"36",0.776
"37",0.776
"38",0.79
"39",0.833
"40",0.762
"41",0.831
"42",0.812
"43",0.832
"44",0.778
"45",0.781
"46",0.759
"47",0.746
"48",0.869
"49",0.816
"50",0.776
"51",0.825
"52",0.818
"53",0.777
"54",0.842
"55",0.722
"56",0.858
"57",0.838
"58",0.815
"59",0.846
"60",0.819
"61",0.802
"62",0.714
"63",0.757
"64",0.813
"65",0.823
"66",0.794
"67",0.802
"68",0.824
"69",0.79
"70",0.727
"71",0.823
"72",0.84
"73",0.872
"74",0.784
"75",0.826
"76",0.807
"77",0.854
"78",0.698
"79",0.756
"80",0.828
"81",0.754
"82",0.831
"83",0.731
"84",0.73
"85",0.861
"86",0.767
"87",0.807
"88",0.767
"89",0.795
"90",0.818
"91",0.81
"92",0.777
"93",0.785
"94",0.807
"95",0.846
"96",0.835
"97",0.843
"98",0.826
"99",0.792
"100",0.753
"101",0.868
"102",0.751
"103",0.781
"104",0.832
"105",0.807
"106",0.763
"107",0.839
"108",0.82
"109",0.796
"110",0.731
"111",0.857
"112",0.762
"113",0.801
"114",0.81
"115",0.839
"116",0.838
"117",0.801
"118",0.742
"119",0.772
"120",0.778
"121",0.758
"122",0.807
"123",0.786
"124",0.82
"125",0.771
"126",0.8
"127",0.838
"128",0.738
"129",0.798
"130",0.85
"131",0.802
"132",0.871
"133",0.792
"134",0.824
"135",0.807
"136",0.812
"137",0.825
"138",0.783
"139",0.826
"140",0.792
"141",0.808
"142",0.79
"143",0.812
"144",0.802
"145",0.796
"146",0.791
"147",0.812
"148",0.789
"149",0.798
"150",0.834
"151",0.801
"152",0.83
"153",0.791
"154",0.852
"155",0.818
"156",0.82
"157",0.828
"158",0.781
"159",0.852
"160",0.792
"161",0.774
"162",0.808
"163",0.837
"164",0.745
"165",0.84
"166",0.792
"167",0.787
"168",0.806
"169",0.816
"170",0.829
"171",0.765
"172",0.829
"173",0.801
"174",0.807
"175",0.803
"176",0.768
"177",0.769
"178",0.793
"179",0.706
"180",0.821
"181",0.81
"182",0.82
"183",0.858
"184",0.816
"185",0.813
"186",0.8
"187",0.767
"188",0.78
"189",0.79
"190",0.765
"191",0.846
"192",0.815
"193",0.831
"194",0.762
"195",0.784
"196",0.746
"197",0.782
"198",0.776
"199",0.821
"200",0.728
"201",0.872
"202",0.8
"203",0.786
"204",0.803
"205",0.785
"206",0.862
"207",0.795
"208",0.811
"209",0.815
"210",0.757
"211",0.852
"212",0.85
"213",0.821
"214",0.795
"215",0.752
"216",0.752
"217",0.764
"218",0.769
"219",0.834
"220",0.777
"221",0.812
"222",0.815
"223",0.835
"224",0.84
"225",0.749
"226",0.819
"227",0.832
"228",0.819
"229",0.742
"230",0.805
"231",0.835
"232",0.793
"233",0.867
"234",0.824
"235",0.773
"236",0.752
"237",0.807
"238",0.763
"239",0.794
"240",0.773
"241",0.797
"242",0.859
"243",0.769
"244",0.793
"245",0.765
"246",0.824
"247",0.796
"248",0.734
"249",0.745
"250",0.842
"251",0.837
"252",0.839
"253",0.83
"254",0.793
"255",0.823
"256",0.784
"257",0.816
"258",0.748
"259",0.847
"260",0.824
"261",0.775
"262",0.782
"263",0.784
"264",0.769
"265",0.753
"266",0.808
"267",0.849
"268",0.831
"269",0.82
"270",0.793
"271",0.737
"272",0.713
"273",0.757
"274",0.789
"275",0.82
"276",0.821
"277",0.792
"278",0.829
"279",0.771
"280",0.817
"281",0.807
"282",0.793
"283",0.777
"284",0.79
"285",0.827
"286",0.841
"287",0.813
"288",0.839
"289",0.764
"290",0.828
"291",0.804
"292",0.794
"293",0.805
"294",0.85
"295",0.815
"296",0.72
"297",0.786
"298",0.811
"299",0.824
"300",0.81
"301",0.78
"302",0.874
"303",0.846
"304",0.829
"305",0.779
"306",0.812
"307",0.821
"308",0.82
"309",0.828
"310",0.787
"311",0.811
"312",0.779
"313",0.706
"314",0.745
"315",0.794
"316",0.845
"317",0.838
"318",0.787
"319",0.835
"320",0.794
"321",0.841
"322",0.839
"323",0.848
"324",0.752
"325",0.767
"326",0.845
"327",0.769
"328",0.873
"329",0.841
"330",0.841
"331",0.815
"332",0.785
"333",0.803
"334",0.836
"335",0.818
"336",0.774
"337",0.816
"338",0.835
"339",0.792
"340",0.832
"341",0.76
"342",0.852
"343",0.857
"344",0.787
"345",0.795
"346",0.812
"347",0.84
"348",0.815
"349",0.841
"350",0.724
"351",0.797
"352",0.873
"353",0.845
"354",0.805
"355",0.774
"356",0.796
"357",0.781
"358",0.857
"359",0.812
"360",0.798
"361",0.77
"362",0.767
"363",0.766
"364",0.866
"365",0.844
"366",0.797
"367",0.785
"368",0.802
"369",0.845
"370",0.796
"371",0.824
"372",0.826
"373",0.803
"374",0.835
"375",0.859
"376",0.799
"377",0.809
"378",0.808
"379",0.843
"380",0.8
"381",0.815
"382",0.834
"383",0.785
"384",0.82
"385",0.835
"386",0.718
"387",0.818
"388",0.873
"389",0.808
"390",0.863
"391",0.713
"392",0.829
"393",0.817
"394",0.764
"395",0.745
"396",0.755
"397",0.902
"398",0.819
"399",0.859
"400",0.785
"401",0.782
"402",0.838
"403",0.789
"404",0.837
"405",0.79
"406",0.795
"407",0.809
"408",0.769
"409",0.771
"410",0.821
"411",0.877
"412",0.84
"413",0.807
"414",0.823
"415",0.85
"416",0.816
"417",0.849
"418",0.796
"419",0.787
"420",0.778
"421",0.805
"422",0.743
"423",0.788
"424",0.829
"425",0.806
"426",0.798
"427",0.769
"428",0.734
"429",0.776
"430",0.795
"431",0.792
"432",0.796
"433",0.863
"434",0.783
"435",0.822
"436",0.735
"437",0.815
"438",0.802
"439",0.753
"440",0.809
"441",0.803
"442",0.825
"443",0.809
"444",0.797
"445",0.767
"446",0.794
"447",0.821
"448",0.78
"449",0.838
"450",0.798
"451",0.766
"452",0.842
"453",0.786
"454",0.795
"455",0.735
"456",0.767
"457",0.806
"458",0.745
"459",0.834
"460",0.806
"461",0.841
"462",0.782
"463",0.813
"464",0.753
"465",0.776
"466",0.725
"467",0.849
"468",0.828
"469",0.797
"470",0.827
"471",0.728
"472",0.792
"473",0.793
"474",0.815
"475",0.729
"476",0.8
"477",0.84
"478",0.793
"479",0.817
"480",0.808
"481",0.775
"482",0.797
"483",0.803
"484",0.818
"485",0.837
"486",0.812
"487",0.865
"488",0.718
"489",0.872
"490",0.812
"491",0.739
"492",0.867
"493",0.812
"494",0.836
"495",0.777
"496",0.819
"497",0.789
"498",0.839
"499",0.758
"500",0.823
"501",0.859
"502",0.801
"503",0.785
"504",0.766
"505",0.842
"506",0.837
"507",0.824
"508",0.779
"509",0.766
"510",0.798
"511",0.795
"512",0.827
"513",0.757
"514",0.868
"515",0.839
"516",0.792
"517",0.763
"518",0.871
"519",0.744
"520",0.784
"521",0.824
"522",0.844
"523",0.861
"524",0.836
"525",0.811
"526",0.846
"527",0.741
"528",0.791
"529",0.846
"530",0.776
"531",0.815
"532",0.793
"533",0.777
"534",0.745
"535",0.757
"536",0.836
"537",0.796
"538",0.875
"539",0.748
"540",0.832
"541",0.854
"542",0.733
"543",0.81
"544",0.783
"545",0.858
"546",0.838
"547",0.727
"548",0.836
"549",0.832
"550",0.842
"551",0.755
"552",0.839
"553",0.819
"554",0.802
"555",0.819
"556",0.789
"557",0.793
"558",0.807
"559",0.744
"560",0.755
"561",0.811
"562",0.799
"563",0.818
"564",0.729
"565",0.81
"566",0.803
"567",0.769
"568",0.809
"569",0.787
"570",0.845
"571",0.816
"572",0.822
"573",0.823
"574",0.822
"575",0.827
"576",0.789
"577",0.775
"578",0.827
"579",0.824
"580",0.828
"581",0.763
"582",0.862
"583",0.794
"584",0.771
"585",0.842
"586",0.829
"587",0.747
"588",0.799
"589",0.738
"590",0.821
"591",0.819
"592",0.772
"593",0.817
"594",0.783
"595",0.771
"596",0.791
"597",0.851
"598",0.817
"599",0.809
"600",0.824
"601",0.853
"602",0.826
"603",0.823
"604",0.798
"605",0.784
"606",0.828
"607",0.772
"608",0.85
"609",0.8
"610",0.751
"611",0.769
"612",0.835
"613",0.803
"614",0.812
"615",0.824
"616",0.729
"617",0.814
"618",0.861
"619",0.814
"620",0.812
"621",0.864
"622",0.801
