"","State","Price","Size","Beds","Baths"
"1","CA",500,3.2,5,3.5
"2","CA",995,3.7,4,3.5
"3","CA",609,2.2,4,3
"4","CA",1199,2.8,3,2.5
"5","CA",949,1.4,3,2
"6","CA",415,1.7,3,2.5
"7","CA",895,2.1,3,2
"8","CA",775,1.6,3,3
"9","CA",109,0.6,1,1
"10","CA",5900,4.8,4,4.5
"11","CA",219,1.1,3,2
"12","CA",255,1.2,3,2
"13","CA",86,0.6,1,1
"14","CA",62,1.2,3,2
"15","CA",165,1.9,5,3.5
"16","CA",1695,6.9,5,5.5
"17","CA",499,1.4,3,2
"18","CA",47,1.5,3,2
"19","CA",195,2,3,2.5
"20","CA",775,1,2,2
"21","CA",199,1.4,3,2
"22","CA",480,3,5,3
"23","CA",173,0.9,3,1
"24","CA",189,2.5,2,2
"25","CA",230,1.7,3,2
"26","CA",380,2.1,5,3
"27","CA",110,0.8,2,1
"28","CA",499,1.3,3,2
"29","CA",399,1.4,3,2
"30","CA",2450,5,4,5
