"","Leniency","Group"
"1",7,"smile"
"2",3,"smile"
"3",6,"smile"
"4",4.5,"smile"
"5",3.5,"smile"
"6",4,"smile"
"7",3,"smile"
"8",3,"smile"
"9",3.5,"smile"
"10",4.5,"smile"
"11",7,"smile"
"12",5,"smile"
"13",5,"smile"
"14",7.5,"smile"
"15",2.5,"smile"
"16",5,"smile"
"17",5.5,"smile"
"18",5.5,"smile"
"19",5,"smile"
"20",4,"smile"
"21",5,"smile"
"22",6.5,"smile"
"23",6.5,"smile"
"24",7,"smile"
"25",3.5,"smile"
"26",5,"smile"
"27",3.5,"smile"
"28",9,"smile"
"29",2.5,"smile"
"30",8.5,"smile"
"31",3.5,"smile"
"32",4.5,"smile"
"33",3.5,"smile"
"34",4.5,"smile"
"35",2,"neutral"
"36",4,"neutral"
"37",4,"neutral"
"38",3,"neutral"
"39",6,"neutral"
"40",4.5,"neutral"
"41",2,"neutral"
"42",6,"neutral"
"43",3,"neutral"
"44",3,"neutral"
"45",4.5,"neutral"
"46",8,"neutral"
"47",4,"neutral"
"48",5,"neutral"
"49",3.5,"neutral"
"50",4.5,"neutral"
"51",6.5,"neutral"
"52",3.5,"neutral"
"53",4.5,"neutral"
"54",4.5,"neutral"
"55",2.5,"neutral"
"56",2.5,"neutral"
"57",4.5,"neutral"
"58",2.5,"neutral"
"59",6,"neutral"
"60",6,"neutral"
"61",2,"neutral"
"62",4,"neutral"
"63",5.5,"neutral"
"64",4,"neutral"
"65",2.5,"neutral"
"66",2.5,"neutral"
"67",3,"neutral"
"68",6.5,"neutral"
