"","Team","PIMperG"
"1","Florida",8.8
"2","Nashville",8.9
"3","Chicago",9.3
"4","Detroit",9.3
"5","New Jersey",9.6
"6","Calgary",10.2
"7","Carolina",10.4
"8","Phoenix",10.6
"9","Tampa Bay",11
"10","Atlanta",11.1
"11","Vancouver",11.2
"12","San Jose",11.2
"13","Washington",11.4
"14","Minnesota",11.4
"15","Los Angeles",11.6
"16","Buffalo",11.8
"17","Toronto",12
"18","Colorado",12.7
"19","NY Rangers",13.4
"20","Dallas",13.4
"21","Montreal",13.5
"22","Columbus",13.5
"23","Philadelphia",13.6
"24","Boston",13.9
"25","Anaheim",13.9
"26","Ottawa",14
"27","St. Louis",14.5
"28","Edmonton",14.9
"29","Pittsburgh",16.8
"30","NY Islanders",18
