"","Year","Gender","Hand","Exercise","TV","Pulse","Pierces"
"1",4,"M","l",15,5,57,0
"2",2,"M","l",20,14,70,0
"3",3,"F","r",2,3,70,2
"4",1,"F","l",10,5,66,3
"5",1,"M","r",8,2,62,0
"6",1,"M","r",14,14,62,0
"7",1,"M","l",2,0,74,0
"8",2,"F","r",14,2,70,2
"9",1,"F","r",10,5,60,2
"10",1,"F","l",12,4,74,3
"11",3,"M","r",3,4,61,0
"12",2,"F","r",10,6,72,2
"13",3,"M","r",3,3,66,0
"14",1,"M","l",2,3,98,0
"15",2,"F","r",0,1,61,6
"16",2,"F","r",10,10,42,5
"17",2,"F","r",12,10,77,4
"18",1,"F","r",5,5,76,3
"19",2,"M","r",10,10,78,0
"20",2,"F","r",3,5,78,5
"21",2,"M","r",30,10,69,0
"22",1,"F","r",23,4,67,4
"23",1,"M","r",19,5,72,0
"24",4,"F","r",2,6,62,5
"25",2,"F","l",3,9,71,4
"26",2,"F","r",10,5,81,2
"27",2,"F","r",10,15,77,6
"28",2,"F","r",1,1,86,7
"29",1,"M","r",20,12,75,0
"30",1,"M","r",8,2,52,0
"31",1,"F","r",2,4,59,3
"32",1,"F","r",20,6,58,6
"33",4,"F","l",15,2,54,8
"34",4,"M","r",2,2,59,0
"35",4,"M","l",3,1,72,0
"36",1,"M","r",24,2,76,0
"37",2,"M","r",27,2,72,0
"38",1,"M","r",14,7,61,0
"39",1,"F","r",1,1,80,3
"40",1,"F","r",10,10,73,4
"41",3,"M","r",10,0,72,0
"42",1,"F","r",3,3,79,2
"43",1,"F","r",34,4,71,2
"44",3,"F","r",8,0,50,6
"45",2,"F","r",7,2,75,2
"46",2,"F","r",10,2,76,0
"47",2,"F","r",6,4,69,2
"48",2,"M","r",14,4,62,0
"49",1,"F","r",17,2,62,2
"50",1,"F","r",12,6,56,2
