"","Country","LandArea","Population","Energy","Rural","Military","Health","HIV","Internet","Developed","BirthRate","ElderlyPop","LifeExpectancy"
"1","Kenya",569140,38765312,18021,78.4,8.903746121,5.814851775,6.3,8.666387104,1,38.767,2.65755646,54.23743902
"2","Ethiopia",1e+06,80713434,31704,83,NA,11.46720507,NA,0.446022406,1,38.23,3.148446104,55.195
"3","Argentina",2736690,39882980,76359,8,NA,13.72707856,0.5,28.11262348,2,17.269,10.51063861,75.33397561
"4","Saudi Arabia",2e+06,24807000,161600,17.58,NA,8.38309226,NA,31.28858387,3,23.424,2.869286486,73.11904878
"5","Namibia",823290,2129854,1752,63.16,NA,12.1311741,13.7,5.329003772,1,27.555,3.591793808,61.01358537
"6","Oman",309500,2785361,16443,28.38,NA,4.913591361,0.1,19.99740788,2,21.961,2.884726888,75.91321951
"7","Philippines",298170,90348437,41067,35.08,4.89619343,6.131133106,0.1,6.218148522,1,24.728,4.115424682,71.83446341
"8","Solomon Islands",27990,510672,NA,82.04,NA,14.41549418,NA,1.958204092,NA,30.447,3.064595405,66.25502439
"9","Latvia",62190,2266094,4484,31.88,6.395470749,10.18851534,0.6,63.20576287,2,10.6,17.18639114,72.4195122
"10","Norway",305470,4768212,29670,22.52,4.220966352,16.67572166,0.1,90.53901127,3,12.7,14.64558881,80.59268293
"11","El Salvador",20720,6133910,4882,39.3,2.859027931,11.91291291,0.8,10.59682975,1,20.235,7.039570675,71.2605122
"12","Vanuatu",12190,233866,NA,75.24,NA,13.50003267,NA,7.269119923,NA,30.198,3.280083467,70.29212195
"13","Guinea",245720,9833055,NA,65.56,NA,4.325395857,1.4,0.915280144,NA,39.633,3.205148023,57.8212439
"14","United Kingdom",241930,61406928,208450,10.06,5.771780609,15.12066596,0.2,78.16530408,3,12.9,16.30191246,79.6
"15","Samoa",2830,178869,NA,77,NA,14.88898112,NA,5.031615316,NA,23.508,4.805192627,71.75319512
"16","South Africa",1214470,48793022,134489,39.26,4.340992654,10.39161291,17.9,8.581145066,2,22.038,4.369054943,51.4772439
"17","Bolivia",1083300,9694113,5694,34.42,NA,8.194956639,0.2,10.83131587,1,27.104,4.664315343,65.68378049
"18","Russian Federation",16376870,141950000,686757,27.16,16.29199577,9.171049696,1,31.98309264,3,12.1,13.29468868,67.84878049
