"","NHLTeam","NHL_Malevolence","ZPenMin"
"1","Vancouver",5.33,0.88
"2","Philadelphia",5.17,2.01
"3","Boston",5.13,0.42
"4","New Jersey",4.45,-0.78
"5","Pittsburgh",4.27,0.64
"6","Chicago",4.18,-0.02
"7","Montreal",4.18,-0.7
"8","Detroit",4.15,0.44
"9","Edmonton",4.15,0.58
"10","Calgary",4.13,-0.4
"11","LA Kings",4.05,-0.2
"12","Buffalo",4,-0.68
"13","Minnesota",4,-0.11
"14","NY Rangers",3.9,-0.31
"15","NY Islanders",3.8,-0.35
"16","Winnepeg",3.78,-0.3
"17","St. Louis",3.75,-0.09
"18","Washington",3.73,-0.07
"19","Toronto",3.58,0.34
"20","Quebec",3.33,0.41
"21","Hartford",3.32,-0.34
"22","",NA,NA
"23","",NA,NA
"24","",NA,NA
"25","",NA,NA
"26","",NA,NA
"27","",NA,NA
"28","",NA,NA
