"","Sex","Age","Married","Income","HoursWk","Race","USCitizen","HealthInsurance","Language"
"1",0,31,0,60,40,"white",1,1,1
"2",1,31,0,0.36,12,"black",1,1,0
"3",1,75,0,0,NA,"white",1,1,0
"4",0,80,0,0,NA,"white",1,1,0
"5",1,64,1,0,NA,"white",1,1,0
"6",1,14,0,NA,NA,"white",1,1,0
"7",1,78,1,0,NA,"white",1,1,0
"8",1,35,0,87,40,"white",1,1,1
"9",0,70,1,0,1,"white",1,1,0
"10",0,18,0,0,NA,"white",1,1,0
"11",1,48,1,32,48,"white",1,0,0
"12",0,61,1,0,20,"white",1,0,0
"13",0,52,0,48,40,"white",1,1,0
"14",0,36,1,2,40,"white",1,1,0
"15",0,20,0,0.5,2,"white",1,1,0
"16",1,67,0,0,NA,"white",1,1,0
"17",1,8,0,NA,NA,"white",1,1,0
"18",1,60,1,0,NA,"white",1,1,0
"19",1,75,1,21.6,6,"white",1,1,0
"20",0,25,1,0,NA,"other",1,1,0
"21",0,48,1,22,20,"white",1,1,0
"22",1,9,0,NA,NA,"white",1,1,0
"23",0,62,1,6.8,18,"white",1,1,0
"24",0,49,0,0,NA,"other",1,0,0
"25",1,32,0,30,60,"white",1,1,0
"26",0,21,0,2.5,20,"white",1,1,0
"27",1,21,0,1.5,20,"white",1,1,0
"28",0,39,1,0,30,"white",1,1,1
"29",0,42,1,3,40,"white",1,0,1
"30",0,48,1,75,40,"white",1,1,0
"31",1,34,0,0,70,"white",1,0,0
"32",0,61,0,19,38,"white",1,1,0
"33",0,32,0,50,50,"white",1,1,1
"34",1,51,1,130,50,"white",1,1,0
"35",1,80,0,0,NA,"white",1,1,0
"36",1,15,0,0,NA,"white",1,1,0
"37",0,9,0,NA,NA,"black",1,1,0
"38",1,12,0,NA,NA,"white",1,1,1
"39",1,43,1,0,10,"asian",1,1,0
"40",0,53,1,0,NA,"white",1,1,0
"41",1,64,1,0,NA,"white",1,1,0
"42",1,37,1,47,40,"white",1,0,1
"43",1,3,0,NA,NA,"white",1,1,0
"44",1,33,0,1.5,15,"white",1,0,0
"45",0,70,1,11.4,17,"white",1,1,0
"46",1,27,0,15,30,"white",1,0,0
"47",1,66,1,13,20,"white",1,1,0
"48",0,48,0,31,40,"black",1,1,0
"49",0,2,0,NA,NA,"white",1,1,0
"50",0,17,0,0,NA,"black",1,1,1
"51",1,56,1,140,50,"white",1,1,0
"52",1,35,0,0,NA,"white",1,1,0
"53",1,10,0,NA,NA,"white",1,1,1
"54",1,24,0,0,NA,"white",1,0,1
"55",1,36,1,1,40,"other",1,1,1
"56",1,73,1,0,NA,"white",1,1,0
"57",0,54,1,0,NA,"white",1,1,0
"58",1,65,1,0,NA,"white",1,1,0
"59",0,23,0,10.5,40,"white",1,1,0
"60",0,68,0,17.1,40,"white",1,1,0
"61",1,19,0,0,NA,"other",1,1,0
"62",1,19,0,0,NA,"white",1,1,0
"63",0,26,1,45,40,"white",1,1,0
"64",0,30,0,1.1,40,"black",1,0,0
"65",0,29,0,17,40,"white",1,1,0
"66",1,37,1,15.1,30,"white",0,1,0
"67",0,66,1,0,NA,"black",1,1,0
"68",0,49,0,47.9,40,"white",1,1,0
"69",1,55,1,0,40,"white",1,1,0
"70",1,5,0,NA,NA,"other",1,0,1
"71",1,43,0,50,40,"white",1,1,0
"72",1,21,0,1.5,30,"asian",1,0,1
"73",0,1,0,NA,NA,"white",1,0,0
"74",1,57,1,0.8,24,"white",1,1,0
"75",1,35,0,13,20,"white",1,1,1
"76",0,56,0,23,60,"white",1,1,0
"77",0,34,0,30.2,44,"white",1,1,0
"78",0,16,1,0,NA,"white",1,1,0
"79",0,18,0,1,12,"white",1,1,0
"80",0,16,0,0,NA,"white",1,0,1
"81",0,47,0,10,32,"white",1,1,0
"82",1,8,0,NA,NA,"white",1,1,0
"83",1,30,0,60,50,"white",1,1,0
"84",1,53,1,75,45,"white",1,0,0
"85",0,55,1,3.8,16,"white",1,1,0
"86",1,48,1,47,40,"other",1,1,1
"87",1,50,0,52,27,"white",1,0,0
"88",1,54,1,57,40,"white",1,1,0
"89",1,16,0,0,NA,"white",1,1,0
"90",1,52,0,28.9,43,"white",1,1,0
"91",0,48,1,15,35,"black",1,1,0
"92",1,58,1,72,40,"asian",0,1,1
"93",0,43,1,6,40,"black",1,0,0
"94",1,6,0,NA,NA,"black",1,1,0
"95",0,10,0,NA,NA,"other",1,1,1
"96",0,15,0,0,NA,"white",1,1,0
"97",1,28,0,14,25,"white",1,1,0
"98",0,11,0,NA,NA,"white",1,1,0
"99",0,44,1,0,NA,"other",1,1,0
"100",0,25,0,38,48,"black",1,1,1
"101",1,25,0,0.56,7,"white",1,0,0
"102",0,45,0,4.9,35,"white",1,1,0
"103",0,62,1,15,20,"white",1,1,0
"104",0,46,1,4.1,30,"white",1,1,1
"105",0,41,1,50,50,"asian",1,1,1
"106",0,27,1,52,45,"white",1,1,0
"107",0,6,0,NA,NA,"black",1,1,0
"108",1,61,1,85,40,"white",1,1,0
"109",0,59,1,29.7,40,"white",1,1,0
"110",1,74,1,0,NA,"white",1,1,0
"111",1,44,1,65,48,"white",1,1,0
"112",0,45,0,0,NA,"white",1,0,0
"113",0,4,0,NA,NA,"white",1,1,0
"114",1,70,0,0,NA,"white",1,1,0
"115",0,50,1,16,30,"white",1,1,0
"116",0,19,0,0,NA,"white",1,0,0
"117",0,74,1,0,NA,"white",1,1,0
"118",0,71,1,0,NA,"white",1,1,0
"119",0,47,1,5.5,25,"white",1,1,0
"120",1,49,1,36,40,"asian",1,1,1
"121",1,25,0,7.8,35,"white",1,1,0
"122",1,57,1,0,NA,"asian",1,1,1
"123",1,65,1,0,NA,"white",1,1,0
"124",1,79,1,0,NA,"white",1,1,0
"125",1,66,0,0,NA,"white",1,1,0
"126",0,22,0,17.5,35,"white",1,1,0
"127",0,76,0,0,NA,"asian",1,1,1
"128",0,10,0,NA,NA,"white",0,0,1
"129",1,41,1,563,62,"white",1,1,1
"130",0,46,1,0,NA,"white",0,1,1
"131",1,0,0,NA,NA,"white",1,1,0
"132",0,41,0,0,NA,"asian",0,1,0
"133",0,3,0,NA,NA,"white",1,1,0
"134",0,42,1,14,20,"white",1,1,0
"135",1,42,1,25,50,"white",0,0,1
"136",1,61,1,0,NA,"white",1,1,0
"137",1,63,1,0,NA,"white",1,1,1
"138",0,20,0,2,25,"white",1,1,0
"139",0,60,0,47,35,"asian",1,1,1
"140",0,69,0,0,NA,"white",1,1,1
"141",0,47,1,33,40,"white",1,1,0
"142",0,13,0,NA,NA,"asian",0,1,1
"143",0,9,0,NA,NA,"white",1,1,1
"144",0,49,1,94,36,"white",1,1,0
"145",1,37,1,97,65,"white",1,1,1
"146",1,62,1,0,NA,"white",1,1,0
"147",0,80,1,0,NA,"white",1,1,1
"148",1,27,1,60,40,"white",1,1,0
"149",0,32,1,70,36,"white",1,1,0
"150",1,41,1,90,40,"asian",0,1,1
"151",1,41,1,60,40,"white",1,1,0
"152",1,46,0,60,48,"white",1,1,0
"153",0,36,1,20,20,"white",1,1,1
"154",1,42,1,80,60,"asian",0,1,1
"155",0,15,0,0,NA,"white",1,1,0
"156",0,15,0,0,NA,"other",1,1,1
"157",0,67,0,0,NA,"white",1,1,0
"158",1,93,0,0,NA,"white",1,1,0
"159",0,9,0,NA,NA,"white",1,1,0
"160",0,82,0,0,NA,"white",1,1,0
"161",0,49,1,16,30,"asian",1,1,1
"162",0,17,0,0,NA,"white",1,1,1
"163",1,29,1,0,40,"white",0,0,1
"164",1,64,1,33.3,40,"white",1,1,0
"165",0,45,1,382,55,"white",1,1,0
"166",1,64,0,0,NA,"white",1,1,0
"167",1,51,0,90,50,"white",1,1,0
"168",0,0,0,NA,NA,"white",1,1,0
"169",1,53,1,40,32,"white",1,1,0
"170",0,50,1,45,40,"white",1,1,0
"171",1,9,0,NA,NA,"white",1,1,0
"172",1,74,1,0,NA,"white",1,1,0
"173",0,41,0,55,40,"white",1,1,0
"174",0,52,1,70,40,"white",1,1,0
"175",1,67,1,0,NA,"white",1,1,0
"176",0,38,1,24,40,"white",1,1,0
"177",0,6,0,NA,NA,"white",1,1,0
"178",0,1,0,NA,NA,"white",1,1,0
"179",0,50,0,0,NA,"white",1,1,0
"180",1,33,0,40,24,"asian",1,0,1
"181",1,8,0,NA,NA,"white",1,1,0
"182",1,11,0,NA,NA,"white",1,1,1
"183",1,62,1,56,40,"white",1,1,0
