"","Circuits","Quality"
"1",0,"High"
"2",0,"High"
"3",0,"High"
"4",0,"High"
"5",0,"High"
"6",0,"High"
"7",0,"High"
"8",0,"High"
"9",5,"High"
"10",5,"High"
"11",10,"High"
"12",15,"High"
"13",30,"High"
"14",35,"High"
"15",35,"High"
"16",50,"High"
"17",50,"High"
"18",55,"High"
"19",55,"High"
"20",65,"High"
"21",80,"High"
"22",90,"High"
"23",95,"High"
"24",100,"High"
"25",100,"High"
"26",105,"High"
"27",110,"High"
"28",115,"High"
"29",115,"High"
"30",120,"High"
"31",120,"High"
"32",125,"High"
"33",130,"High"
"34",135,"High"
"35",165,"High"
"36",180,"High"
"37",185,"High"
"38",225,"High"
"39",235,"High"
"40",330,"High"
"41",440,"High"
"42",0,"Low"
"43",0,"Low"
"44",0,"Low"
"45",0,"Low"
"46",0,"Low"
"47",0,"Low"
"48",0,"Low"
"49",0,"Low"
"50",0,"Low"
"51",0,"Low"
"52",0,"Low"
"53",0,"Low"
"54",0,"Low"
"55",0,"Low"
"56",0,"Low"
"57",0,"Low"
"58",0,"Low"
"59",0,"Low"
"60",0,"Low"
"61",5,"Low"
"62",5,"Low"
"63",15,"Low"
"64",15,"Low"
"65",20,"Low"
"66",25,"Low"
"67",30,"Low"
"68",35,"Low"
"69",40,"Low"
"70",45,"Low"
"71",50,"Low"
"72",60,"Low"
"73",85,"Low"
"74",90,"Low"
"75",90,"Low"
"76",140,"Low"
"77",175,"Low"
"78",185,"Low"
