"","GMdensity","FBfriends"
"1",-1.8,23
"2",0.1,35
"3",-1.2,80
"4",-0.4,110
"5",-0.9,120
"6",-2.1,140
"7",-1.5,168
"8",0.5,132
"9",0.6,154
"10",-0.5,241
"11",-1.1,255
"12",-1,274
"13",0.1,238
"14",0.1,260
"15",0,275
"16",0.3,283
"17",-0.8,320
"18",-0.9,341
"19",-1,358
"20",1.8,384
"21",1.2,365
"22",0.9,377
"23",0.1,398
"24",0.2,372
"25",1.8,515
"26",1.3,504
"27",1.3,550
"28",0.9,506
"29",0.4,447
"30",0.7,728
"31",0,624
"32",-1.2,428
"33",1.1,617
"34",-0.9,472
"35",-0.8,526
"36",-0.6,541
"37",-0.5,575
"38",-0.3,531
"39",-0.2,430
"40",0.3,639
