"","City","Age","Distance","Time","Sex"
"1","Atlanta",19,10,15,"M"
"2","Atlanta",55,45,60,"M"
"3","Atlanta",48,12,45,"M"
"4","Atlanta",45,4,10,"F"
"5","Atlanta",48,15,30,"F"
"6","Atlanta",43,33,60,"M"
"7","Atlanta",48,15,45,"M"
"8","Atlanta",41,4,10,"F"
"9","Atlanta",47,25,25,"M"
"10","Atlanta",39,1,15,"F"
"11","Atlanta",18,22,45,"F"
"12","Atlanta",38,50,50,"M"
"13","Atlanta",52,10,15,"F"
"14","Atlanta",39,30,30,"M"
"15","Atlanta",29,10,30,"F"
"16","Atlanta",46,12,20,"M"
"17","Atlanta",46,2,5,"F"
"18","Atlanta",43,25,45,"M"
"19","Atlanta",39,7,20,"M"
"20","Atlanta",42,8,20,"F"
"21","Atlanta",30,10,20,"M"
"22","Atlanta",40,30,40,"M"
"23","Atlanta",45,23,30,"F"
"24","Atlanta",37,20,40,"M"
"25","Atlanta",67,7,25,"F"
"26","Atlanta",44,3,8,"F"
"27","Atlanta",39,5,15,"M"
"28","Atlanta",56,6,20,"F"
"29","Atlanta",23,45,45,"F"
"30","Atlanta",41,35,35,"M"
"31","Atlanta",40,25,40,"M"
"32","Atlanta",66,15,20,"F"
"33","Atlanta",55,17,20,"F"
"34","Atlanta",24,50,50,"F"
"35","Atlanta",55,10,10,"F"
"36","Atlanta",42,30,45,"F"
"37","Atlanta",46,10,10,"F"
"38","Atlanta",49,20,20,"F"
"39","Atlanta",57,5,5,"F"
"40","Atlanta",38,4,7,"M"
"41","Atlanta",54,21,40,"F"
"42","Atlanta",66,12,30,"M"
"43","Atlanta",35,5,10,"F"
"44","Atlanta",41,32,32,"M"
"45","Atlanta",59,10,40,"M"
"46","Atlanta",46,12,20,"F"
"47","Atlanta",50,35,45,"M"
"48","Atlanta",53,31,70,"M"
"49","Atlanta",39,3,10,"F"
"50","Atlanta",48,22,45,"M"
"51","Atlanta",35,20,30,"F"
"52","Atlanta",54,30,30,"F"
"53","Atlanta",38,20,30,"M"
"54","Atlanta",34,50,50,"M"
"55","Atlanta",49,7,7,"M"
"56","Atlanta",40,8,20,"M"
"57","Atlanta",42,11,30,"M"
"58","Atlanta",23,25,60,"F"
"59","Atlanta",35,15,27,"F"
"60","Atlanta",57,1,1,"M"
"61","Atlanta",24,10,13,"F"
"62","Atlanta",29,25,35,"M"
"63","Atlanta",35,15,15,"M"
"64","Atlanta",38,10,30,"F"
"65","Atlanta",47,24,25,"M"
"66","Atlanta",46,10,20,"M"
"67","Atlanta",34,2,10,"M"
"68","Atlanta",35,5,15,"M"
"69","Atlanta",32,32,32,"M"
"70","Atlanta",46,10,10,"M"
"71","Atlanta",24,12,20,"M"
"72","Atlanta",26,18,20,"F"
"73","Atlanta",22,7,15,"M"
"74","Atlanta",34,30,35,"F"
"75","Atlanta",50,30,30,"M"
"76","Atlanta",47,2,28,"M"
"77","Atlanta",35,3,6,"M"
"78","Atlanta",37,3,15,"M"
"79","Atlanta",29,0,5,"F"
"80","Atlanta",24,20,30,"M"
"81","Atlanta",22,23,35,"F"
"82","Atlanta",38,50,60,"M"
"83","Atlanta",28,20,30,"M"
"84","Atlanta",53,25,50,"M"
"85","Atlanta",21,3,5,"M"
"86","Atlanta",44,10,10,"M"
"87","Atlanta",34,20,30,"M"
"88","Atlanta",67,16,35,"M"
"89","Atlanta",49,1,3,"F"
"90","Atlanta",35,20,25,"F"
"91","Atlanta",45,25,30,"M"
"92","Atlanta",40,20,45,"F"
"93","Atlanta",62,101,180,"M"
"94","Atlanta",64,7,15,"F"
"95","Atlanta",71,5,30,"F"
"96","Atlanta",37,20,50,"F"
"97","Atlanta",33,14,20,"F"
"98","Atlanta",71,8,20,"M"
"99","Atlanta",33,33,45,"M"
"100","Atlanta",53,16,45,"F"
"101","Atlanta",39,35,45,"M"
"102","Atlanta",17,10,10,"M"
"103","Atlanta",51,32,40,"M"
"104","Atlanta",26,14,35,"F"
"105","Atlanta",40,15,15,"M"
"106","Atlanta",49,40,40,"F"
"107","Atlanta",54,15,30,"F"
"108","Atlanta",54,18,35,"F"
"109","Atlanta",50,10,15,"F"
"110","Atlanta",42,12,20,"F"
"111","Atlanta",29,8,25,"M"
"112","Atlanta",55,18,25,"F"
"113","Atlanta",51,2,3,"M"
"114","Atlanta",28,1,5,"F"
"115","Atlanta",31,30,90,"M"
"116","Atlanta",48,23,23,"F"
"117","Atlanta",41,4,20,"M"
"118","Atlanta",27,28,40,"F"
"119","Atlanta",29,10,25,"M"
"120","Atlanta",35,20,45,"M"
"121","Atlanta",28,10,25,"M"
"122","Atlanta",31,15,30,"F"
"123","Atlanta",34,5,10,"M"
"124","Atlanta",38,35,45,"M"
"125","Atlanta",33,12,30,"F"
"126","Atlanta",40,8,25,"F"
"127","Atlanta",35,20,20,"F"
"128","Atlanta",51,45,45,"M"
"129","Atlanta",57,9,9,"M"
"130","Atlanta",44,15,20,"F"
"131","Atlanta",39,45,45,"F"
"132","Atlanta",49,20,45,"F"
"133","Atlanta",53,8,20,"F"
"134","Atlanta",32,12,30,"M"
