"","Gender","Age","Class","UsuallyDrink","FavBotWatBrand","Preference","First","Second","Third","Fourth"
"1","F",18,"F","Filtered","DEER PARK","CABD","Fiji","SamsChoice","Aquafina","Tap"
"2","F",18,"F","Tap","NONE","CABD","Fiji","SamsChoice","Aquafina","Tap"
"3","F",18,"F","Tap","DEER PARK","CADB","Fiji","SamsChoice","Tap","Aquafina"
"4","F",18,"F","Tap","AQUAFINA","CBDA","Fiji","Aquafina","Tap","SamsChoice"
"5","M",19,"J","Filtered","NONE","CBAD","Fiji","Aquafina","SamsChoice","Tap"
"6","M",19,"J","Filtered","SAM'S","CABD","Fiji","SamsChoice","Aquafina","Tap"
"7","F",19,"SO","Tap","NONE","CABD","Fiji","SamsChoice","Aquafina","Tap"
"8","F",40,"O","Bottled","SAM'S","BDCA","Aquafina","Tap","Fiji","SamsChoice"
"9","M",23,"SR","Tap","NONE","BCDA","Aquafina","Fiji","Tap","SamsChoice"
"10","F",35,"O","Tap","FIJI","CABD","Fiji","SamsChoice","Aquafina","Tap"
"11","M",9,"O","Tap","NONE","DACB","Tap","SamsChoice","Fiji","Aquafina"
"12","M",18,"F","Tap","NONE","ACBD","SamsChoice","Fiji","Aquafina","Tap"
"13","F",19,"SO","Bottled","NONE","BDAC","Aquafina","Tap","SamsChoice","Fiji"
"14","F",19,"SO","Bottled","NONE","ABCD","SamsChoice","Aquafina","Fiji","Tap"
"15","F",19,"SO","Tap","AQUAFINA","DBCA","Tap","Aquafina","Fiji","SamsChoice"
"16","F",22,"O","Bottled","KIRKLAND","CABD","Fiji","SamsChoice","Aquafina","Tap"
"17","F",21,"SR","Tap","AQUAFINA","CABD","Fiji","SamsChoice","Aquafina","Tap"
"18","F",19,"SO","Bottled","DEER PARK","CABD","Fiji","SamsChoice","Aquafina","Tap"
"19","F",19,"SO","Bottled","DEER PARK","ABCD","SamsChoice","Aquafina","Fiji","Tap"
"20","F",18,"F","Bottled","NONE","CBAD","Fiji","Aquafina","SamsChoice","Tap"
"21","F",21,"SR","Bottled","AQUAFINA","BACD","Aquafina","SamsChoice","Fiji","Tap"
"22","F",19,"SO","Bottled","DEER PARK","ACBD","SamsChoice","Fiji","Aquafina","Tap"
"23","F",19,"SO","Bottled","AQUAFINA","BCAD","Aquafina","Fiji","SamsChoice","Tap"
"24","F",19,"SO","Bottled","DEER PARK","CADB","Fiji","SamsChoice","Tap","Aquafina"
"25","F",18,"F","Tap","AQUAFINA","BCAD","Aquafina","Fiji","SamsChoice","Tap"
"26","M",2,"O","Filtered","AQUAFINA","CABD","Fiji","SamsChoice","Aquafina","Tap"
"27","F",18,"F","Filtered","AQUAFINA","ACBD","SamsChoice","Fiji","Aquafina","Tap"
"28","F",18,"F","Bottled","AQUAFINA","ABDC","SamsChoice","Aquafina","Tap","Fiji"
"29","F",18,"F","Bottled","AQUAFINA","CADB","Fiji","SamsChoice","Tap","Aquafina"
"30","M",22,"SR","Filtered","FIJI","BCAD","Aquafina","Fiji","SamsChoice","Tap"
"31","F",21,"SR","Bottled","AQUAFINA","CABD","Fiji","SamsChoice","Aquafina","Tap"
"32","M",40,"O","Filtered","AQUAFINA","ADCB","SamsChoice","Tap","Fiji","Aquafina"
"33","M",19,"J","Filtered","SAM'S","BACD","Aquafina","SamsChoice","Fiji","Tap"
"34","M",21,"SR","Tap","NONE","ACDB","SamsChoice","Fiji","Tap","Aquafina"
"35","F",21,"O","Tap","NONE","CBAD","Fiji","Aquafina","SamsChoice","Tap"
"36","F",21,"O","Tap","NONE","ABCD","SamsChoice","Aquafina","Fiji","Tap"
"37","F",19,"SO","Bottled","NONE","CADB","Fiji","SamsChoice","Tap","Aquafina"
"38","M",19,"SO","Tap","NONE","CBDA","Fiji","Aquafina","Tap","SamsChoice"
"39","F",19,"SO","Tap","NONE","DBCA","Tap","Aquafina","Fiji","SamsChoice"
"40","F",21,"SR","Tap","NONE","CBDA","Fiji","Aquafina","Tap","SamsChoice"
"41","F",20,"SR","Bottled","DEER PARK","BCDA","Aquafina","Fiji","Tap","SamsChoice"
"42","M",21,"SR","Filtered","NONE","ABDC","SamsChoice","Aquafina","Tap","Fiji"
"43","M",18,"F","Tap","DEER PARK","BADC","Aquafina","SamsChoice","Tap","Fiji"
"44","F",21,"SR","Bottled","DEER PARK","DABC","Tap","SamsChoice","Aquafina","Fiji"
"45","F",21,"SR","Bottled","DEER PARK","CDAB","Fiji","Tap","SamsChoice","Aquafina"
