"","Inductee","FemaleMembers","Category","People"
"1","ABBA","Yes","Performer",4
"2","AC/DC","No","Performer",6
"3","Paul Ackerman","No","Non-performer",1
"4","Aerosmith","No","Performer",5
"5","Alice Cooper","No","Performer",5
"6","Allman Brothers Band","No","Performer",6
"7","The Animals","No","Performer",5
"8","Louis Armstrong","No","Early Influence",1
"9","Chet Atkins","No","Sideman",1
"10","LaVern Baker","Yes","Performer",1
"11","Hank Ballard","No","Performer",1
"12","The Band","No","Performer",5
"13","Frank Barsalona","No","Lifetime Achievement",1
"14","Dave Bartholomew","No","Non-performer",1
"15","Ralph Bass","No","Non-performer",1
"16","The Beach Boys","No","Performer",5
"17","Beastie Boys","No","Performer",3
"18","The Beatles","No","Performer",4
"19","Jeff Beck","No","Performer",1
"20","The Bee Gees","No","Performer",3
"21","Benny Benjamin","No","Sideman",1
"22","Chuck Berry","No","Performer",1
"23","Bill Black","No","Sideman",1
"24","Black Sabbath","No","Performer",4
"25","Chris Blackwell","No","Non-performer",1
"26","Otis Blackwell","No","Non-performer",1
"27","Hal Blaine","No","Sideman",1
"28","Bobby ""Blue"" Bland","No","Performer",1
"29","Blondie","Yes","Performer",7
"30","Bob Wills and His Texas Playboys","No","Early Influence",9
"31","Booker T. and the M.G.'s","No","Performer",4
"32","David Bowie","No","Performer",1
"33","Charles Brown","No","Early Influence",1
"34","James Brown","No","Performer",1
"35","Ruth Brown","Yes","Performer",1
"36","Jackson Browne","No","Performer",1
"37","Buffalo Springfield","No","Performer",5
"38","Solomon Burke","No","Performer",1
"39","James Burton","No","Sideman",1
"40","The Byrds","No","Performer",4
"41","Johnny Cash","No","Performer",1
"42","Ray Charles","No","Performer",1
"43","Leonard Chess","No","Non-performer",1
"44","Charlie Christian","No","Performer",1
"45","Eric Clapton","No","Performer",1
"46","Dick Clark","No","Non-performer",1
"47","The Clash","No","Performer",4
"48","Jimmy Cliff","No","Performer",1
"49","The Coasters","No","Performer",4
"50","Eddie Cochran","No","Performer",1
"51","Leonard Cohen","No","Performer",1
"52","Nat ""King"" Cole","No","Early Influence",1
"53","Sam Cooke","No","Performer",1
"54","Elvis Costello & the Attractions","No","Performer",4
"55","Floyd Cramer","No","Sideman",1
"56","Cream","No","Performer",3
"57","Creedence Clearwater Revival","No","Performer",4
"58","Crosby, Stills and Nash","No","Performer",3
"59","King Curtis","No","Sideman",1
"60","Bobby Darin","No","Performer",1
"61","The Dave Clark Five","No","Performer",5
"62","Clive Davis","No","Non-performer",1
"63","Miles Davis","No","Performer",1
"64","The Dells","No","Performer",5
"65","Neil Diamond","No","Performer",1
"66","Bo Diddley","No","Performer",1
"67","Dion","No","Performer",1
"68","Willie Dixon","No","Early Influence",1
"69","Fats Domino","No","Performer",1
"70","Tom Donahue","No","Non-performer",1
"71","Donovan","No","Performer",1
"72","The Doors","No","Performer",4
"73","Steve Douglas","No","Sideman",1
"74","Tom Dowd","No","Sideman",1
"75","The Drifters","No","Performer",5
"76","Bob Dylan","No","Performer",1
"77","The Eagles","No","Performer",7
"78","Earth, Wind & Fire","No","Performer",9
"79","Duane Eddy","No","Performer",1
"80","Ahmet Ertegun","No","Non-performer",1
"81","Nesuhi Ertegun","No","Lifetime Achievement",1
"82","The Everly Brothers","No","Performer",2
"83","Leo Fender","No","Non-performer",1
"84","The Flamingos","No","Performer",7
"85","Fleetwood Mac","Yes","Performer",8
"86","D.J. Fontana","No","Sideman",1
"87","The Four Seasons","No","Performer",4
"88","The Four Tops","No","Performer",4
"89","Frankie Lymon and the Teenagers","No","Performer",5
"90","Aretha Franklin","Yes","Performer",1
"91","Alan Freed","No","Non-performer",1
"92","Milt Gabler","No","Non-performer",1
"93","Marvin Gaye","No","Performer",1
"94","David Geffen","No","Non-performer",1
"95","Genesis","No","Performer",5
"96","Gerry Goffin and Carole King","Yes","Non-performer",2
"97","Berry Gordy Jr","No","Non-performer",1
"98","Bill Graham","No","Non-performer",1
"99","Grandmaster Flash and the Furious Five","No","Performer",6
"100","The Grateful Dead","Yes","Performer",12
"101","Al Green","No","Performer",1
"102","Ellie Greenwich and Jeff Barry","Yes","Non-performer",2
"103","Guns N' Roses","No","Performer",5
"104","Woody Guthrie","No","Early Influence",1
"105","Buddy Guy","No","Performer",1
"106","Bill Haley","No","Performer",1
"107","John Hammond","No","Lifetime Achievement",1
"108","George Harrison","No","Performer",1
"109","Isaac Hayes","No","Performer",1
"110","Herb Albert and Jerry Moss","No","Lifetime Achievement",2
"111","Billie Holiday","Yes","Early Influence",1
"112","Holland, Dozier and Holland","No","Non-performer",3
"113","The Hollies","No","Performer",5
"114","Buddy Holly","No","Performer",1
"115","Jac Holzman","No","Non-performer",1
"116","John Lee Hooker","No","Performer",1
"117","Howlin' Wolf","No","Early Influence",1
"118","The Impressions","No","Performer",3
"119","The Ink Spots","No","Early Influence",4
"120","The Isley Brothers","No","Performer",6
"121","The Jackson 5","No","Performer",5
"122","Mahalia Jackson","Yes","Early Influence",1
"123","Michael Jackson","No","Performer",1
"124","Wanda Jackson","Yes","Early Influence",1
"125","James Jamerson","No","Sideman",1
"126","Elmore James","No","Early Influence",1
"127","Etta James","Yes","Performer",1
"128","Jefferson Airplane","Yes","Performer",6
"129","Jerry Leiber and Mike Stoller","No","Non-performer",2
"130","The Jimi Hendrix Experience","No","Performer",1
"131","Billy Joel","No","Performer",1
"132","Dr. John","No","Performer",1
"133","Elton John","No","Performer",1
"134","Little Willie John","No","Performer",1
"135","Glyn Johns","No","Sideman",1
"136","Johnnie Johnson","No","Sideman",1
"137","Robert Johnson","No","Early Influence",1
"138","Janis Joplin","Yes","Performer",1
"139","Louis Jordan","No","Early Influence",1
"140","Kenny Gamble and Leon Huff","No","Non-performer",2
"141","B.B. King","No","Performer",1
"142","Freddie King","No","Early Influence",1
"143","The Kinks","No","Performer",4
"144","Don Kirshner","No","Sideman",1
"145","Gladys Knight and the Pips","Yes","Performer",4
"146","Lead Belly","No","Early Influence",1
"147","Led Zeppelin","No","Performer",4
"148","Brenda Lee","Yes","Performer",1
"149","John Lennon","No","Performer",1
"150","Jerry Lee Lewis","No","Performer",1
"151","Little Anthony and the Imperials","No","Performer",4
"152","Little Richard","No","Performer",1
"153","Little Walter","No","Sideman",1
"154","Darlene Love","Yes","Performer",1
"155","Lovin' Spoonful","No","Performer",4
"156","Lynyrd Skynyrd","No","Performer",7
"157","Madonna","Yes","Performer",1
"158","The Mamas and the Papas","Yes","Performer",4
"159","Barry Mann and Cynthia Weil","Yes","Non-performer",2
"160","Bob Marley","No","Performer",1
"161","Martha and the Vandelias","Yes","Performer",3
"162","George Martin","No","Non-performer",1
"163","Cosimo Matassa","No","Sideman",1
"164","Curtis  Mayfield","No","Performer",1
"165","Paul McCartney","No","Performer",1
"166","Clyde McPhatter","No","Performer",1
"167","John Mellencamp","No","Performer",1
"168","Metallica","No","Performer",6
"169","Joni Mitchell","Yes","Performer",1
"170","Bill Monroe","No","Early Influence",1
"171","The Moonglows","No","Performer",5
