"","Calcium","GillRate"
"1",0.07,82
"2",0.07,71
"3",0.07,65
"4",0.07,79
"5",0.07,61
"6",0.07,73
"7",0.07,88
"8",0.07,65
"9",0.07,84
"10",0.07,69
"11",0.07,45
"12",0.07,84
"13",0.07,68
"14",0.07,59
"15",0.07,66
"16",0.07,73
"17",0.07,76
"18",0.07,95
"19",0.07,63
"20",0.07,68
"21",0.07,58
"22",0.07,84
"23",0.07,74
"24",0.07,88
"25",0.07,77
"26",0.07,67
"27",0.07,74
"28",0.07,58
"29",0.07,86
"30",0.07,58
"31",0.71,55
"32",0.71,63
"33",0.71,78
"34",0.71,85
"35",0.71,65
"36",0.71,98
"37",0.71,68
"38",0.71,84
"39",0.71,44
"40",0.71,87
"41",0.71,48
"42",0.71,86
"43",0.71,93
"44",0.71,64
"45",0.71,83
"46",0.71,79
"47",0.71,85
"48",0.71,65
"49",0.71,88
"50",0.71,47
"51",0.71,68
"52",0.71,86
"53",0.71,57
"54",0.71,53
"55",0.71,58
"56",0.71,47
"57",0.71,62
"58",0.71,64
"59",0.71,50
"60",0.71,45
"61",1.3,63
"62",1.3,67
"63",1.3,48
"64",1.3,77
"65",1.3,56
"66",1.3,65
"67",1.3,53
"68",1.3,57
"69",1.3,78
"70",1.3,67
"71",1.3,73
"72",1.3,57
"73",1.3,83
"74",1.3,64
"75",1.3,52
"76",1.3,57
"77",1.3,74
"78",1.3,54
"79",1.3,68
"80",1.3,44
"81",1.3,39
"82",1.3,59
"83",1.3,55
"84",1.3,46
"85",1.3,86
"86",1.3,60
"87",1.3,64
"88",1.3,77
"89",1.3,76
"90",1.3,53
"91",2.29,50
"92",2.29,65
"93",2.29,58
"94",2.29,44
"95",2.29,75
"96",2.29,54
"97",2.29,77
"98",2.29,62
"99",2.29,38
"100",2.29,63
"101",2.29,57
"102",2.29,66
"103",2.29,47
"104",2.29,78
"105",2.29,42
"106",2.29,57
"107",2.29,42
"108",2.29,76
"109",2.29,83
"110",2.29,66
"111",2.29,38
"112",2.29,48
"113",2.29,50
"114",2.29,63
"115",2.29,55
"116",2.29,54
"117",2.29,64
"118",2.29,47
"119",2.29,67
"120",2.29,72
"121",2.5,66
"122",2.5,52
"123",2.5,77
"124",2.5,69
"125",2.5,47
"126",2.5,57
"127",2.5,53
"128",2.5,77
"129",2.5,58
"130",2.5,84
"131",2.5,58
"132",2.5,64
"133",2.5,64
"134",2.5,53
"135",2.5,76
"136",2.5,57
"137",2.5,89
"138",2.5,64
"139",2.5,53
"140",2.5,55
"141",2.5,68
"142",2.5,77
"143",2.5,70
"144",2.5,75
"145",2.5,59
"146",2.5,55
"147",2.5,46
"148",2.5,52
"149",2.5,54
"150",2.5,47
"151",5.03,79
"152",5.03,65
"153",5.03,68
"154",5.03,73
"155",5.03,68
"156",5.03,43
"157",5.03,76
"158",5.03,72
"159",5.03,67
"160",5.03,67
"161",5.03,37
"162",5.03,53
"163",5.03,63
"164",5.03,68
"165",5.03,52
"166",5.03,85
"167",5.03,42
"168",5.03,75
"169",5.03,46
"170",5.03,56
"171",5.03,47
"172",5.03,44
"173",5.03,58
"174",5.03,39
"175",5.03,65
"176",5.03,52
"177",5.03,67
"178",5.03,63
"179",5.03,58
"180",5.03,50
"181",5.22,44
"182",5.22,55
"183",5.22,57
"184",5.22,66
"185",5.22,47
"186",5.22,63
"187",5.22,54
"188",5.22,56
"189",5.22,60
"190",5.22,57
"191",5.22,63
"192",5.22,44
"193",5.22,50
"194",5.22,58
"195",5.22,63
"196",5.22,64
"197",5.22,75
"198",5.22,58
"199",5.22,36
"200",5.22,52
"201",5.22,55
"202",5.22,58
"203",5.22,73
"204",5.22,57
"205",5.22,58
"206",5.22,37
"207",5.22,63
"208",5.22,73
"209",5.22,46
"210",5.22,57
"211",5.24,38
"212",5.24,42
"213",5.24,63
"214",5.24,46
"215",5.24,55
"216",5.24,63
"217",5.24,36
"218",5.24,58
"219",5.24,73
"220",5.24,69
"221",5.24,55
"222",5.24,68
"223",5.24,63
"224",5.24,73
"225",5.24,45
"226",5.24,79
"227",5.24,41
"228",5.24,83
"229",5.24,60
"230",5.24,48
"231",5.24,59
"232",5.24,33
"233",5.24,67
"234",5.24,43
"235",5.24,57
"236",5.24,72
"237",5.24,46
"238",5.24,74
"239",5.24,68
"240",5.24,83
"241",8.14,67
"242",8.14,74
"243",8.14,52
"244",8.14,46
"245",8.14,74
"246",8.14,78
"247",8.14,69
"248",8.14,64
"249",8.14,57
"250",8.14,65
"251",8.14,52
"252",8.14,74
"253",8.14,71
"254",8.14,57
"255",8.14,69
"256",8.14,73
"257",8.14,63
"258",8.14,57
"259",8.14,60
"260",8.14,84
"261",8.14,52
"262",8.14,49
