"","Answer"
"1","B"
"2","B"
"3","D"
"4","A"
"5","E"
"6","D"
"7","A"
"8","B"
"9","D"
"10","C"
"11","A"
"12","C"
"13","D"
"14","C"
"15","A"
"16","A"
"17","E"
"18","B"
"19","B"
"20","B"
"21","E"
"22","C"
"23","B"
"24","D"
"25","E"
"26","D"
"27","B"
"28","A"
"29","B"
"30","C"
"31","A"
"32","A"
"33","C"
"34","A"
"35","D"
"36","A"
"37","C"
"38","D"
"39","D"
"40","D"
"41","A"
"42","A"
"43","A"
"44","A"
"45","B"
"46","B"
"47","A"
"48","A"
"49","A"
"50","B"
"51","D"
"52","E"
"53","E"
"54","C"
"55","C"
"56","C"
"57","B"
"58","C"
"59","D"
"60","D"
"61","A"
"62","A"
"63","B"
"64","B"
"65","A"
"66","B"
"67","C"
"68","A"
"69","A"
"70","A"
"71","E"
"72","D"
"73","C"
"74","E"
"75","C"
"76","E"
"77","C"
"78","A"
"79","A"
"80","A"
"81","A"
"82","E"
"83","B"
"84","D"
"85","C"
"86","B"
"87","B"
"88","E"
"89","E"
"90","A"
"91","C"
"92","A"
"93","A"
"94","A"
"95","D"
"96","C"
"97","D"
"98","C"
"99","B"
"100","A"
"101","B"
"102","D"
"103","A"
"104","D"
"105","C"
"106","B"
"107","C"
"108","B"
"109","B"
"110","B"
"111","A"
"112","B"
"113","E"
"114","E"
"115","A"
"116","B"
"117","E"
"118","D"
"119","B"
"120","A"
"121","C"
"122","B"
"123","B"
"124","C"
"125","A"
"126","E"
"127","A"
"128","B"
"129","D"
"130","D"
"131","D"
"132","C"
"133","B"
"134","D"
"135","B"
"136","A"
"137","A"
"138","B"
"139","B"
"140","B"
"141","C"
"142","C"
"143","B"
"144","C"
"145","E"
"146","A"
"147","E"
"148","E"
"149","B"
"150","A"
"151","E"
"152","A"
"153","E"
"154","B"
"155","B"
"156","C"
"157","D"
"158","D"
"159","B"
"160","B"
"161","A"
"162","D"
"163","B"
"164","D"
"165","C"
"166","D"
"167","E"
"168","A"
"169","E"
"170","B"
"171","D"
"172","E"
"173","A"
"174","D"
"175","C"
"176","B"
"177","C"
"178","C"
"179","A"
"180","B"
"181","D"
"182","A"
"183","D"
"184","B"
"185","D"
"186","C"
"187","B"
"188","C"
"189","E"
"190","D"
"191","B"
"192","B"
"193","D"
"194","D"
"195","E"
"196","C"
"197","A"
"198","D"
"199","C"
"200","B"
"201","C"
"202","D"
"203","C"
"204","B"
"205","C"
"206","C"
"207","D"
"208","E"
"209","D"
"210","E"
"211","C"
"212","D"
"213","E"
"214","B"
"215","A"
"216","B"
"217","A"
"218","A"
"219","C"
"220","D"
"221","A"
"222","A"
"223","B"
"224","E"
"225","C"
"226","B"
"227","C"
"228","A"
"229","A"
"230","B"
"231","D"
"232","C"
"233","E"
"234","B"
"235","E"
"236","B"
"237","C"
"238","D"
"239","C"
"240","A"
"241","C"
"242","B"
"243","E"
"244","C"
"245","A"
"246","A"
"247","C"
"248","B"
"249","B"
"250","C"
"251","C"
"252","D"
"253","C"
"254","A"
"255","C"
"256","B"
"257","A"
"258","E"
"259","A"
"260","E"
"261","C"
"262","A"
"263","C"
"264","A"
"265","A"
"266","E"
"267","E"
"268","B"
"269","D"
"270","E"
"271","E"
"272","E"
"273","A"
"274","A"
"275","D"
"276","B"
"277","E"
"278","B"
"279","E"
"280","C"
"281","B"
"282","C"
"283","E"
"284","C"
"285","D"
"286","B"
"287","C"
"288","D"
"289","C"
"290","C"
"291","B"
"292","E"
"293","C"
"294","E"
"295","A"
"296","A"
"297","D"
"298","D"
"299","C"
"300","B"
"301","C"
"302","D"
"303","A"
"304","B"
"305","A"
"306","D"
"307","A"
"308","E"
"309","B"
"310","A"
"311","D"
"312","E"
"313","D"
"314","A"
"315","B"
"316","E"
"317","D"
"318","D"
"319","D"
"320","A"
"321","D"
"322","A"
"323","B"
"324","B"
"325","B"
"326","B"
"327","E"
"328","C"
"329","C"
"330","C"
"331","D"
"332","D"
"333","C"
"334","E"
"335","D"
"336","D"
"337","D"
"338","D"
"339","E"
"340","A"
"341","D"
"342","B"
"343","E"
"344","E"
"345","E"
"346","B"
"347","B"
"348","B"
"349","E"
"350","E"
"351","A"
"352","C"
"353","B"
"354","D"
"355","A"
"356","D"
"357","D"
"358","C"
"359","B"
"360","E"
"361","D"
"362","B"
"363","D"
"364","E"
"365","B"
"366","E"
"367","D"
"368","A"
"369","D"
"370","D"
"371","E"
"372","C"
"373","B"
"374","E"
"375","E"
"376","A"
"377","E"
"378","C"
"379","C"
"380","A"
"381","B"
"382","D"
"383","A"
"384","E"
"385","A"
"386","E"
"387","B"
"388","C"
"389","B"
"390","C"
"391","E"
"392","B"
"393","D"
"394","C"
"395","A"
"396","C"
"397","D"
"398","E"
"399","E"
"400","C"
