"","Year","LifeExpectancy","Vehicles"
"1",1970,70.8,108.4
"2",1971,71.1,113
"3",1972,71.2,118.8
"4",1973,71.4,125.7
"5",1974,72,129.9
"6",1975,72.6,132.9
"7",1976,72.9,138.5
"8",1977,73.3,142.1
"9",1978,73.5,148.4
"10",1979,73.9,151.9
"11",1980,73.7,155.8
"12",1981,74.1,158.3
"13",1982,74.5,159.6
"14",1983,74.6,163.7
"15",1984,74.7,166.2
"16",1985,74.7,171.7
"17",1986,74.7,175.7
"18",1987,74.9,178.9
"19",1988,74.9,184.4
"20",1989,75.1,187.4
"21",1990,75.4,188.8
"22",1991,75.5,188.1
"23",1992,75.8,190.4
"24",1993,75.5,194.1
"25",1994,75.7,198
"26",1995,75.8,201.5
"27",1996,76.1,206.4
"28",1997,76.5,207.8
"29",1998,76.7,211.6
"30",1999,76.7,216.3
"31",2000,76.9,221.5
"32",2001,77.2,230.4
"33",2002,77.3,229.6
"34",2003,77.4,231.4
"35",2004,77.8,237.2
"36",2005,77.4,241.2
"37",2006,77.7,244.2
"38",2007,77.9,247.3
"39",2008,78.1,248.2
"40",2009,78.5,246.3
