"","Calcium","GillRate"
"1","Low",55
"2","Low",63
"3","Low",78
"4","Low",85
"5","Low",65
"6","Low",98
"7","Low",68
"8","Low",84
"9","Low",44
"10","Low",87
"11","Low",48
"12","Low",86
"13","Low",93
"14","Low",64
"15","Low",83
"16","Low",79
"17","Low",85
"18","Low",65
"19","Low",88
"20","Low",47
"21","Low",68
"22","Low",86
"23","Low",57
"24","Low",53
"25","Low",58
"26","Low",47
"27","Low",62
"28","Low",64
"29","Low",50
"30","Low",45
"31","Medium",38
"32","Medium",42
"33","Medium",63
"34","Medium",46
"35","Medium",55
"36","Medium",63
"37","Medium",36
"38","Medium",58
"39","Medium",73
"40","Medium",69
"41","Medium",55
"42","Medium",68
"43","Medium",63
"44","Medium",73
"45","Medium",45
"46","Medium",79
"47","Medium",41
"48","Medium",83
"49","Medium",60
"50","Medium",48
"51","Medium",59
"52","Medium",33
"53","Medium",67
"54","Medium",43
"55","Medium",57
"56","Medium",72
"57","Medium",46
"58","Medium",74
"59","Medium",68
"60","Medium",83
"61","High",59
"62","High",45
"63","High",63
"64","High",52
"65","High",59
"66","High",78
"67","High",72
"68","High",53
"69","High",69
"70","High",68
"71","High",57
"72","High",63
"73","High",68
"74","High",83
"75","High",38
"76","High",85
"77","High",68
"78","High",63
"79","High",58
"80","High",48
"81","High",42
"82","High",42
"83","High",80
"84","High",42
"85","High",52
"86","High",37
"87","High",57
"88","High",62
"89","High",40
"90","High",42
