"","Count","Phat"
"1",96,0.48
"2",99,0.495
"3",95,0.475
"4",103,0.515
"5",102,0.51
"6",104,0.52
"7",107,0.535
"8",93,0.465
"9",102,0.51
"10",102,0.51
"11",96,0.48
"12",103,0.515
"13",114,0.57
"14",103,0.515
"15",120,0.6
"16",89,0.445
"17",95,0.475
"18",102,0.51
"19",92,0.46
"20",97,0.485
"21",110,0.55
"22",110,0.55
"23",93,0.465
"24",93,0.465
"25",107,0.535
"26",96,0.48
"27",106,0.53
"28",101,0.505
"29",99,0.495
"30",98,0.49
"31",99,0.495
"32",96,0.48
"33",105,0.525
"34",110,0.55
"35",110,0.55
"36",106,0.53
"37",103,0.515
"38",106,0.53
"39",96,0.48
"40",104,0.52
"41",106,0.53
"42",100,0.5
"43",106,0.53
"44",113,0.565
"45",107,0.535
"46",100,0.5
"47",103,0.515
"48",92,0.46
"49",101,0.505
"50",103,0.515
"51",91,0.455
"52",93,0.465
"53",104,0.52
"54",106,0.53
"55",93,0.465
"56",111,0.555
"57",109,0.545
"58",103,0.515
"59",110,0.55
"60",96,0.48
"61",107,0.535
"62",117,0.585
"63",101,0.505
"64",106,0.53
"65",101,0.505
"66",94,0.47
"67",96,0.48
"68",101,0.505
"69",100,0.5
"70",111,0.555
"71",100,0.5
"72",111,0.555
"73",96,0.48
"74",91,0.455
"75",99,0.495
"76",105,0.525
"77",103,0.515
"78",115,0.575
"79",100,0.5
"80",99,0.495
"81",94,0.47
"82",103,0.515
"83",101,0.505
"84",103,0.515
"85",100,0.5
"86",99,0.495
"87",102,0.51
"88",98,0.49
"89",98,0.49
"90",102,0.51
"91",100,0.5
"92",89,0.445
"93",93,0.465
"94",103,0.515
"95",111,0.555
"96",110,0.55
"97",108,0.54
"98",101,0.505
"99",92,0.46
"100",94,0.47
"101",95,0.475
"102",103,0.515
"103",97,0.485
"104",102,0.51
"105",105,0.525
"106",92,0.46
"107",103,0.515
"108",106,0.53
"109",96,0.48
"110",102,0.51
"111",92,0.46
"112",106,0.53
"113",93,0.465
"114",115,0.575
"115",96,0.48
"116",97,0.485
"117",98,0.49
"118",99,0.495
"119",102,0.51
"120",100,0.5
"121",86,0.43
"122",101,0.505
"123",94,0.47
"124",102,0.51
"125",91,0.455
"126",106,0.53
"127",105,0.525
"128",100,0.5
"129",104,0.52
"130",88,0.44
"131",106,0.53
"132",100,0.5
"133",87,0.435
"134",116,0.58
"135",105,0.525
"136",103,0.515
"137",98,0.49
"138",105,0.525
"139",95,0.475
"140",104,0.52
"141",105,0.525
"142",103,0.515
"143",94,0.47
"144",100,0.5
"145",104,0.52
"146",91,0.455
"147",102,0.51
"148",104,0.52
"149",97,0.485
"150",109,0.545
"151",91,0.455
"152",101,0.505
"153",88,0.44
"154",96,0.48
"155",97,0.485
"156",95,0.475
"157",98,0.49
"158",108,0.54
"159",92,0.46
"160",88,0.44
"161",87,0.435
"162",105,0.525
"163",98,0.49
"164",101,0.505
"165",106,0.53
"166",95,0.475
"167",95,0.475
"168",103,0.515
"169",93,0.465
"170",86,0.43
"171",96,0.48
"172",98,0.49
"173",85,0.425
"174",97,0.485
"175",90,0.45
"176",98,0.49
"177",104,0.52
"178",97,0.485
"179",101,0.505
"180",105,0.525
"181",91,0.455
"182",105,0.525
"183",110,0.55
"184",105,0.525
"185",90,0.45
"186",103,0.515
"187",103,0.515
"188",99,0.495
"189",100,0.5
"190",97,0.485
"191",105,0.525
"192",97,0.485
"193",98,0.49
"194",110,0.55
"195",105,0.525
"196",92,0.46
"197",106,0.53
"198",102,0.51
"199",98,0.49
"200",104,0.52
"201",105,0.525
"202",109,0.545
"203",108,0.54
"204",115,0.575
"205",114,0.57
"206",107,0.535
"207",96,0.48
"208",91,0.455
"209",111,0.555
"210",95,0.475
"211",89,0.445
"212",87,0.435
"213",99,0.495
"214",106,0.53
"215",103,0.515
"216",110,0.55
"217",89,0.445
"218",87,0.435
"219",99,0.495
"220",99,0.495
"221",100,0.5
"222",102,0.51
"223",119,0.595
"224",100,0.5
"225",94,0.47
"226",106,0.53
"227",93,0.465
"228",99,0.495
"229",90,0.45
"230",99,0.495
"231",96,0.48
"232",97,0.485
"233",100,0.5
"234",97,0.485
"235",110,0.55
"236",104,0.52
"237",106,0.53
"238",112,0.56
"239",106,0.53
"240",83,0.415
"241",104,0.52
"242",116,0.58
"243",102,0.51
"244",94,0.47
"245",115,0.575
"246",106,0.53
"247",115,0.575
"248",98,0.49
"249",97,0.485
"250",110,0.55
"251",102,0.51
"252",106,0.53
"253",94,0.47
"254",102,0.51
"255",97,0.485
"256",102,0.51
"257",95,0.475
"258",92,0.46
"259",105,0.525
"260",103,0.515
"261",90,0.45
"262",104,0.52
"263",109,0.545
"264",99,0.495
"265",101,0.505
"266",109,0.545
"267",108,0.54
"268",108,0.54
"269",100,0.5
"270",101,0.505
"271",105,0.525
"272",100,0.5
"273",110,0.55
"274",110,0.55
"275",104,0.52
"276",102,0.51
"277",102,0.51
"278",96,0.48
"279",105,0.525
"280",107,0.535
"281",98,0.49
"282",97,0.485
"283",102,0.51
"284",99,0.495
"285",105,0.525
"286",108,0.54
"287",106,0.53
"288",97,0.485
"289",105,0.525
"290",91,0.455
"291",96,0.48
"292",104,0.52
"293",100,0.5
"294",112,0.56
"295",111,0.555
"296",106,0.53
"297",109,0.545
"298",107,0.535
"299",94,0.47
"300",96,0.48
"301",96,0.48
"302",103,0.515
"303",91,0.455
"304",107,0.535
"305",94,0.47
"306",100,0.5
"307",100,0.5
"308",106,0.53
"309",110,0.55
"310",97,0.485
"311",110,0.55
"312",101,0.505
