"","Husband","Wife"
"1",53,50
"2",38,34
"3",46,44
"4",30,36
"5",31,23
"6",26,31
"7",29,25
"8",48,51
"9",65,46
"10",29,26
"11",28,23
"12",29,32
"13",25,22
"14",22,21
"15",21,24
"16",43,50
"17",24,27
"18",38,33
"19",33,26
"20",35,29
"21",40,29
"22",27,25
"23",27,24
"24",49,38
"25",48,39
"26",27,27
"27",26,24
"28",40,34
"29",35,37
"30",21,26
"31",32,39
"32",30,28
"33",60,52
"34",36,40
"35",25,23
"36",66,55
"37",52,34
"38",41,40
"39",43,40
"40",53,44
"41",25,22
"42",30,33
"43",22,19
"44",33,34
"45",53,40
"46",34,29
"47",75,67
"48",23,21
"49",39,30
"50",22,21
"51",27,24
"52",27,25
"53",27,27
"54",29,29
"55",24,27
"56",32,24
"57",19,18
"58",34,26
"59",39,38
"60",60,52
"61",30,27
"62",27,24
"63",25,22
"64",49,39
"65",31,30
"66",22,22
"67",25,23
"68",29,32
"69",26,25
"70",49,52
"71",63,45
"72",27,27
"73",29,31
"74",22,21
"75",41,41
"76",28,20
"77",20,18
"78",24,22
"79",29,33
"80",45,45
"81",38,34
"82",50,43
"83",23,22
"84",48,41
"85",40,38
"86",34,30
"87",37,30
"88",35,30
"89",27,26
"90",34,28
"91",48,39
"92",25,24
"93",21,20
"94",26,23
"95",24,27
"96",24,22
"97",21,22
"98",29,31
"99",31,25
"100",29,28
"101",20,18
"102",67,68
"103",29,27
"104",49,51
"105",45,40
