"","SPChange"
"1",0.29
"2",-0.06
"3",0.34
"4",0.7
"5",0.42
"6",0.22
"7",0.12
"8",0.03
"9",-0.5
"10",0.36
"11",0.03
"12",0.09
"13",-0.12
"14",0.03
"15",-0.47
"16",-3.27
"17",0.35
"18",-0.06
"19",0.01
"20",0.6
"21",0.12
"22",4.86
"23",-0.77
"24",-0.03
"25",0.39
"26",0.1
"27",-0.12
"28",0.47
"29",-0.05
"30",0.06
"31",-0.03
"32",0.15
"33",0.31
"34",-0.15
"35",0.32
"36",-2.66
"37",0.22
"38",-0.03
"39",0.09
"40",0.29
"41",0.16
"42",0.38
"43",0.1
"44",0.21
"45",0.09
"46",0.33
"47",0.18
"48",1.93
"49",0.14
"50",0.03
