"","V1","rain"
"1",3,"6+"
"2",2,"1-5"
"3",2,"1-5"
"4",2,"1-5"
"5",2,"1-5"
"6",2,"1-5"
"7",2,"1-5"
"8",3,"6+"
"9",3,"6+"
"10",3,"6+"
"11",2,"1-5"
"12",1,"0"
"13",1,"0"
"14",1,"0"
"15",2,"1-5"
"16",3,"6+"
"17",3,"6+"
"18",2,"1-5"
"19",1,"0"
"20",1,"0"
"21",3,"6+"
"22",2,"1-5"
"23",2,"1-5"
"24",1,"0"
"25",3,"6+"
"26",3,"6+"
"27",2,"1-5"
"28",1,"0"
"29",2,"1-5"
"30",1,"0"
"31",1,"0"
"32",3,"6+"
"33",3,"6+"
"34",2,"1-5"
"35",2,"1-5"
"36",1,"0"
"37",1,"0"
"38",1,"0"
"39",2,"1-5"
"40",1,"0"
"41",2,"1-5"
"42",2,"1-5"
"43",2,"1-5"
"44",2,"1-5"
"45",3,"6+"
"46",1,"0"
"47",2,"1-5"
"48",1,"0"
"49",1,"0"
"50",2,"1-5"
"51",3,"6+"
"52",2,"1-5"
"53",2,"1-5"
"54",3,"6+"
"55",1,"0"
"56",1,"0"
"57",1,"0"
"58",1,"0"
"59",1,"0"
"60",1,"0"
"61",1,"0"
"62",3,"6+"
"63",3,"6+"
"64",3,"6+"
"65",3,"6+"
"66",2,"1-5"
"67",2,"1-5"
"68",1,"0"
"69",3,"6+"
"70",1,"0"
"71",1,"0"
"72",1,"0"
"73",2,"1-5"
"74",1,"0"
"75",2,"1-5"
"76",2,"1-5"
"77",1,"0"
"78",3,"6+"
"79",1,"0"
"80",3,"6+"
"81",1,"0"
"82",1,"0"
"83",1,"0"
"84",1,"0"
"85",2,"1-5"
"86",1,"0"
"87",2,"1-5"
"88",3,"6+"
"89",1,"0"
"90",1,"0"
"91",1,"0"
"92",1,"0"
"93",3,"6+"
"94",3,"6+"
"95",3,"6+"
"96",2,"1-5"
"97",2,"1-5"
"98",1,"0"
"99",1,"0"
"100",1,"0"
"101",1,"0"
"102",2,"1-5"
"103",1,"0"
"104",1,"0"
"105",1,"0"
"106",1,"0"
"107",2,"1-5"
"108",1,"0"
"109",2,"1-5"
"110",1,"0"
"111",1,"0"
"112",1,"0"
"113",3,"6+"
"114",2,"1-5"
"115",1,"0"
"116",1,"0"
"117",1,"0"
"118",2,"1-5"
"119",1,"0"
"120",2,"1-5"
"121",1,"0"
"122",2,"1-5"
"123",2,"1-5"
"124",2,"1-5"
"125",1,"0"
"126",2,"1-5"
"127",1,"0"
"128",3,"6+"
"129",2,"1-5"
"130",2,"1-5"
"131",2,"1-5"
"132",2,"1-5"
"133",3,"6+"
"134",3,"6+"
"135",3,"6+"
"136",3,"6+"
"137",1,"0"
"138",1,"0"
"139",2,"1-5"
"140",3,"6+"
"141",2,"1-5"
"142",1,"0"
