"","Xcoord","Ycoord","Total","Infected","Yield"
"1",3213.5,605.49,167,14,511.61
"2",3245.4,591.79,154,21,515.9
"3",3289.86,623.63,127,5,431
"4",3308.03,687.17,105,3,535.43
"5",3321.79,642.82,116,38,414.71
"6",3339.96,706.36,166,41,416.88
"7",3351.19,576.67,159,62,335.78
"8",3353.7,640.23,98,45,377.12
"9",3371.86,703.77,164,8,483.86
"10",3368,799.12,130,38,558.66
"11",3392.3,681.41,125,9,547.05
"12",3403.78,713.18,115,18,564.91
"13",3415.01,582.71,127,30,519.88
"14",3417.53,646.27,116,5,648.47
"15",3424.2,678.04,114,33,534.25
"16",3414.69,773.4,122,30,453.89
"17",3444.56,868.71,126,28,645.52
"18",3446.91,572.12,170,14,588.93
"19",3449.42,635.68,194,23,590.21
"20",3456.1,667.45,90,12,597.98
"21",3464.87,731.01,144,18,543.41
"22",3463.72,794.57,120,29,425.59
"23",3445.58,889.93,125,15,586.22
"24",3496.79,744.08,132,13,533.51
"25",3495.64,807.65,120,22,510.63
"26",3508.38,871.2,110,17,332.09
"27",3477.5,903.01,167,30,440.01
"28",3502.61,966.54,172,50,527.36
"29",3513.24,631.83,138,9,624.46
"30",3519.91,663.61,128,15,526.23
"31",3527.53,790.72,152,26,449.75
"32",3530.34,917.84,143,27,428.3
"33",3542.65,578.13,133,45,348.52
"34",3551.83,673.46,95,37,481.99
"35",3563.32,705.23,165,12,399.75
"36",3560.6,737.01,105,16,434.4
"37",3544.29,832.37,145,70,473.28
"38",3566.42,959.47,133,21,506.25
"39",3574.55,572.87,145,35,497.05
"40",3583.74,668.2,132,17,408.07
"41",3591.35,795.32,155,26,450.44
"42",3594.16,922.44,102,25,462.55
"43",3603.46,1049.55,141,16,499.7
"44",3605.13,897.65,126,11,353.35
"45",3626.37,992.97,178,16,548.47
"46",3636.64,1024.74,109,27,422.74
"47",3638.37,571.03,140,37,534.79
"48",3647.55,666.36,140,23,504.33
"49",3659.04,698.13,154,30,398.43
"50",3656.32,729.91,80,30,538.19
"51",3637.03,888.84,152,46,481.3
"52",3650.16,1111.29,91,9,370.62
"53",3688.24,737.54,149,36,551.87
"54",3669.95,769.34,128,39,452.9
"55",3687.09,801.11,124,27,437.25
"56",3668.94,896.47,135,13,NA
"57",3689.89,928.23,113,42,547
"58",3694.05,960.01,104,20,423.82
"59",3690.19,991.79,142,27,601.13
"60",3700.45,1023.56,154,29,547.98
"61",3682.08,1118.92,142,27,483.91
"62",3743.27,656.04,153,9,429.58
"63",3750.88,783.15,145,29,381.94
"64",3735.73,814.95,133,20,446.9
"65",3732.74,878.51,139,46,342.52
"66",3764.24,1005.6,160,37,586.91
"67",3762.98,1037.39,133,17,382.19
"68",3754.01,1069.18,156,31,403.35
"69",3785.61,925.68,121,18,557.04
"70",3796.17,1021.02,127,19,488.09
"71",3794.9,1052.8,141,40,448.28
"72",3800.43,639.86,184,11,635.14
"73",3815.87,735.19,135,22,413.09
"74",3817.52,925.87,145,12,535.68
"75",3839,655.6,147,2,483.12
"76",3831.45,814.51,126,1,295.96
"77",3849.41,909.84,153,5,370.32
"78",3849.71,973.4,116,5,528
"79",3859.97,1005.17,154,16,448.23
"80",3861.42,780.15,138,14,466.98
"81",3891.28,875.46,125,13,607.73
"82",3881.35,939.03,121,19,584.69
"83",3891.9,1034.36,143,17,471.6
"84",3896.17,649.77,152,8,585.19
"85",3911.61,745.09,187,44,388.48
"86",3947.43,613.93,151,21,580.91
"87",3934.75,677.51,144,9,559.79
"88",3925.23,772.86,108,37,418.7
"89",3942.36,804.62,123,25,485.38
"90",3927.2,836.42,116,24,499.9
"91",3959.1,827.61,151,3,563.73
"92",3981.21,954.71,160,42,496.01
"93",4010.04,701.77,165,50,530.86
"94",4072.77,917.73,165,18,371.46
"95",4105.78,713.45,141,35,312.5
"96",4103.06,745.24,123,30,325.69
"97",4116.66,751.89,143,5,415.4
"98",4133.79,783.65,197,42,482.78
"99",4146.52,847.2,159,22,396.7
"100",4150.55,829.2,166,13,285.14
