"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"1",0,0.18786,0.25607,0.28227,0.2486,0.26145,0.25854,0.28273,0.26606,0.27265,0.24718,0.24101,0.24827,0.26012,0.26704,0.26176,0.2653
"2",0.18786,0,0.23384,0.26004,0.22637,0.23922,0.23631,0.2605,0.24383,0.25042,0.22495,0.21878,0.22604,0.23789,0.24481,0.23953,0.24307
"3",0.25607,0.23384,0,0.20815,0.15285,0.18733,0.21177,0.27423,0.25755,0.26415,0.23868,0.24671,0.25398,0.25161,0.25854,0.25325,0.25679
"4",0.28227,0.26004,0.20815,0,0.20068,0.13426,0.23797,0.30043,0.28375,0.29035,0.26488,0.27292,0.28018,0.27781,0.28474,0.27946,0.28299
"5",0.2486,0.22637,0.15285,0.20068,0,0.17986,0.20431,0.26676,0.25009,0.25668,0.23121,0.23925,0.24651,0.24414,0.25107,0.24579,0.24933
"6",0.26145,0.23922,0.18733,0.13426,0.17986,0,0.21716,0.27961,0.26294,0.26953,0.24406,0.2521,0.25936,0.25699,0.26392,0.25864,0.26218
"7",0.25854,0.23631,0.21177,0.23797,0.20431,0.21716,0,0.2767,0.26002,0.26662,0.24115,0.24919,0.25645,0.25408,0.26101,0.25573,0.25926
"8",0.28273,0.2605,0.27423,0.30043,0.26676,0.27961,0.2767,0,0.28422,0.29082,0.24624,0.27338,0.28065,0.27828,0.28521,0.27992,0.28346
"9",0.26606,0.24383,0.25755,0.28375,0.25009,0.26294,0.26002,0.28422,0,0.2284,0.24867,0.25671,0.26397,0.21586,0.22279,0.21751,0.22105
"10",0.27265,0.25042,0.26415,0.29035,0.25668,0.26953,0.26662,0.29082,0.2284,0,0.25527,0.2633,0.27057,0.21905,0.20786,0.22069,0.20611
"11",0.24718,0.22495,0.23868,0.26488,0.23121,0.24406,0.24115,0.24624,0.24867,0.25527,0,0.23783,0.2451,0.24273,0.24966,0.24437,0.24791
"12",0.24101,0.21878,0.24671,0.27292,0.23925,0.2521,0.24919,0.27338,0.25671,0.2633,0.23783,0,0.21561,0.25076,0.25769,0.25241,0.25595
"13",0.24827,0.22604,0.25398,0.28018,0.24651,0.25936,0.25645,0.28065,0.26397,0.27057,0.2451,0.21561,0,0.25803,0.26496,0.25967,0.26321
"14",0.26012,0.23789,0.25161,0.27781,0.24414,0.25699,0.25408,0.27828,0.21586,0.21905,0.24273,0.25076,0.25803,0,0.21344,0.06775,0.21169
"15",0.26704,0.24481,0.25854,0.28474,0.25107,0.26392,0.26101,0.28521,0.22279,0.20786,0.24966,0.25769,0.26496,0.21344,0,0.21508,0.05001
"16",0.26176,0.23953,0.25325,0.27946,0.24579,0.25864,0.25573,0.27992,0.21751,0.22069,0.24437,0.25241,0.25967,0.06775,0.21508,0,0.21334
"17",0.2653,0.24307,0.25679,0.28299,0.24933,0.26218,0.25926,0.28346,0.22105,0.20611,0.24791,0.25595,0.26321,0.21169,0.05001,0.21334,0
