"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",0,0.86473,0.97237,1.04639,0.93644,0.91941,0.51504,0.85848,0.92785,0.90046,0.91087,1.0084,0.9149,0.98919,1.13922,1.41103,1.18232,0.99766,1.11093,0.99527,0.8889,1.07881,1.15017,0.9164,0.93448,1.00474,1.00417,1.03874,0.94273,1.03149,1.00357,0.91216,1.06285,0.92667,0.83414,0.75164,1.02868,0.67063,1.17888,0.95281,0.87329,1.2522,1.27207,0.98347,0.9598,0.2933,0.59983,0.93364,0.7105,0.97611
"2",0.86473,0,0.82888,0.95403,0.87642,0.80799,0.73613,0.76725,0.86422,0.76454,0.87189,0.95194,1.01575,0.74191,0.74051,1.38947,1.11358,0.7583,0.94661,0.95328,0.76537,0.97468,1.03086,0.8675,0.90501,0.92815,0.91064,0.97754,0.84145,0.93551,0.8994,0.8841,0.93203,0.84733,0.5973,0.82375,0.94213,0.89939,0.88163,0.86576,0.77578,1.08676,1.17675,0.89306,0.87982,0.90438,0.82241,0.84619,0.94787,0.89729
"3",0.97237,0.82888,0,1.0387,0.52286,0.88217,0.81846,0.86775,0.90263,0.86658,0.91018,0.58854,1.09298,0.99944,1.09653,1.43232,1.15659,1.00108,1.05508,0.8558,0.87844,0.29392,1.00432,0.91535,0.53347,1.01122,0.9951,1.04918,0.72019,0.90392,0.31218,0.50227,0.90041,0.92846,0.85629,0.90763,0.86706,0.9871,1.17526,0.9776,0.89267,1.05893,1.04873,1.04746,0.52581,1.00184,0.91321,0.95511,1.04264,0.53694
"4",1.04639,0.95403,1.0387,0,1.07363,0.92698,0.87704,0.68089,0.9122,0.84609,1.05367,1.1512,1.16432,1.06151,1.18543,1.54212,1.27319,1.04921,0.96371,1.12875,0.84298,1.15217,1.17773,1.06635,1.04917,1.01258,1.09913,0.55217,0.96166,1.11086,1.04763,1.03284,1.16227,0.97651,0.91945,0.9813,1.12667,1.05053,1.23494,0.9769,0.90633,1.24076,1.34655,1.01453,1.09442,1.02549,0.97406,0.96785,1.10486,1.09308
"5",0.93644,0.87642,0.52286,1.07363,0,0.91777,0.8474,0.88004,0.94719,0.8967,0.94528,0.20342,1.10634,0.99194,1.09392,1.41207,1.22441,1.00645,1.10115,0.86719,0.87958,0.66406,1.02538,0.92785,0.20165,1.04528,1.01377,1.07576,0.7517,0.88526,0.55103,0.17686,0.90514,0.94473,0.85788,0.93938,0.8639,0.98784,1.21888,0.9517,0.91388,1.08929,1.07483,1.07474,0.03556,0.98119,0.92741,0.9262,1.06494,0.05613
"6",0.91941,0.80799,0.88217,0.92698,0.91777,0,0.79546,0.78758,0.8353,0.78057,0.91336,0.98752,1.05441,0.92305,1.04912,1.41064,1.15502,0.9184,0.97244,0.94887,0.78969,0.99554,1.10457,0.92343,0.92858,0.93217,0.99922,0.94148,0.83935,0.94583,0.92145,0.92215,0.98453,0.09493,0.80606,0.87464,0.98181,0.98717,1.15435,0.7298,0.53262,1.17209,1.21217,0.63983,0.91014,0.96126,0.89261,0.72122,0.98616,0.93065
"7",0.51504,0.73613,0.81846,0.87704,0.8474,0.79546,0,0.72459,0.78169,0.72799,0.82733,0.97155,0.75478,0.831,0.96917,1.28465,1.04867,0.81534,0.96309,0.92972,0.71288,0.9383,1.00536,0.84024,0.87256,0.88974,0.85503,0.90833,0.78869,0.9373,0.81019,0.84333,0.96578,0.8321,0.69684,0.5699,0.9246,0.33944,1.00411,0.79688,0.75127,1.07827,1.14156,0.86554,0.86432,0.53631,0.27502,0.79168,0.41476,0.86691
"8",0.85848,0.76725,0.86775,0.68089,0.88004,0.78758,0.72459,0,0.75021,0.65112,0.86525,0.92689,0.96843,0.87709,1.0076,1.34607,1.09788,0.88571,0.74693,0.93543,0.65051,0.98412,1.00038,0.88956,0.8864,0.80769,0.91759,0.68799,0.81429,0.96605,0.87786,0.8652,0.97697,0.82261,0.7076,0.78964,0.93305,0.87419,1.10134,0.80778,0.7375,1.06577,1.14004,0.86281,0.87714,0.87329,0.81265,0.78909,0.90351,0.88742
"9",0.92785,0.86422,0.90263,0.9122,0.94719,0.8353,0.78169,0.75021,0,0.65289,0.91983,1.05215,1.05049,0.95304,1.06899,1.4023,1.17685,1.00486,0.97923,0.98229,0.65491,1.07904,1.13402,0.90716,0.99362,0.21535,0.99631,0.91808,0.89094,1.00867,0.96822,0.95202,1.02052,0.87301,0.84363,0.89192,0.98726,0.96688,1.15522,0.89266,0.82663,1.1813,1.23309,0.96498,0.96193,0.96864,0.89008,0.87211,0.98414,0.96977
"10",0.90046,0.76454,0.86658,0.84609,0.8967,0.78057,0.72799,0.65112,0.65289,0,0.86168,0.97268,0.94544,0.86154,1.01241,1.30754,1.12918,0.84683,0.91485,0.92819,0.29386,1.01193,1.0579,0.8517,0.91636,0.72012,0.91833,0.83113,0.81541,0.96843,0.8562,0.87594,0.93133,0.82698,0.72088,0.77926,0.92239,0.91886,1.07954,0.80744,0.74031,1.11457,1.16682,0.85798,0.90863,0.90485,0.8097,0.80428,0.94276,0.9256
