"","interval","size"
"1",193,0.021163
"2",192,0.028658
"3",191,0.000237
"4",190,0.004382
"5",189,0.003138
"6",188,4.6e-05
"7",187,0.000956
"8",186,0.000754
"9",185,0.000394
"10",184,0.002115
"11",183,0.00117
"12",182,0.002138
"13",181,0.000391
"14",180,0.002226
"15",179,0.000478
"16",178,3.5e-05
"17",177,0.001063
"18",176,0.000289
"19",175,9.3e-05
"20",174,0.000406
"21",173,0.000374
"22",172,0.000894
"23",171,0.005766
"24",170,0.000608
"25",169,0.000313
"26",168,0.000351
"27",167,5.1e-05
"28",166,0.001306
"29",165,0.000103
"30",164,0.000196
"31",163,0.000114
"32",162,0.000699
"33",161,1.4e-05
"34",160,2e-06
"35",159,0.00034
"36",158,0.000467
"37",157,0.000706
"38",156,1e-06
"39",155,0.000281
"40",154,0.000405
"41",153,4.4e-05
"42",152,0.000269
"43",151,0.000381
"44",150,0.000727
"45",149,2.4e-05
"46",148,6.1e-05
"47",147,0.001083
"48",146,0.000291
"49",145,0.00146
"50",144,5.6e-05
"51",143,0.000268
"52",142,0.000818
"53",141,4.1e-05
"54",140,0.000138
"55",139,3.7e-05
"56",138,0.000397
"57",137,0.000262
"58",136,6e-05
"59",135,0.000699
"60",134,8e-06
"61",133,0.000332
"62",132,0.000197
"63",131,0.000641
"64",130,0.000158
"65",129,0.000722
"66",128,0.000562
"67",127,2.3e-05
"68",126,0.000893
"69",125,0.000232
"70",124,0.000122
"71",123,4.5e-05
"72",122,0.000212
"73",121,0.000138
"74",120,0.000158
"75",119,7e-05
"76",118,0.000316
"77",117,4e-05
"78",116,0.000221
"79",115,4e-06
"80",114,3.7e-05
"81",113,0.000795
"82",112,0.000105
"83",111,0.000162
"84",110,0.000129
"85",109,0.000588
"86",108,0.000132
"87",107,6.5e-05
"88",106,1e-06
"89",105,0.002039
"90",104,8.3e-05
"91",103,0.000108
"92",102,0.000152
"93",101,0.000221
"94",100,0.001135
"95",99,0.000794
"96",98,1.3e-05
"97",97,6.9e-05
"98",96,1e-06
"99",95,0.000439
"100",94,0.000189
"101",93,0.000468
"102",92,0.000656
"103",91,0.000163
"104",90,5.2e-05
"105",89,0.000456
"106",88,1e-04
"107",87,0.000206
"108",86,0.000328
"109",85,1e-06
"110",84,1e-06
"111",83,0.000162
"112",82,0.000872
"113",81,0.000142
"114",80,0.000869
"115",79,0.000222
"116",78,0.000342
"117",77,0.000699
"118",76,0.000225
"119",75,0.000149
"120",74,0.000632
"121",73,0.000661
"122",72,0.001551
"123",71,0.000325
"124",70,0.00071
"125",69,8.4e-05
"126",68,0.000656
"127",67,0.000343
"128",66,1e-06
"129",65,6.2e-05
"130",64,0.00026
"131",63,0.000149
"132",62,0.000257
"133",61,0.000169
"134",60,6.7e-05
"135",59,0.000146
"136",58,0.001228
"137",57,0.000108
"138",56,0.001083
"139",55,0.000115
"140",54,0.000206
"141",53,0.000214
"142",52,0.00081
"143",51,0.000113
"144",50,0.000129
"145",49,0.000211
"146",48,9e-05
"147",47,0.001179
"148",46,0.000149
"149",45,8e-05
"150",44,6e-06
"151",43,0.001562
"152",42,0.000365
"153",41,0.000148
"154",40,0.00054
"155",39,0.001173
"156",38,0.000955
"157",37,0.002667
"158",36,1e-06
"159",35,1e-06
"160",34,9.2e-05
"161",33,0.001009
"162",32,0.001358
"163",31,1e-06
"164",30,0.000103
"165",29,0.000742
"166",28,0.000244
"167",27,0.000833
"168",26,0.002804
"169",25,7e-04
"170",24,5e-06
"171",23,0.000116
"172",22,0.004393
"173",21,0.002747
"174",20,0.001338
"175",19,0.002033
"176",18,0.001904
"177",17,0.001861
"178",16,0.001175
"179",15,0.004338
"180",14,0.009062
"181",13,0.001534
"182",12,0.000548
"183",11,0.009855
"184",10,0.001403
"185",9,0.001063
"186",8,0.002169
"187",7,0.010997
"188",6,0.004668
"189",5,1e-06
"190",4,0.007897
"191",3,1e-06
"192",2,0.004214
