"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",0,0.53,0.77,0.82,0.89,0.89,0.86,0.86,0.7
"2",0.59,0,0.64,0.55,0.76,0.92,0.85,0.81,0.78
"3",0.92,0.74,0,0.38,0.99,0.91,1.07,0.68,0.77
"4",0.66,0.65,0.43,0,0.92,0.89,1.03,0.91,0.84
"5",0.85,0.83,0.97,0.97,0,0.59,0.7,0.8,0.83
"6",0.88,0.91,0.89,0.87,0.57,0,0.54,1.06,0.95
"7",0.8,0.77,1.04,1,0.75,0.65,0,0.87,0.8
"8",0.88,0.77,0.72,0.95,0.89,0.99,0.78,0,0.84
"9",0.75,0.74,0.84,0.8,0.84,0.96,0.81,0.83,0
"10",0,0.95,0.88,0.86,0.96,0.88,0.92,0.92,0.94
"11",0.95,0,0.99,0.98,1.01,0.97,0.97,0.93,0.99
"12",0.9,1,0,0.81,1.01,0.94,0.96,0.93,0.97
"13",0.84,0.98,0.86,0,1.01,0.91,0.94,0.94,0.92
"14",0.96,1,0.99,0.99,0,0.84,0.78,0.94,0.95
"15",0.9,0.97,0.94,0.95,0.73,0,0.63,0.91,0.91
"16",0.92,0.97,0.96,0.94,0.79,0.63,0,0.94,0.94
"17",0.9,0.93,0.93,0.93,0.95,0.91,0.94,0,0.9
"18",0.92,0.99,0.96,0.92,0.98,0.91,0.94,0.9,0
"19",0,0.58,0.97,0.99,0.79,0.83,0.59,0.81,0.79
"20",0.58,0,0.77,0.82,0.68,0.63,0.53,0.55,0.56
"21",0.97,0.77,0,0.49,0.92,0.79,0.71,0.98,0.94
"22",0.99,0.82,0.49,0,1.12,0.9,0.78,0.99,1.01
"23",0.79,0.68,0.92,1.12,0,0.4,0.3,0.75,0.69
"24",0.83,0.63,0.79,0.9,0.4,0,0.21,0.72,0.66
"25",0.59,0.53,0.71,0.78,0.3,0.21,0,0.58,0.54
"26",0.81,0.55,0.98,0.99,0.75,0.72,0.58,0,0.33
"27",0.79,0.56,0.94,1.01,0.69,0.66,0.54,0.33,0
