"","SO2","Mean_Annual_Temp_F","No_manufactures","Population_x_1000"
"Phoenix",10,70.3,213,582
"LittleRock",13,61,91,132
"SanFrancisco",12,56.7,453,716
"Denver",17,51.9,454,515
"Hartford",56,49.1,412,158
"Wilmington",36,54,80,80
"Washington",29,57.3,434,757
"Jacksonville",14,68.4,136,529
"Miami",10,75.5,207,335
"Atlanta",24,61.5,368,497
"Chicago",110,50.6,3344,3369
"Indianapolis",28,52.3,361,746
"DesMoines",17,49,104,201
"Wichita",8,56.6,125,277
"Louisville",30,55.6,291,593
"NewOrleans",9,68.3,204,361
"Baltimore",47,55,625,905
"Detroit",35,49.9,1064,1513
"MinneapolisStPaul",29,43.5,699,744
"KansasCity",14,54.5,381,507
"StLouis",56,55.9,775,622
"Omaha",14,51.5,181,347
"Albuquerque",11,56.8,46,244
"Albany",46,47.6,44,116
"Buffalo",11,47.1,391,463
"Cincinnati",23,54,462,453
"Cleveland",65,49.7,1007,751
"Columbus",26,51.5,266,540
"Philadelphia",69,54.6,1692,1950
"Pittsburgh",61,50.4,347,520
"Providence",94,50,343,179
"Memphis",10,61.6,337,624
"Nashville",18,59.4,275,448
"Dallas",9,66.2,641,844
"Houston",10,68.9,721,1233
"SaltLakeCity",28,51,137,176
"Norfolk",31,59.3,96,308
"Richmond",26,57.8,197,299
"Seattle",29,51.1,379,531
"Charleston",31,55.2,35,71
"Milwaukee",16,45.7,569,717
