"","plotID","species","height","cover","diam"
"1",1,"H",4,0.2,1.1328793446501
"2",1,"H",4,0.2,1.16309794557017
"3",1,"H",4,0.2,1.06398174936032
"4",2,"H",4,0.2,1.09590769886489
"5",2,"O",1,0.2,0.744525443450412
"6",2,"H",4,0.2,1.15145049195834
"7",2,"O",1,0.2,0.717982143507883
"8",2,"H",4,0.2,1.1272444748187
"9",3,"H",4,0.2,1.08568294323332
"10",3,"O",4,0.2,1.24487812280831
"11",3,"H",4,0.2,1.13488089596403
"12",3,"O",4,0.2,1.12319305557912
"13",3,"H",4,0.2,1.17845092575769
"14",4,"H",4,0.2,1.25811889724083
"15",4,"N",1,0.2,0.650760129770622
"16",4,"H",4,0.2,1.13018209513485
"17",4,"N",1,0.2,0.891352464026023
"18",4,"H",4,0.2,1.09202331900576
"19",5,"N",4,0.2,1.14561628180285
"20",5,"O",1,0.2,0.783556029715352
"21",5,"N",4,0.2,1.14236844337753
"22",5,"O",1,0.2,0.408793347730038
"23",5,"N",4,0.2,1.1718870992535
"24",6,"O",1,0.2,0.811911523718227
"25",6,"O",1,0.2,0.833105891993463
"26",6,"O",1,0.2,0.777068074188685
"27",6,"O",1,0.2,0.690191934685725
"28",6,"H",4,0.2,1.04314355014954
"29",7,"H",1,0.2,0.833778798383031
"30",7,"H",1,0.2,0.637313046012833
"31",7,"H",1,0.2,0.741405775597953
"32",7,"H",1,0.2,0.798568111443762
"33",7,"O",4,0.2,1.13746108226671
